X,Y,month,day,FFMC,DMC,DC,ISI,temp,RH,wind,rain,area,sampleNum
7,5,9,2,91.0,129.5,692.6,7.0,20.7,37,2.2,0.0,2.9014215940827497,206
7,4,3,7,90.7,44.0,92.4,5.5,11.5,60,4.0,0.0,2.2235418856535927,188
4,3,9,2,90.3,80.7,730.2,6.3,17.8,63,4.9,0.0,0.0,55
2,2,8,6,93.5,139.4,594.2,20.3,22.9,31,7.2,0.0,2.800325477211381,205
8,6,8,3,95.2,217.7,690.0,18.0,28.2,29,1.8,0.0,1.925707441737794,381
4,3,10,7,92.6,46.5,691.8,8.8,13.8,50,2.7,0.0,0.0,56
4,4,8,2,94.8,108.3,647.1,17.0,16.6,54,5.4,0.0,0.0,41
5,4,9,5,94.3,85.1,692.3,15.9,20.1,47,4.9,0.0,0.9001613499442714,152
7,5,8,2,96.1,181.1,671.2,14.3,21.6,65,4.9,0.8,0.0,500
3,4,8,7,91.8,175.1,700.7,13.8,26.8,38,6.3,0.0,0.5653138090500605,244
6,5,6,5,92.5,56.4,433.3,7.1,23.2,39,5.4,0.0,0.7839015438284094,149
4,5,9,6,92.5,88.0,698.6,7.1,20.3,45,3.1,0.0,0.0,107
5,5,8,7,94.0,47.9,100.7,10.7,17.3,80,4.5,0.0,0.0,444
2,4,9,7,92.4,105.8,758.1,9.9,16.0,45,1.8,0.0,0.0,307
8,3,9,4,93.7,80.9,685.2,17.9,23.2,26,4.9,0.0,3.1949928844048685,208
6,5,3,4,91.3,20.6,43.5,8.5,13.3,27,3.6,0.0,2.0294631718735947,467
7,4,10,2,90.6,35.4,669.1,6.7,18.0,33,0.9,0.0,0.0,0
6,5,9,4,92.8,119.0,783.5,7.5,16.8,28,4.0,0.0,0.6981347220709844,321
5,4,8,2,95.1,141.3,605.8,17.7,26.4,34,3.6,0.0,2.856470206220483,486
1,2,9,4,92.9,137.0,706.4,9.2,22.4,34,2.2,0.0,0.0,86
1,4,9,2,91.0,129.5,692.6,7.0,21.7,38,2.2,0.0,0.35767444427181594,138
2,5,8,7,94.9,130.3,587.1,14.1,33.1,25,4.0,0.0,3.311637304949512,483
4,5,8,7,92.0,203.2,664.5,8.1,10.4,75,0.9,0.0,0.0,371
1,2,9,4,92.9,137.0,706.4,9.2,21.5,15,0.9,0.0,0.0,84
4,3,9,7,90.5,96.7,750.5,11.4,20.4,55,4.9,0.0,1.534714366238164,395
2,5,9,2,91.0,129.5,692.6,7.0,17.6,46,3.1,0.0,2.0844290831908747,184
8,6,8,6,93.7,231.1,715.1,8.4,26.9,31,3.6,0.0,1.7850704810772584,423
8,6,7,2,92.3,88.8,440.9,8.5,17.1,67,3.6,0.0,2.0241930674493576,293
4,4,9,6,91.2,124.4,795.3,8.5,17.1,41,2.2,0.0,2.503073953743449,331
6,3,9,1,88.6,91.8,709.9,7.1,11.2,78,7.6,0.0,0.0,30
2,4,9,6,93.4,145.4,721.4,8.1,28.6,27,2.2,0.0,0.959350221334602,155
6,3,9,7,92.4,105.8,758.1,9.9,24.8,28,1.8,0.0,2.727199019940971,310
2,4,8,7,92.0,203.2,664.5,8.1,24.9,42,5.4,0.0,1.235471471385307,417
2,4,8,1,95.0,135.5,596.3,21.3,30.6,28,3.6,0.0,1.1216775615991057,484
2,4,8,1,92.1,207.0,672.6,8.2,27.9,33,2.2,0.0,1.208960345836975,426
6,5,4,1,87.9,24.9,41.6,3.7,10.9,64,3.1,0.0,1.4701758451005926,441
2,2,9,1,91.5,130.1,807.1,7.5,16.8,43,3.1,0.0,1.9213246735826988,344
5,5,3,4,90.9,18.9,30.6,8.0,11.6,48,5.4,0.0,0.0,386
3,4,3,3,90.2,18.5,41.1,7.3,11.2,41,5.4,0.0,1.8794650496471605,466
6,3,9,1,91.5,130.1,807.1,7.5,20.6,37,1.8,0.0,0.0,341
5,4,9,3,92.9,133.3,699.6,9.2,21.9,35,1.8,0.0,1.2725655957915476,169
3,4,2,3,86.9,6.6,18.7,3.2,8.8,35,3.1,0.0,0.7419373447293773,282
2,4,8,3,92.1,111.2,654.1,9.6,20.5,35,4.0,0.0,0.9707789171582248,157
7,6,7,3,91.2,183.1,437.7,12.5,12.6,90,7.6,0.2,0.0,285
3,4,9,3,91.2,134.7,817.5,7.2,18.5,30,2.7,0.0,0.0,314
6,5,8,5,91.0,166.9,752.6,7.1,18.2,62,5.4,0.0,0.35767444427181594,509
9,9,7,4,93.2,114.4,560.0,9.5,30.2,25,4.5,0.0,1.3217558399823195,479
4,5,9,4,92.4,96.2,739.4,8.6,18.6,24,5.8,0.0,0.0,315
4,5,7,5,91.6,100.2,466.3,6.3,22.9,40,1.3,0.0,1.2919836816486494,291
4,4,3,5,85.9,19.5,57.3,2.8,13.7,43,5.8,0.0,0.0,109
4,5,9,4,92.9,137.0,706.4,9.2,22.1,34,1.8,0.0,2.745345985845907,204
4,3,8,4,91.7,114.3,661.3,6.3,17.6,45,3.6,0.0,0.0,53
4,3,3,1,87.6,52.2,103.8,5.0,11.0,46,5.8,0.0,3.6336309798834576,221
8,3,6,1,88.2,96.2,229.0,4.7,14.3,79,4.0,0.0,1.0784095813505903,471
8,6,8,3,85.6,90.4,609.6,6.6,17.4,50,4.0,0.0,1.3056264580524357,170
7,4,9,5,88.2,55.2,732.3,11.6,15.2,64,3.1,0.0,0.41871033485818504,361
4,6,9,7,93.5,149.3,728.6,8.1,28.3,26,3.1,0.0,4.175924549214524,227
6,5,8,3,96.0,127.1,570.5,16.5,23.4,33,4.5,0.0,1.2556160374777743,166
8,5,9,7,89.7,90.0,704.4,4.8,17.8,67,2.2,0.0,1.1019400787607843,163
7,4,8,6,91.8,170.9,692.3,13.7,23.7,40,1.8,0.0,0.8671004876833833,258
4,4,8,5,94.3,167.6,684.4,13.0,21.8,53,3.1,0.0,2.020222182019865,263
7,4,7,1,89.2,103.9,431.6,6.4,22.6,57,4.9,0.0,5.633109621361155,478
4,4,12,1,85.4,25.4,349.7,2.6,4.6,21,8.5,0.0,2.93651291389402,275
7,4,8,5,94.8,227.0,706.7,12.0,23.3,34,3.1,0.0,0.0,388
6,4,2,2,75.1,4.4,16.2,1.9,5.1,77,5.4,0.0,1.144222799920162,463
4,3,5,5,89.6,25.4,73.7,5.7,18.0,40,4.0,0.0,3.675794214565281,470
9,4,7,6,91.6,104.2,474.9,9.0,25.3,39,0.9,0.0,2.1972245773362196,290
3,4,8,7,94.9,130.3,587.1,14.1,23.4,40,5.8,0.0,0.8285518175661483,481
3,4,8,7,91.6,181.3,613.0,7.6,24.6,44,4.0,0.0,1.4350845252893227,428
4,5,1,7,18.7,1.1,171.4,0.0,5.2,100,0.9,0.0,0.0,378
