buying,maint,doors,persons,lug_boot,safety,CAR,sampleNum
vhigh,vhigh,4,more,med,low,unacc,75
med,high,5more,2,med,med,unacc,1057
high,vhigh,4,2,med,high,unacc,491
low,med,3,4,med,low,unacc,1551
vhigh,med,2,2,med,high,unacc,221
high,high,5more,2,small,med,unacc,622
med,med,5more,more,small,low,unacc,1179
high,low,5more,2,small,med,unacc,838
vhigh,vhigh,3,4,med,high,unacc,41
vhigh,vhigh,5more,4,big,high,unacc,98
high,med,4,4,small,low,unacc,711
high,low,4,more,small,low,unacc,828
high,vhigh,5more,4,small,med,unacc,523
med,high,5more,more,big,low,unacc,1077
vhigh,vhigh,3,2,med,high,unacc,32
low,high,5more,more,big,low,unacc,1509
med,vhigh,3,2,med,high,unacc,896
high,med,4,more,small,low,unacc,720
high,low,4,more,small,med,unacc,829
high,low,4,more,med,low,unacc,831
vhigh,vhigh,2,more,big,low,unacc,24
high,med,3,2,small,med,unacc,676
med,high,4,2,big,high,unacc,1034
med,med,2,4,big,low,unacc,1095
low,high,4,more,big,low,unacc,1482
vhigh,vhigh,2,more,med,med,unacc,22
vhigh,high,2,4,small,low,unacc,117
med,low,3,4,small,low,unacc,1224
vhigh,vhigh,4,4,small,low,unacc,63
vhigh,high,5more,4,big,low,unacc,204
high,med,3,4,med,med,unacc,688
high,vhigh,2,more,big,high,unacc,458
vhigh,low,4,2,small,high,unacc,380
med,med,3,2,big,high,unacc,1115
high,vhigh,5more,more,small,med,unacc,532
low,med,3,2,med,med,unacc,1543
low,high,4,4,big,low,unacc,1473
high,vhigh,4,more,big,low,unacc,510
high,vhigh,4,2,med,low,unacc,489
vhigh,low,5more,more,big,low,unacc,429
vhigh,high,4,2,big,low,unacc,168
med,med,4,4,small,low,unacc,1143
low,low,2,2,med,low,unacc,1623
low,high,3,more,small,low,unacc,1449
low,low,5more,more,big,low,unacc,1725
vhigh,vhigh,3,4,small,low,unacc,36
high,med,5more,2,small,low,unacc,729
vhigh,low,3,more,small,low,unacc,369
vhigh,med,2,2,small,med,unacc,217
med,vhigh,4,2,med,med,unacc,922
vhigh,vhigh,4,2,med,med,unacc,58
high,low,5more,more,small,low,unacc,855
high,vhigh,2,4,med,med,unacc,445
vhigh,high,4,2,big,med,unacc,169
low,med,2,2,med,med,unacc,1516
low,vhigh,2,2,med,med,unacc,1300
low,high,5more,4,small,low,unacc,1494
high,low,3,4,big,low,unacc,798
vhigh,high,3,more,big,low,unacc,159
high,vhigh,3,4,small,high,unacc,470
high,low,3,2,big,med,unacc,790
high,vhigh,4,2,big,med,unacc,493
med,med,3,more,med,low,unacc,1128
vhigh,low,3,2,big,low,unacc,357
low,vhigh,2,4,big,low,unacc,1311
vhigh,high,5more,2,med,low,unacc,192
low,vhigh,3,2,med,med,unacc,1327
high,med,2,4,med,low,unacc,660
low,high,2,2,big,high,unacc,1412
med,low,5more,2,med,low,unacc,1272
high,vhigh,5more,4,big,med,unacc,529
med,vhigh,2,2,med,med,unacc,868
low,med,3,2,med,high,unacc,1544
vhigh,high,3,4,small,high,unacc,146
high,high,5more,2,med,high,unacc,626
vhigh,low,5more,2,big,med,unacc,412
med,vhigh,5more,2,small,high,unacc,947
vhigh,low,3,2,med,high,unacc,356
low,med,4,2,big,med,unacc,1573
high,med,5more,4,med,low,unacc,741
low,low,5more,more,small,low,unacc,1719
med,med,3,2,med,low,unacc,1110
high,high,3,more,med,low,unacc,588
low,high,5more,more,small,low,unacc,1503
low,low,5more,2,small,med,unacc,1702
high,high,2,more,med,med,unacc,562
med,high,3,more,small,low,unacc,1017
high,low,5more,more,med,low,unacc,858
high,med,5more,4,small,med,unacc,739
med,vhigh,5more,2,med,low,unacc,948
vhigh,vhigh,3,2,med,med,unacc,31
med,low,2,2,big,high,unacc,1196
low,med,4,2,big,high,unacc,1574
low,high,4,4,small,low,unacc,1467
med,vhigh,2,4,small,low,unacc,873
vhigh,high,4,more,big,high,unacc,188
high,low,2,4,med,med,unacc,769
low,med,3,2,big,med,unacc,1546
vhigh,vhigh,3,more,med,med,unacc,49
vhigh,low,3,4,med,low,unacc,363
high,low,3,2,small,low,unacc,783
low,vhigh,4,2,big,med,unacc,1357
med,vhigh,2,more,small,low,unacc,882
high,low,5more,2,med,low,unacc,840
low,vhigh,4,more,small,med,unacc,1369
low,high,4,more,small,low,unacc,1476
vhigh,low,3,4,small,low,unacc,360
vhigh,vhigh,5more,2,med,med,unacc,85
med,vhigh,3,4,med,low,unacc,903
low,low,5more,4,big,low,unacc,1716
low,high,2,2,big,med,unacc,1411
high,vhigh,2,2,big,low,unacc,438
vhigh,high,2,4,small,high,unacc,119
med,vhigh,4,4,big,low,unacc,933
high,vhigh,3,more,med,med,unacc,481
low,high,4,2,med,med,unacc,1462
low,high,3,2,med,med,unacc,1435
high,vhigh,5more,more,med,high,unacc,536
high,vhigh,4,more,big,med,unacc,511
vhigh,vhigh,4,2,big,med,unacc,61
low,med,5more,2,med,high,unacc,1598
high,med,4,2,small,low,unacc,702
vhigh,med,5more,more,small,low,unacc,315
vhigh,vhigh,3,more,big,high,unacc,53
med,low,3,2,small,high,unacc,1217
high,high,3,more,small,med,unacc,586
high,high,5more,2,small,high,unacc,623
vhigh,vhigh,4,more,big,high,unacc,80
high,med,3,2,small,low,unacc,675
vhigh,vhigh,2,4,small,high,unacc,11
med,low,5more,4,small,low,unacc,1278
low,vhigh,5more,more,med,low,unacc,1398
vhigh,low,3,more,med,low,unacc,372
low,med,4,4,small,low,unacc,1575
high,med,2,more,small,low,unacc,666
low,low,4,2,med,med,unacc,1678
low,vhigh,2,2,med,low,unacc,1299
vhigh,low,2,2,big,med,unacc,331
high,low,5more,2,med,high,unacc,842
med,high,4,more,small,low,unacc,1044
low,vhigh,4,2,med,med,unacc,1354
low,low,3,4,big,low,unacc,1662
high,med,2,2,big,med,unacc,655
vhigh,vhigh,3,4,med,med,unacc,40
vhigh,vhigh,5more,4,med,high,unacc,95
vhigh,vhigh,5more,more,med,high,unacc,104
low,high,5more,2,big,high,unacc,1493
vhigh,med,4,more,small,low,unacc,288
low,vhigh,3,4,small,low,unacc,1332
low,high,2,2,med,low,unacc,1407
low,high,5more,2,small,high,unacc,1487
high,high,2,2,med,low,unacc,543
med,vhigh,2,more,med,low,unacc,885
med,low,5more,2,small,med,unacc,1270
vhigh,high,4,2,small,med,unacc,163
low,high,2,more,small,low,unacc,1422
med,low,3,4,med,low,unacc,1227
low,med,2,more,small,high,unacc,1532
high,low,3,2,med,low,unacc,786
high,low,3,4,small,low,unacc,792
med,vhigh,5more,2,small,low,unacc,945
high,vhigh,4,4,big,low,unacc,501
med,high,4,more,med,low,unacc,1047
med,med,4,more,big,low,unacc,1158
high,vhigh,5more,more,big,low,unacc,537
vhigh,vhigh,5more,4,med,med,unacc,94
vhigh,high,3,4,small,low,unacc,144
med,med,3,more,small,low,unacc,1125
med,high,2,4,small,med,unacc,982
vhigh,high,2,2,med,med,unacc,112
low,vhigh,5more,more,big,low,unacc,1401
med,vhigh,5more,2,med,med,unacc,949
low,high,4,more,med,low,unacc,1479
low,high,2,2,small,med,unacc,1405
med,low,4,2,small,high,unacc,1244
med,med,5more,2,med,low,unacc,1164
vhigh,vhigh,3,more,big,med,unacc,52
high,vhigh,5more,4,small,high,unacc,524
low,med,2,2,small,high,unacc,1514
high,vhigh,2,more,small,high,unacc,452
vhigh,high,4,more,med,high,unacc,185
low,med,2,4,med,low,unacc,1524
low,vhigh,3,more,small,low,unacc,1341
high,med,5more,2,small,med,unacc,730
med,vhigh,2,more,small,med,unacc,883
vhigh,med,3,4,med,low,unacc,255
low,vhigh,5more,2,small,med,unacc,1378
high,low,4,2,big,low,unacc,816
vhigh,med,4,2,med,high,unacc,275
med,vhigh,5more,2,big,high,unacc,953
med,vhigh,4,4,small,med,unacc,928
high,low,5more,2,big,low,unacc,843
vhigh,high,5more,4,small,low,unacc,198
vhigh,high,5more,more,med,low,unacc,210
high,vhigh,2,more,med,low,unacc,453
vhigh,vhigh,5more,4,small,med,unacc,91
vhigh,high,3,2,big,low,unacc,141
high,med,2,2,med,high,unacc,653
vhigh,vhigh,5more,4,big,low,unacc,96
med,med,5more,2,small,med,unacc,1162
low,high,5more,more,med,low,unacc,1506
med,high,4,2,med,low,unacc,1029
high,high,4,2,med,med,unacc,598
high,med,4,2,big,med,unacc,709
high,med,3,2,small,high,unacc,677
vhigh,high,4,4,small,med,unacc,172
high,vhigh,4,more,small,low,unacc,504
med,high,2,more,small,low,unacc,990
low,med,5more,2,small,med,unacc,1594
low,low,2,2,big,high,unacc,1628
low,vhigh,3,2,small,med,unacc,1324
high,high,2,2,big,med,unacc,547
low,low,5more,4,small,low,unacc,1710
low,vhigh,5more,2,small,high,unacc,1379
high,high,3,more,small,low,unacc,585
med,low,2,4,big,low,unacc,1203
low,vhigh,2,2,small,high,unacc,1298
low,high,3,2,small,low,unacc,1431
vhigh,high,4,2,big,high,unacc,170
vhigh,high,5more,2,med,high,unacc,194
vhigh,med,3,4,small,med,unacc,253
high,high,5more,more,small,low,unacc,639
high,vhigh,2,more,small,low,unacc,450
vhigh,vhigh,5more,more,med,med,unacc,103
vhigh,vhigh,3,4,small,med,unacc,37
med,high,5more,2,small,high,unacc,1055
low,med,4,2,med,low,unacc,1569
med,low,2,4,small,low,unacc,1197
high,low,4,2,small,med,unacc,811
low,vhigh,2,4,med,low,unacc,1308
low,vhigh,3,2,big,med,unacc,1330
vhigh,low,2,2,small,med,unacc,325
med,low,2,4,med,low,unacc,1200
low,vhigh,5more,4,small,med,unacc,1387
med,low,5more,2,big,low,unacc,1275
low,med,4,2,small,low,unacc,1566
low,vhigh,5more,more,small,low,unacc,1395
low,low,3,2,small,high,unacc,1649
vhigh,high,5more,4,big,high,unacc,206
high,med,3,4,small,med,unacc,685
high,high,2,more,med,low,unacc,561
low,low,2,more,small,low,unacc,1638
high,high,4,2,med,low,unacc,597
vhigh,low,2,2,med,med,unacc,328
med,med,3,2,small,high,unacc,1109
med,vhigh,5more,2,med,high,unacc,950
vhigh,med,5more,2,med,low,unacc,300
med,med,4,2,med,low,unacc,1137
low,vhigh,2,2,big,low,unacc,1302
vhigh,vhigh,4,more,big,low,unacc,78
low,vhigh,3,2,small,low,unacc,1323
med,vhigh,3,2,big,med,unacc,898
med,vhigh,3,more,small,med,unacc,910
high,vhigh,3,more,small,med,unacc,478
vhigh,vhigh,4,more,small,low,unacc,72
vhigh,vhigh,2,2,med,med,unacc,4
high,med,4,4,med,low,unacc,714
low,med,3,2,small,high,unacc,1541
med,low,3,2,small,low,unacc,1215
high,low,4,more,big,low,unacc,834
high,vhigh,5more,4,big,high,unacc,530
med,high,3,2,big,low,unacc,1005
vhigh,med,3,2,med,med,unacc,247
high,vhigh,3,more,big,med,unacc,484
med,high,4,2,med,med,unacc,1030
low,low,5more,2,small,high,unacc,1703
med,med,3,4,big,low,unacc,1122
low,vhigh,2,2,small,med,unacc,1297
high,high,2,more,small,high,unacc,560
vhigh,high,5more,2,small,high,unacc,191
high,low,2,4,big,low,unacc,771
med,high,3,4,med,med,unacc,1012
med,med,2,4,med,low,unacc,1092
high,low,2,more,med,low,unacc,777
high,vhigh,3,2,med,high,unacc,464
low,vhigh,2,4,small,med,unacc,1306
high,vhigh,4,4,small,high,unacc,497
med,vhigh,2,4,big,low,unacc,879
med,low,5more,4,big,low,unacc,1284
high,med,2,2,med,low,unacc,651
med,med,2,2,med,low,unacc,1083
vhigh,high,2,2,small,high,unacc,110
med,vhigh,2,more,med,med,unacc,886
low,low,3,2,big,med,unacc,1654
low,low,4,more,big,low,unacc,1698
high,high,3,more,big,low,unacc,591
vhigh,med,4,4,med,low,unacc,282
low,med,2,more,med,low,unacc,1533
low,low,5more,more,med,low,unacc,1722
vhigh,low,4,4,med,low,unacc,390
vhigh,vhigh,4,4,med,low,unacc,66
med,vhigh,2,4,med,med,unacc,877
vhigh,high,4,more,med,low,unacc,183
med,low,3,4,big,low,unacc,1230
vhigh,vhigh,4,4,small,med,unacc,64
low,med,2,2,big,med,unacc,1519
med,high,4,2,big,med,unacc,1033
med,high,5more,4,med,low,unacc,1065
high,low,4,2,big,high,unacc,818
high,high,4,more,small,med,unacc,613
med,high,3,2,big,med,unacc,1006
high,vhigh,2,4,small,low,unacc,441
high,vhigh,4,4,small,med,unacc,496
high,high,5more,2,med,med,unacc,625
med,med,5more,more,big,low,unacc,1185
vhigh,high,5more,more,big,high,unacc,215
vhigh,med,3,2,med,high,unacc,248
med,high,2,2,small,med,unacc,973
high,high,3,4,med,low,unacc,579
vhigh,high,3,2,big,med,unacc,142
high,low,4,2,med,low,unacc,813
low,med,4,2,small,med,unacc,1567
vhigh,med,4,4,small,low,unacc,279
vhigh,low,2,4,small,med,unacc,334
high,high,3,2,med,low,unacc,570
med,vhigh,3,more,med,low,unacc,912
med,high,2,more,small,high,unacc,992
vhigh,high,2,2,big,high,unacc,116
high,high,4,4,big,low,unacc,609
med,high,2,2,big,med,unacc,979
high,low,3,2,med,high,unacc,788
vhigh,high,2,4,small,med,unacc,118
low,med,2,2,big,low,unacc,1518
med,med,5more,2,med,med,unacc,1165
high,high,5more,4,small,low,unacc,630
med,med,4,4,big,low,unacc,1149
vhigh,vhigh,4,2,big,high,unacc,62
vhigh,vhigh,5more,4,small,high,unacc,92
high,vhigh,4,2,small,high,unacc,488
high,vhigh,4,more,small,med,unacc,505
high,low,4,4,small,med,unacc,820
high,med,3,more,med,low,unacc,696
low,vhigh,5more,2,big,med,unacc,1384
med,low,2,2,big,med,unacc,1195
vhigh,vhigh,4,more,big,med,unacc,79
high,med,4,more,med,low,unacc,723
high,med,3,4,small,low,unacc,684
low,vhigh,3,4,small,med,unacc,1333
vhigh,high,3,more,small,med,unacc,154
low,vhigh,4,4,med,low,unacc,1362
low,med,3,more,med,low,unacc,1560
med,vhigh,3,4,small,low,unacc,900
low,low,2,more,big,low,unacc,1644
vhigh,low,4,2,big,low,unacc,384
med,med,4,2,small,high,unacc,1136
low,med,2,2,med,high,unacc,1517
vhigh,med,2,4,small,low,unacc,225
vhigh,med,5more,4,big,low,unacc,312
vhigh,med,5more,2,big,med,unacc,304
low,vhigh,3,4,big,low,unacc,1338
vhigh,high,2,2,big,med,unacc,115
med,med,5more,4,small,low,unacc,1170
vhigh,low,4,more,med,low,unacc,399
low,low,3,more,small,low,unacc,1665
vhigh,vhigh,4,2,med,high,unacc,59
vhigh,vhigh,2,more,small,low,unacc,18
vhigh,vhigh,3,more,big,low,unacc,51
low,vhigh,5more,4,small,low,unacc,1386
high,med,3,more,big,low,unacc,699
med,high,5more,2,small,med,unacc,1054
low,high,2,2,big,low,unacc,1410
high,vhigh,5more,2,small,low,unacc,513
vhigh,high,2,2,med,high,unacc,113
low,med,5more,2,big,high,unacc,1601
high,high,5more,2,small,low,unacc,621
high,vhigh,3,2,small,low,unacc,459
vhigh,med,3,more,big,low,unacc,267
high,med,3,2,med,med,unacc,679
high,med,4,2,big,high,unacc,710
vhigh,vhigh,3,more,med,low,unacc,48
high,low,5more,2,big,high,unacc,845
med,high,4,2,small,high,unacc,1028
high,vhigh,3,4,med,low,unacc,471
vhigh,med,3,2,big,high,unacc,251
med,vhigh,4,more,small,low,unacc,936
low,med,4,more,med,low,unacc,1587
vhigh,high,5more,more,small,med,unacc,208
med,vhigh,4,more,big,low,unacc,942
vhigh,high,5more,4,med,low,unacc,201
high,high,2,4,med,med,unacc,553
high,med,2,more,med,low,unacc,669
vhigh,vhigh,5more,more,med,low,unacc,102
high,low,4,4,med,low,unacc,822
low,low,4,4,small,low,unacc,1683
vhigh,vhigh,5more,2,big,high,unacc,89
vhigh,med,2,more,small,med,unacc,235
low,vhigh,2,2,med,high,unacc,1301
med,vhigh,3,2,med,med,unacc,895
low,med,3,4,small,low,unacc,1548
med,low,5more,4,med,low,unacc,1281
vhigh,high,2,4,med,high,unacc,122
med,high,2,2,small,high,unacc,974
vhigh,low,2,2,big,low,unacc,330
high,med,2,2,small,high,unacc,650
high,vhigh,2,4,med,high,unacc,446
high,vhigh,2,2,big,high,unacc,440
low,low,5more,2,med,low,unacc,1704
vhigh,low,2,2,med,high,unacc,329
med,high,4,4,big,low,unacc,1041
high,low,2,more,med,med,unacc,778
med,med,5more,2,big,high,unacc,1169
vhigh,high,2,more,big,med,unacc,133
low,high,2,more,small,med,unacc,1423
low,high,4,2,small,high,unacc,1460
vhigh,high,4,4,big,low,unacc,177
med,med,2,2,med,high,unacc,1085
vhigh,med,3,more,med,low,unacc,264
low,med,2,2,big,high,unacc,1520
low,med,4,2,big,low,unacc,1572
low,high,3,more,big,low,unacc,1455
vhigh,vhigh,5more,4,med,low,unacc,93
med,med,5more,2,big,med,unacc,1168
med,low,4,2,med,med,unacc,1246
med,low,3,2,small,med,unacc,1216
vhigh,vhigh,3,2,med,low,unacc,30
vhigh,med,4,2,big,high,unacc,278
high,vhigh,5more,2,big,low,unacc,519
vhigh,med,3,2,small,high,unacc,245
high,vhigh,3,more,small,high,unacc,479
low,low,3,more,big,low,unacc,1671
high,low,2,2,small,low,unacc,756
high,vhigh,3,4,big,low,unacc,474
vhigh,med,4,4,small,med,unacc,280
med,med,2,2,med,med,unacc,1084
med,med,2,more,small,high,unacc,1100
vhigh,med,2,2,small,low,unacc,216
high,low,3,more,med,low,unacc,804
high,vhigh,3,4,small,med,unacc,469
vhigh,low,4,4,big,low,unacc,393
med,high,3,more,med,low,unacc,1020
med,vhigh,3,4,big,low,unacc,906
high,med,5more,2,med,med,unacc,733
low,high,3,2,med,high,unacc,1436
low,vhigh,4,2,big,high,unacc,1358
high,low,2,2,small,med,unacc,757
vhigh,low,2,4,big,low,unacc,339
low,med,4,2,med,med,unacc,1570
low,low,2,2,big,low,unacc,1626
vhigh,vhigh,5more,more,small,high,unacc,101
high,high,5more,4,med,low,unacc,633
high,vhigh,2,2,med,low,unacc,435
vhigh,high,2,2,small,low,unacc,108
high,vhigh,5more,more,small,low,unacc,531
high,vhigh,2,4,big,low,unacc,447
vhigh,vhigh,5more,more,small,med,unacc,100
med,vhigh,3,2,small,high,unacc,893
vhigh,vhigh,3,4,med,low,unacc,39
high,high,3,2,small,high,unacc,569
med,high,4,2,med,high,unacc,1031
vhigh,vhigh,2,more,small,med,unacc,19
low,high,3,2,small,high,unacc,1433
low,vhigh,2,more,small,low,unacc,1314
high,med,2,4,small,med,unacc,658
vhigh,vhigh,5more,2,big,low,unacc,87
vhigh,high,3,more,med,med,unacc,157
low,vhigh,4,2,small,low,unacc,1350
high,vhigh,2,2,small,med,unacc,433
med,high,5more,4,small,low,unacc,1062
med,vhigh,5more,2,big,low,unacc,951
low,low,4,more,med,low,unacc,1695
med,med,4,2,small,med,unacc,1135
low,med,4,4,med,low,unacc,1578
high,low,2,2,big,med,unacc,763
vhigh,med,2,4,med,low,unacc,228
vhigh,med,2,more,med,low,unacc,237
high,high,4,4,small,med,unacc,604
low,vhigh,2,more,small,high,unacc,1316
vhigh,med,2,2,big,med,unacc,223
vhigh,high,5more,4,small,med,unacc,199
med,vhigh,3,2,big,low,unacc,897
vhigh,high,2,4,big,low,unacc,123
vhigh,low,5more,more,small,med,unacc,424
low,vhigh,5more,more,small,med,unacc,1396
med,low,4,2,small,med,unacc,1243
low,low,4,2,big,med,unacc,1681
high,high,3,4,med,med,unacc,580
med,med,4,2,big,high,unacc,1142
vhigh,low,5more,2,big,low,unacc,411
med,high,2,more,small,med,unacc,991
vhigh,low,3,more,big,low,unacc,375
low,low,3,2,big,high,unacc,1655
med,low,2,more,med,low,unacc,1209
low,low,2,4,small,low,unacc,1629
high,med,3,2,big,med,unacc,682
high,med,2,2,big,high,unacc,656
med,high,5more,2,small,low,unacc,1053
high,vhigh,5more,2,big,med,unacc,520
vhigh,high,3,more,small,low,unacc,153
vhigh,high,2,4,med,med,unacc,121
vhigh,high,3,2,big,high,unacc,143
low,vhigh,2,4,med,med,unacc,1309
low,vhigh,3,more,med,low,unacc,1344
med,high,3,2,med,low,unacc,1002
med,med,3,2,small,low,unacc,1107
med,med,2,more,big,low,unacc,1104
high,vhigh,4,2,small,low,unacc,486
low,vhigh,4,more,med,low,unacc,1371
med,vhigh,3,2,small,med,unacc,892
high,low,5more,2,med,med,unacc,841
med,low,4,2,big,high,unacc,1250
vhigh,vhigh,2,more,med,low,unacc,21
med,vhigh,4,2,small,med,unacc,919
high,vhigh,3,2,big,high,unacc,467
vhigh,high,4,4,med,low,unacc,174
high,low,3,2,big,high,unacc,791
high,vhigh,5more,4,med,med,unacc,526
vhigh,low,5more,2,small,high,unacc,407
low,vhigh,4,4,small,low,unacc,1359
med,med,3,4,small,low,unacc,1116
high,vhigh,4,more,med,high,unacc,509
vhigh,high,4,2,small,high,unacc,164
med,high,4,4,med,low,unacc,1038
med,low,2,more,small,low,unacc,1206
vhigh,med,2,more,small,low,unacc,234
med,vhigh,3,2,big,high,unacc,899
low,high,3,2,big,med,unacc,1438
low,low,3,2,small,low,unacc,1647
low,low,2,4,big,low,unacc,1635
high,med,3,2,big,low,unacc,681
med,high,5more,2,big,low,unacc,1059
vhigh,low,4,2,big,med,unacc,385
low,low,5more,2,med,med,unacc,1705
med,low,5more,2,med,high,unacc,1274
high,high,5more,more,small,med,unacc,640
vhigh,high,2,more,med,high,unacc,131
vhigh,high,4,more,small,med,unacc,181
low,high,2,2,med,high,unacc,1409
low,high,5more,4,big,low,unacc,1500
high,vhigh,2,2,small,high,unacc,434
vhigh,low,5more,more,small,low,unacc,423
med,high,5more,2,med,high,unacc,1058
vhigh,med,3,4,small,low,unacc,252
med,high,2,2,small,low,unacc,972
vhigh,low,3,more,small,med,unacc,370
vhigh,vhigh,2,4,big,high,unacc,17
vhigh,high,3,2,med,med,unacc,139
low,vhigh,2,4,small,low,unacc,1305
high,high,4,2,small,med,unacc,595
low,vhigh,5more,4,big,low,unacc,1392
vhigh,low,3,2,med,med,unacc,355
vhigh,vhigh,4,4,med,high,unacc,68
vhigh,high,5more,2,big,high,unacc,197
vhigh,vhigh,4,4,big,med,unacc,70
med,vhigh,3,more,big,low,unacc,915
low,med,2,more,small,med,unacc,1531
med,med,3,more,big,low,unacc,1131
low,med,4,4,big,low,unacc,1581
vhigh,vhigh,3,more,small,med,unacc,46
low,vhigh,4,2,big,low,unacc,1356
vhigh,vhigh,5more,2,small,med,unacc,82
high,med,5more,4,small,low,unacc,738
vhigh,high,5more,more,med,med,unacc,211
low,med,2,2,med,low,unacc,1515
low,high,5more,2,med,med,unacc,1489
vhigh,vhigh,4,more,small,high,unacc,74
high,high,3,2,small,low,unacc,567
high,vhigh,4,more,med,med,unacc,508
high,med,5more,2,big,low,unacc,735
vhigh,high,4,2,med,high,unacc,167
high,med,3,more,small,low,unacc,693
med,vhigh,4,more,med,low,unacc,939
vhigh,high,2,2,big,low,unacc,114
vhigh,med,5more,2,med,high,unacc,302
low,med,5more,2,small,high,unacc,1595
low,vhigh,3,more,small,med,unacc,1342
vhigh,low,5more,4,med,low,unacc,417
low,low,2,2,small,low,unacc,1620
high,low,3,2,med,med,unacc,787
vhigh,high,5more,4,small,high,unacc,200
low,high,2,more,med,low,unacc,1425
high,med,5more,2,med,high,unacc,734
high,high,2,4,small,low,unacc,549
vhigh,med,5more,2,small,med,unacc,298
low,high,5more,4,med,low,unacc,1497
low,med,3,more,big,low,unacc,1563
med,low,2,2,med,high,unacc,1193
med,med,5more,2,small,low,unacc,1161
low,med,5more,more,small,low,unacc,1611
vhigh,vhigh,3,4,small,high,unacc,38
high,vhigh,3,2,big,med,unacc,466
vhigh,high,5more,4,big,med,unacc,205
low,med,5more,2,med,low,unacc,1596
vhigh,high,5more,more,big,low,unacc,213
vhigh,med,3,2,big,med,unacc,250
med,high,3,4,med,low,unacc,1011
vhigh,med,5more,2,big,high,unacc,305
high,med,3,4,big,low,unacc,690
high,vhigh,5more,4,med,high,unacc,527
low,high,2,more,big,low,unacc,1428
high,med,2,2,big,low,unacc,654
vhigh,low,5more,2,med,high,unacc,410
vhigh,low,2,2,small,low,unacc,324
med,low,4,4,small,low,unacc,1251
high,low,3,2,big,low,unacc,789
high,vhigh,3,2,med,med,unacc,463
high,high,5more,2,big,high,unacc,629
high,vhigh,5more,more,med,med,unacc,535
med,high,3,more,small,med,unacc,1018
med,high,2,2,med,low,unacc,975
med,vhigh,4,more,small,med,unacc,937
high,vhigh,5more,4,med,low,unacc,525
vhigh,low,2,more,med,low,unacc,345
vhigh,med,5more,2,med,med,unacc,301
high,vhigh,2,more,big,med,unacc,457
low,low,2,2,small,high,unacc,1622
high,vhigh,3,4,big,high,unacc,476
low,med,5more,4,med,low,unacc,1605
med,vhigh,5more,4,med,low,unacc,957
med,vhigh,2,2,med,high,unacc,869
vhigh,med,5more,more,med,low,unacc,318
med,vhigh,4,2,big,low,unacc,924
vhigh,vhigh,5more,2,small,low,unacc,81
low,vhigh,3,2,small,high,unacc,1325
med,low,2,2,small,high,unacc,1190
vhigh,med,5more,4,med,low,unacc,309
med,vhigh,4,2,small,high,unacc,920
high,low,3,2,small,med,unacc,784
vhigh,high,3,more,med,high,unacc,158
high,vhigh,3,more,med,low,unacc,480
vhigh,low,5more,4,big,low,unacc,420
high,med,4,more,big,low,unacc,726
vhigh,med,2,4,small,med,unacc,226
med,med,4,more,med,low,unacc,1155
vhigh,high,2,2,med,low,unacc,111
med,high,2,more,med,low,unacc,993
vhigh,high,3,4,small,med,unacc,145
high,med,5more,2,big,med,unacc,736
med,low,3,2,med,high,unacc,1220
vhigh,high,4,more,med,med,unacc,184
med,vhigh,2,4,small,med,unacc,874
vhigh,vhigh,5more,2,med,low,unacc,84
