buying,maint,doors,persons,lug_boot,safety,CAR,sampleNum
vhigh,vhigh,4,4,big,low,unacc,69
low,low,2,more,small,med,unacc,1639
med,vhigh,2,2,big,high,unacc,872
med,low,5more,more,big,low,unacc,1293
med,low,3,more,small,low,unacc,1233
low,high,4,2,big,low,unacc,1464
med,med,5more,4,med,low,unacc,1173
high,low,5more,2,small,low,unacc,837
high,high,4,more,big,low,unacc,618
vhigh,vhigh,4,2,med,low,unacc,57
high,vhigh,2,2,big,med,unacc,439
high,low,2,4,med,low,unacc,768
high,med,3,more,small,med,unacc,694
high,vhigh,3,more,big,high,unacc,485
vhigh,high,3,2,med,low,unacc,138
low,low,4,2,big,high,unacc,1682
vhigh,low,4,2,med,low,unacc,381
med,high,4,4,small,med,unacc,1036
high,med,2,more,med,med,unacc,670
high,high,2,2,big,high,unacc,548
med,med,4,4,med,low,unacc,1146
low,vhigh,2,2,big,high,unacc,1304
med,high,5more,4,small,med,unacc,1063
low,low,5more,4,med,low,unacc,1713
med,high,5more,more,small,low,unacc,1071
vhigh,high,2,more,big,low,unacc,132
low,high,4,4,med,low,unacc,1470
med,high,4,2,small,med,unacc,1027
med,vhigh,2,more,small,high,unacc,884
vhigh,med,3,4,med,med,unacc,256
high,high,3,2,big,low,unacc,573
high,med,5more,2,med,low,unacc,732
high,high,5more,more,big,low,unacc,645
low,vhigh,3,2,big,high,unacc,1331
low,low,5more,2,small,low,unacc,1701
med,high,5more,more,small,med,unacc,1072
vhigh,high,3,more,med,low,unacc,156
vhigh,low,2,4,med,low,unacc,336
high,med,5more,2,big,high,unacc,737
high,vhigh,3,4,small,low,unacc,468
vhigh,low,4,4,small,low,unacc,387
med,high,2,4,big,low,unacc,987
vhigh,low,2,more,med,med,unacc,346
low,med,5more,2,med,med,unacc,1597
high,high,4,2,big,med,unacc,601
low,high,5more,2,big,med,unacc,1492
vhigh,low,5more,4,small,low,unacc,414
vhigh,high,2,more,med,low,unacc,129
med,high,2,more,med,med,unacc,994
low,high,2,2,small,high,unacc,1406
med,vhigh,3,2,med,low,unacc,894
vhigh,vhigh,2,4,small,med,unacc,10
low,med,5more,2,big,low,unacc,1599
low,high,4,2,big,high,unacc,1466
med,low,4,more,big,low,unacc,1266
vhigh,med,3,2,big,low,unacc,249
low,high,4,2,med,high,unacc,1463
med,med,4,2,med,med,unacc,1138
vhigh,vhigh,2,4,big,med,unacc,16
med,med,4,2,med,high,unacc,1139
vhigh,med,5more,4,small,med,unacc,307
high,high,4,4,med,low,unacc,606
low,high,2,4,med,low,unacc,1416
high,med,3,2,big,high,unacc,683
low,low,2,more,small,high,unacc,1640
med,vhigh,5more,4,small,med,unacc,955
med,high,4,2,big,low,unacc,1032
high,vhigh,2,4,big,high,unacc,449
med,high,3,2,med,high,unacc,1004
vhigh,high,2,more,small,high,unacc,128
vhigh,med,4,more,small,med,unacc,289
vhigh,high,4,2,small,low,unacc,162
vhigh,low,3,2,med,low,unacc,354
med,med,4,more,small,low,unacc,1152
high,vhigh,4,4,small,low,unacc,495
vhigh,low,2,4,small,low,unacc,333
vhigh,high,2,2,small,med,unacc,109
low,med,3,4,big,low,unacc,1554
high,high,2,more,small,med,unacc,559
vhigh,med,2,2,med,med,unacc,220
med,med,2,more,small,low,unacc,1098
vhigh,high,2,4,med,low,unacc,120
low,low,2,more,med,low,unacc,1641
med,vhigh,5more,2,big,med,unacc,952
vhigh,high,3,2,small,med,unacc,136
low,low,3,4,med,low,unacc,1659
high,high,2,2,small,med,unacc,541
high,vhigh,4,4,big,high,unacc,503
high,vhigh,3,2,small,med,unacc,460
high,low,4,2,small,low,unacc,810
med,high,3,more,big,low,unacc,1023
vhigh,vhigh,3,4,big,high,unacc,44
med,low,2,2,med,med,unacc,1192
vhigh,high,4,2,med,low,unacc,165
med,low,4,4,med,low,unacc,1254
vhigh,high,2,4,big,med,unacc,124
med,med,3,2,big,low,unacc,1113
high,low,5more,more,big,low,unacc,861
high,high,5more,2,med,low,unacc,624
vhigh,high,5more,4,med,high,unacc,203
low,high,4,2,small,low,unacc,1458
vhigh,vhigh,2,4,med,low,unacc,12
low,low,2,2,small,med,unacc,1621
vhigh,vhigh,2,more,big,high,unacc,26
low,vhigh,5more,2,med,low,unacc,1380
high,high,4,more,small,low,unacc,612
high,high,2,4,small,med,unacc,550
vhigh,med,2,4,big,low,unacc,231
high,med,4,2,med,low,unacc,705
low,high,4,2,med,low,unacc,1461
low,low,3,2,small,med,unacc,1648
med,low,2,more,big,low,unacc,1212
vhigh,vhigh,2,more,med,high,unacc,23
vhigh,vhigh,3,4,big,low,unacc,42
high,low,3,more,big,low,unacc,807
med,low,5more,2,med,med,unacc,1273
med,high,4,4,small,low,unacc,1035
low,med,3,2,med,low,unacc,1542
high,med,4,2,med,high,unacc,707
vhigh,med,3,more,small,med,unacc,262
med,med,2,2,small,med,unacc,1081
high,high,2,2,big,low,unacc,546
low,med,2,more,small,low,unacc,1530
high,vhigh,2,4,small,high,unacc,443
low,low,2,2,med,med,unacc,1624
high,vhigh,4,2,big,high,unacc,494
vhigh,vhigh,3,4,big,med,unacc,43
vhigh,low,4,more,small,med,unacc,397
med,low,3,2,med,med,unacc,1219
high,vhigh,5more,more,big,med,unacc,538
low,vhigh,2,more,small,med,unacc,1315
high,low,5more,2,big,med,unacc,844
vhigh,high,5more,2,med,med,unacc,193
vhigh,low,2,more,small,high,unacc,344
vhigh,low,5more,2,small,low,unacc,405
vhigh,high,2,more,big,high,unacc,134
high,med,2,more,big,low,unacc,672
vhigh,low,2,4,med,med,unacc,337
low,vhigh,3,more,big,low,unacc,1347
high,low,3,more,small,low,unacc,801
med,low,5more,2,big,high,unacc,1277
low,high,5more,2,small,med,unacc,1486
low,vhigh,2,more,big,low,unacc,1320
high,vhigh,2,more,small,med,unacc,451
vhigh,low,2,more,small,med,unacc,343
vhigh,med,5more,2,small,high,unacc,299
med,med,2,more,med,low,unacc,1101
med,high,5more,2,big,high,unacc,1061
vhigh,vhigh,4,2,small,high,unacc,56
high,low,2,4,small,low,unacc,765
med,low,3,2,big,high,unacc,1223
vhigh,vhigh,5more,2,med,high,unacc,86
low,low,4,2,med,low,unacc,1677
vhigh,high,4,more,big,med,unacc,187
med,med,2,more,small,med,unacc,1099
med,high,3,2,small,high,unacc,1001
vhigh,vhigh,3,more,small,low,unacc,45
low,vhigh,4,2,small,high,unacc,1352
high,med,2,2,med,med,unacc,652
vhigh,vhigh,5more,4,small,low,unacc,90
high,high,4,2,med,high,unacc,599
high,med,5more,more,med,low,unacc,750
vhigh,low,4,more,big,low,unacc,402
vhigh,low,5more,4,big,high,acc,422
med,low,3,4,med,med,acc,1228
med,low,3,4,small,med,acc,1225
low,high,4,more,big,med,acc,1483
high,high,4,more,small,high,acc,614
med,med,3,4,med,med,acc,1120
low,vhigh,2,more,big,high,acc,1322
med,vhigh,4,more,small,high,acc,938
vhigh,med,5more,4,small,high,acc,308
high,med,4,4,med,med,acc,715
high,med,2,4,big,high,acc,665
low,high,2,4,med,med,acc,1417
high,med,4,more,big,med,acc,727
vhigh,med,5more,more,med,med,acc,319
low,high,3,more,small,med,acc,1450
low,high,3,4,med,high,acc,1445
high,med,3,4,small,high,acc,686
vhigh,low,4,4,big,high,acc,395
med,med,5more,more,small,med,acc,1180
vhigh,low,4,4,med,med,acc,391
vhigh,low,3,more,med,high,acc,374
vhigh,med,5more,4,big,high,acc,314
high,high,5more,4,big,high,acc,638
high,high,5more,more,small,high,acc,641
med,vhigh,2,4,big,med,acc,880
low,high,5more,4,big,med,acc,1501
low,vhigh,5more,4,big,high,acc,1394
med,vhigh,5more,more,small,high,acc,965
high,low,4,more,big,high,acc,836
high,med,5more,more,med,high,acc,752
low,vhigh,5more,more,big,med,acc,1402
high,med,3,4,big,high,acc,692
high,low,4,4,big,high,acc,827
vhigh,low,4,4,med,high,acc,392
med,high,4,more,med,med,acc,1048
med,high,2,4,small,high,acc,983
vhigh,low,5more,more,big,high,acc,431
med,vhigh,4,more,big,high,acc,944
med,high,3,more,med,med,acc,1021
med,vhigh,3,more,small,high,acc,911
low,vhigh,3,more,big,high,acc,1349
high,high,2,more,med,high,acc,563
med,vhigh,2,more,big,high,acc,890
med,med,4,more,small,med,acc,1153
med,low,4,more,small,med,acc,1261
low,high,5more,more,big,med,acc,1510
high,low,5more,more,med,med,acc,859
med,low,2,4,small,med,acc,1198
med,high,2,4,big,high,acc,989
med,med,4,4,small,high,acc,1145
low,vhigh,5more,4,med,high,acc,1391
high,high,3,more,med,med,acc,589
low,med,3,4,med,med,acc,1552
vhigh,med,3,more,small,high,acc,263
high,low,3,more,big,med,acc,808
high,low,4,4,med,med,acc,823
vhigh,low,5more,more,big,med,acc,430
high,high,3,more,med,high,acc,590
low,high,5more,more,med,med,acc,1507
low,vhigh,5more,more,big,high,acc,1403
vhigh,med,2,4,big,high,acc,233
med,high,2,more,big,high,acc,998
vhigh,med,3,more,med,high,acc,266
high,low,5more,more,med,high,acc,860
vhigh,low,4,4,big,med,acc,394
high,high,3,4,big,med,acc,583
high,high,4,4,med,high,acc,608
high,low,2,more,med,high,acc,779
med,vhigh,5more,4,med,high,acc,959
low,vhigh,2,4,big,med,acc,1312
high,low,3,4,big,med,acc,799
high,low,3,4,med,high,acc,797
med,vhigh,4,4,med,high,acc,932
med,vhigh,2,4,med,high,acc,878
low,high,3,more,big,med,acc,1456
high,high,2,more,big,med,acc,565
low,med,5more,4,big,high,vgood,1610
med,med,3,more,med,high,vgood,1130
med,med,3,4,big,high,vgood,1124
med,low,3,more,big,high,vgood,1241
low,high,4,more,big,high,vgood,1484
low,low,3,more,big,high,vgood,1673
med,low,4,4,big,high,vgood,1259
low,low,5more,more,big,high,vgood,1727
med,med,4,more,med,high,vgood,1157
low,med,3,4,big,high,vgood,1556
med,low,4,4,med,high,vgood,1256
low,high,2,4,big,high,vgood,1421
med,low,5more,more,med,high,vgood,1292
low,med,3,4,med,high,good,1553
med,low,4,more,small,high,good,1262
med,low,4,4,med,med,good,1255
low,low,2,4,med,high,good,1634
low,med,2,4,big,med,good,1528
low,med,4,4,big,med,good,1582
med,low,3,more,small,high,good,1235
low,med,4,more,big,med,good,1591
low,med,2,4,small,high,good,1523
low,low,3,more,med,med,good,1669
low,med,5more,more,med,med,good,1615
med,low,5more,4,small,high,good,1280
low,low,5more,more,med,med,good,1723
