Length,Diameter,Height,Whole weight,Shucked weight,Viscera weight,Shell weight,Rings,sampleNum,Sex_I,Sex_M
0.395,0.3,0.09,0.253,0.1155,0.05,0.075,6,3014,True,False
0.635,0.51,0.185,1.308,0.544,0.318,0.377,8,1505,False,True
0.75,0.565,0.215,1.938,0.7735,0.4825,0.575,11,1760,False,False
0.56,0.445,0.15,0.8225,0.3685,0.187,0.236,10,1619,True,False
0.61,0.49,0.16,1.112,0.465,0.228,0.341,10,2033,False,True
0.65,0.525,0.185,1.3455,0.586,0.278,0.3865,9,4118,False,True
0.52,0.38,0.115,0.6645,0.3285,0.17,0.1425,7,1865,True,False
0.375,0.28,0.1,0.2565,0.1165,0.0585,0.0725,12,3324,True,False
0.67,0.54,0.2,1.46,0.6435,0.328,0.4165,9,3705,False,False
0.64,0.515,0.165,1.369,0.632,0.3415,0.358,10,1175,False,True
0.41,0.315,0.11,0.321,0.1255,0.0655,0.095,10,2423,False,False
0.56,0.43,0.155,0.8675,0.4,0.172,0.229,8,4171,False,True
0.47,0.38,0.145,0.5865,0.2385,0.144,0.185,8,397,False,True
0.475,0.355,0.125,0.4865,0.2155,0.1105,0.142,9,3544,True,False
0.49,0.38,0.11,0.554,0.2935,0.1005,0.15,8,2645,False,True
0.46,0.35,0.125,0.5165,0.1885,0.1145,0.185,9,3135,False,True
0.485,0.365,0.09,0.651,0.3165,0.132,0.18,8,4032,True,False
0.31,0.235,0.075,0.1515,0.056,0.0315,0.05,7,3197,True,False
0.68,0.57,0.205,1.842,0.625,0.408,0.65,20,167,False,False
0.215,0.15,0.03,0.0385,0.0115,0.005,0.01,5,2172,True,False
0.445,0.34,0.145,0.434,0.1945,0.0905,0.13,7,1085,True,False
0.545,0.41,0.14,0.7405,0.3565,0.1775,0.203,9,1472,False,False
0.385,0.285,0.085,0.244,0.1215,0.0445,0.068,8,2724,True,False
0.4,0.335,0.115,0.4335,0.2105,0.1205,0.12,10,3267,False,False
0.595,0.465,0.15,1.1005,0.5415,0.166,0.265,8,2672,False,False
0.415,0.305,0.1,0.325,0.156,0.0505,0.091,6,830,False,True
0.56,0.445,0.16,0.8965,0.42,0.2175,0.2215,8,1127,False,True
0.59,0.475,0.155,0.9715,0.371,0.235,0.28,11,3283,False,False
0.5,0.39,0.125,0.583,0.294,0.132,0.1605,8,2647,True,False
0.36,0.3,0.085,0.27,0.1185,0.064,0.0745,7,819,True,False
0.525,0.4,0.11,0.6275,0.3015,0.126,0.18,8,3031,True,False
0.505,0.39,0.12,0.653,0.3315,0.1385,0.167,9,2016,False,True
0.35,0.265,0.09,0.1855,0.0745,0.0415,0.06,7,2448,False,False
0.45,0.335,0.11,0.4195,0.181,0.085,0.1345,7,1562,True,False
0.28,0.21,0.075,0.1195,0.053,0.0265,0.03,6,1989,True,False
0.64,0.505,0.19,1.2765,0.4835,0.328,0.4,12,3229,False,False
0.65,0.495,0.16,1.2075,0.55,0.2695,0.32,10,3694,False,True
0.55,0.43,0.15,0.8745,0.413,0.1905,0.248,9,1313,False,True
0.565,0.45,0.16,0.795,0.3605,0.1555,0.23,12,548,False,False
0.5,0.38,0.125,0.577,0.269,0.1265,0.1535,9,4167,False,True
0.525,0.4,0.13,0.6445,0.345,0.1285,0.2,8,2756,True,False
0.62,0.465,0.14,1.011,0.479,0.2385,0.255,8,4012,False,False
0.595,0.45,0.15,1.114,0.5865,0.2205,0.25,11,1000,False,False
0.62,0.485,0.175,1.2155,0.545,0.253,0.345,10,2604,False,False
0.66,0.535,0.175,1.5175,0.711,0.3125,0.415,12,1726,False,False
0.555,0.44,0.15,1.092,0.416,0.212,0.4405,15,722,False,True
0.36,0.265,0.09,0.2065,0.078,0.057,0.06,8,741,False,False
0.5,0.355,0.14,0.528,0.2125,0.149,0.14,9,2444,False,True
0.55,0.405,0.125,0.651,0.2965,0.137,0.2,9,1312,False,False
0.645,0.5,0.175,1.286,0.5645,0.288,0.386,12,1707,False,True
0.685,0.535,0.155,1.3845,0.6615,0.2145,0.4075,10,1974,False,True
0.51,0.405,0.135,0.769,0.3655,0.1585,0.18,7,967,True,False
0.525,0.41,0.15,0.708,0.274,0.151,0.25,12,3874,False,False
0.385,0.3,0.095,0.24,0.0885,0.059,0.085,9,529,False,True
0.55,0.46,0.13,0.7085,0.305,0.1455,0.205,12,3287,False,True
0.595,0.44,0.135,0.964,0.5005,0.1715,0.2575,10,3672,False,False
0.62,0.51,0.175,1.1255,0.4985,0.227,0.315,14,3286,False,False
0.41,0.32,0.095,0.2905,0.141,0.063,0.073,5,1442,True,False
0.695,0.535,0.175,1.8385,0.8035,0.396,0.503,10,1046,False,False
0.43,0.32,0.11,0.3675,0.1675,0.102,0.105,8,2009,True,False
0.36,0.27,0.095,0.2,0.073,0.056,0.061,8,1540,True,False
0.605,0.455,0.16,1.1215,0.533,0.273,0.271,10,3733,False,True
0.475,0.36,0.11,0.452,0.191,0.099,0.13,8,3753,True,False
0.625,0.48,0.2,1.3235,0.6075,0.3055,0.355,9,3144,False,False
0.605,0.49,0.14,0.9755,0.419,0.206,0.315,10,1359,False,True
0.615,0.495,0.16,1.255,0.5815,0.3195,0.3225,12,1928,False,False
0.615,0.455,0.15,0.9335,0.382,0.247,0.2615,10,2932,False,True
0.7,0.53,0.19,1.3185,0.548,0.233,0.42,18,2352,False,True
0.545,0.42,0.125,0.9745,0.353,0.174,0.305,13,3391,False,True
0.415,0.31,0.105,0.3595,0.167,0.083,0.0915,6,3410,True,False
0.55,0.41,0.125,0.7605,0.2505,0.1635,0.195,14,308,False,True
0.525,0.4,0.125,0.6965,0.369,0.1385,0.164,9,1295,True,False
0.675,0.55,0.18,1.6885,0.562,0.3705,0.6,15,2107,False,False
0.61,0.475,0.15,0.9665,0.4145,0.2,0.345,10,574,True,False
0.58,0.455,0.12,0.94,0.399,0.257,0.265,11,2303,False,False
0.47,0.375,0.13,0.5795,0.2145,0.164,0.195,13,2309,False,True
0.725,0.575,0.175,2.124,0.765,0.4515,0.85,20,166,False,False
0.605,0.485,0.165,1.0105,0.435,0.209,0.3,19,497,False,False
0.39,0.315,0.09,0.3095,0.147,0.05,0.09,7,3408,True,False
0.55,0.425,0.145,0.89,0.4325,0.171,0.236,10,2761,True,False
0.28,0.12,0.075,0.117,0.0455,0.029,0.0345,4,898,True,False
0.495,0.385,0.125,0.5125,0.2075,0.1155,0.172,10,4033,True,False
0.52,0.465,0.15,0.9505,0.456,0.199,0.255,8,2890,False,True
0.295,0.215,0.085,0.128,0.049,0.034,0.04,6,295,True,False
0.61,0.495,0.19,1.213,0.464,0.306,0.365,15,3247,False,False
0.39,0.285,0.095,0.271,0.11,0.06,0.08,8,2481,False,True
0.575,0.4,0.155,0.9325,0.3605,0.2445,0.3,17,481,False,True
0.475,0.35,0.125,0.4225,0.1905,0.079,0.1355,9,3646,True,False
0.53,0.395,0.13,0.575,0.247,0.115,0.183,9,1872,True,False
0.515,0.395,0.14,0.686,0.281,0.1255,0.22,12,3956,False,False
0.39,0.29,0.09,0.2625,0.117,0.054,0.077,7,2821,True,False
0.675,0.525,0.175,1.402,0.483,0.3205,0.465,16,3219,False,True
0.505,0.385,0.145,0.6775,0.236,0.179,0.2,15,776,False,True
0.46,0.35,0.12,0.4885,0.193,0.105,0.155,11,648,True,False
0.6,0.46,0.18,1.14,0.423,0.2575,0.365,10,3612,False,True
0.7,0.575,0.19,2.273,1.095,0.418,0.638,12,1193,False,True
0.235,0.175,0.04,0.0705,0.0335,0.015,0.02,5,333,True,False
0.64,0.475,0.19,1.151,0.4365,0.281,0.3805,13,3164,False,False
0.45,0.36,0.125,0.4995,0.2035,0.1,0.17,13,269,False,False
0.645,0.49,0.175,1.32,0.6525,0.2375,0.3385,11,1956,False,True
0.6,0.475,0.16,1.0265,0.485,0.2495,0.2565,9,1153,False,False
0.58,0.47,0.15,0.907,0.444,0.1855,0.2445,11,3569,True,False
0.48,0.37,0.125,0.5435,0.244,0.101,0.165,9,1275,True,False
0.435,0.335,0.11,0.383,0.1555,0.0675,0.135,12,2374,True,False
0.56,0.44,0.17,0.9445,0.3545,0.2175,0.3,12,2369,True,False
0.62,0.485,0.175,1.271,0.531,0.3075,0.37,11,3215,False,False
0.635,0.5,0.18,1.2565,0.539,0.292,0.35,10,4054,False,False
0.625,0.485,0.15,1.044,0.438,0.2865,0.278,9,1693,True,False
0.615,0.46,0.15,1.0265,0.4935,0.201,0.2745,10,2788,False,False
0.605,0.475,0.145,1.0185,0.4695,0.225,0.27,15,3288,False,False
0.46,0.37,0.11,0.3965,0.1485,0.0855,0.1455,8,3022,True,False
0.715,0.52,0.18,1.6,0.708,0.3525,0.445,12,3598,False,True
0.57,0.45,0.155,0.91,0.326,0.1895,0.355,14,3844,False,True
0.505,0.385,0.11,0.655,0.3185,0.15,0.185,9,3257,False,True
0.635,0.49,0.155,1.145,0.4775,0.3035,0.3155,9,3063,False,False
0.72,0.545,0.195,1.7475,0.8215,0.383,0.4705,11,4022,False,True
0.575,0.455,0.155,1.013,0.4685,0.2085,0.295,11,1902,False,True
0.47,0.37,0.135,0.547,0.222,0.1325,0.17,12,2188,False,True
0.505,0.44,0.14,0.8275,0.3415,0.1855,0.239,8,843,False,True
0.265,0.21,0.06,0.0965,0.0425,0.022,0.03,5,320,True,False
0.45,0.345,0.115,0.496,0.1905,0.117,0.14,12,2385,False,False
0.675,0.545,0.185,1.7375,0.876,0.3135,0.469,13,1413,False,True
0.625,0.445,0.16,1.09,0.46,0.2965,0.304,11,1939,False,False
0.505,0.395,0.125,0.635,0.29,0.1555,0.175,9,3155,False,True
0.315,0.235,0.055,0.151,0.065,0.027,0.039,6,1065,True,False
0.53,0.415,0.15,0.7775,0.237,0.1415,0.33,20,6,False,False
0.675,0.52,0.175,1.494,0.7365,0.3055,0.37,9,4100,False,False
0.53,0.435,0.17,0.8155,0.2985,0.155,0.275,13,203,False,False
0.45,0.35,0.135,0.494,0.2205,0.0945,0.1405,7,3976,True,False
0.44,0.345,0.13,0.4495,0.209,0.0835,0.134,6,929,True,False
0.52,0.4,0.12,0.823,0.298,0.1805,0.265,15,732,False,True
0.69,0.555,0.205,1.8165,0.7785,0.4395,0.515,19,3244,False,False
0.415,0.335,0.1,0.358,0.169,0.067,0.105,7,2733,True,False
0.46,0.36,0.135,0.6105,0.1955,0.107,0.235,14,2484,False,True
0.435,0.33,0.105,0.335,0.156,0.0555,0.105,8,1843,True,False
0.55,0.42,0.155,0.912,0.495,0.1805,0.205,9,2762,True,False
0.495,0.4,0.12,0.6605,0.2605,0.161,0.19,15,3382,False,True
0.395,0.27,0.1,0.2985,0.1445,0.061,0.082,5,1249,True,False
0.61,0.49,0.17,1.137,0.4605,0.2825,0.344,12,3812,False,False
0.395,0.29,0.095,0.3,0.158,0.068,0.078,7,2005,True,False
0.465,0.36,0.12,0.4765,0.192,0.1125,0.16,10,2419,False,False
0.54,0.435,0.175,0.892,0.322,0.174,0.335,13,301,False,False
0.49,0.42,0.125,0.609,0.239,0.1435,0.22,14,388,False,True
0.665,0.515,0.2,1.2695,0.5115,0.2675,0.436,12,1967,False,True
0.405,0.3,0.09,0.269,0.103,0.067,0.11,6,1833,True,False
0.445,0.345,0.105,0.409,0.1675,0.1015,0.117,7,1084,True,False
0.255,0.195,0.055,0.0725,0.0285,0.017,0.021,4,2813,True,False
0.6,0.495,0.175,1.29,0.606,0.276,0.3445,11,864,False,True
0.525,0.42,0.155,0.842,0.428,0.1415,0.2045,9,1296,False,True
0.615,0.505,0.165,1.167,0.4895,0.2955,0.345,10,3734,False,True
0.5,0.39,0.13,0.709,0.275,0.168,0.18,11,2465,False,True
0.275,0.205,0.07,0.1055,0.495,0.019,0.0315,5,2627,True,False
0.49,0.38,0.125,0.549,0.245,0.1075,0.174,10,145,False,False
0.545,0.42,0.12,0.7865,0.403,0.185,0.17,7,2656,False,True
0.525,0.39,0.105,0.567,0.2875,0.1075,0.16,8,3552,True,False
0.46,0.345,0.11,0.4595,0.235,0.0885,0.116,7,2053,False,True
0.51,0.38,0.115,0.5155,0.215,0.1135,0.166,8,1107,True,False
0.615,0.475,0.175,1.103,0.4635,0.3095,0.2725,10,2680,False,True
0.635,0.505,0.17,1.415,0.605,0.297,0.365,15,258,False,False
0.395,0.295,0.1,0.2715,0.134,0.0325,0.085,10,443,True,False
0.415,0.32,0.1,0.3005,0.1215,0.0575,0.104,11,3347,False,True
0.37,0.28,0.09,0.218,0.0995,0.0545,0.0615,7,4152,True,False
0.65,0.59,0.22,1.662,0.77,0.378,0.435,11,1400,False,False
0.52,0.38,0.125,0.5545,0.288,0.1295,0.167,8,1111,True,False
0.525,0.4,0.14,0.7325,0.334,0.1575,0.17,11,973,False,True
0.64,0.515,0.165,1.3115,0.4945,0.2555,0.41,10,1951,False,False
0.66,0.515,0.165,1.4465,0.694,0.298,0.3755,10,2697,False,True
0.49,0.385,0.115,0.683,0.3265,0.1615,0.165,13,3348,True,False
0.485,0.375,0.11,0.464,0.2015,0.09,0.149,8,4071,True,False
0.42,0.315,0.11,0.4025,0.1855,0.083,0.1015,8,2735,True,False
0.58,0.455,0.155,0.8365,0.315,0.1385,0.32,18,318,False,False
0.675,0.525,0.16,1.2835,0.572,0.2755,0.3545,13,1739,False,True
0.625,0.485,0.16,1.254,0.591,0.259,0.3485,9,2848,False,False
0.585,0.46,0.165,1.1135,0.5825,0.2345,0.274,10,1343,False,True
0.55,0.435,0.11,0.806,0.3415,0.203,0.215,9,3158,False,True
0.645,0.48,0.17,1.1345,0.528,0.254,0.305,10,1177,False,False
0.62,0.51,0.15,1.456,0.581,0.2875,0.32,13,2263,False,False
0.65,0.515,0.195,1.4005,0.5195,0.36,0.44,13,2200,False,False
0.41,0.305,0.095,0.2625,0.1,0.0515,0.09,6,2873,True,False
0.565,0.425,0.1,0.7145,0.3055,0.166,0.18,12,2135,False,True
0.545,0.46,0.16,0.8975,0.341,0.1655,0.345,10,257,False,True
0.645,0.49,0.16,1.144,0.5015,0.289,0.319,8,2853,False,False
0.36,0.27,0.09,0.1885,0.0845,0.0385,0.055,5,521,False,False
0.44,0.34,0.105,0.344,0.123,0.081,0.125,8,3638,True,False
0.63,0.48,0.145,1.0115,0.4235,0.237,0.305,12,484,False,True
0.72,0.56,0.175,1.7265,0.637,0.3415,0.525,17,2353,False,False
0.595,0.465,0.15,0.98,0.4115,0.196,0.2255,10,1350,False,False
0.525,0.4,0.13,0.6995,0.3115,0.131,0.223,9,3120,False,False
0.55,0.44,0.15,0.8945,0.3145,0.151,0.32,19,9,False,False
0.6,0.47,0.19,1.1345,0.492,0.2595,0.3375,10,2076,False,False
0.53,0.4,0.125,0.617,0.279,0.127,0.19,8,1117,True,False
0.33,0.255,0.095,0.1875,0.0735,0.045,0.06,7,643,False,True
0.535,0.42,0.15,0.6995,0.2575,0.153,0.24,12,594,False,True
0.65,0.515,0.185,1.3745,0.75,0.1805,0.369,12,3588,False,True
0.585,0.46,0.14,0.7635,0.326,0.153,0.265,9,3669,True,False
0.495,0.38,0.135,0.6295,0.263,0.1425,0.215,12,3894,False,True
0.575,0.44,0.185,1.025,0.5075,0.2245,0.2485,10,1793,False,True
0.63,0.505,0.165,1.26,0.4525,0.2755,0.406,14,875,False,True
0.645,0.55,0.175,1.2915,0.57,0.3045,0.33,14,454,False,False
0.525,0.4,0.14,0.7205,0.3685,0.145,0.1735,8,1469,False,True
0.53,0.4,0.165,0.772,0.2855,0.1975,0.23,12,3948,False,False
0.5,0.385,0.11,0.596,0.3015,0.104,0.151,8,3446,True,False
0.545,0.44,0.135,0.9185,0.429,0.2015,0.2375,10,847,False,False
0.525,0.4,0.13,0.622,0.2655,0.147,0.184,9,3094,False,True
0.295,0.21,0.08,0.1,0.038,0.026,0.031,8,3379,True,False
0.61,0.5,0.165,1.2715,0.4915,0.185,0.49,12,2156,False,True
0.59,0.47,0.18,1.1235,0.4205,0.2805,0.36,13,251,False,True
0.575,0.45,0.125,0.78,0.3275,0.188,0.235,9,1635,True,False
0.56,0.43,0.145,0.898,0.3895,0.2325,0.245,9,3769,False,False
0.605,0.485,0.175,1.145,0.4325,0.27,0.405,16,3299,False,True
0.625,0.47,0.145,1.7855,0.675,0.247,0.3245,13,4052,False,True
0.57,0.46,0.14,0.9535,0.4465,0.2065,0.245,12,352,False,True
0.455,0.35,0.14,0.5185,0.221,0.1265,0.135,10,511,False,False
0.605,0.49,0.18,1.167,0.457,0.29,0.3745,9,2924,False,True
0.34,0.25,0.075,0.1765,0.0785,0.0405,0.05,7,3405,True,False
0.585,0.47,0.17,0.985,0.3695,0.2395,0.315,10,4132,True,False
0.58,0.435,0.14,0.953,0.475,0.2165,0.2095,9,1481,False,False
0.545,0.42,0.14,0.7505,0.2475,0.13,0.255,22,433,False,True
0.665,0.535,0.225,2.1835,0.7535,0.391,0.885,27,2108,False,True
0.53,0.415,0.145,0.944,0.3845,0.185,0.265,21,628,True,False
0.565,0.44,0.115,0.9185,0.404,0.1785,0.29,11,3183,False,True
0.385,0.29,0.09,0.2615,0.111,0.0595,0.0745,9,1242,True,False
0.505,0.385,0.15,0.6415,0.246,0.152,0.215,12,781,False,True
0.635,0.495,0.015,1.1565,0.5115,0.308,0.2885,9,1174,False,False
0.595,0.47,0.145,0.991,0.4035,0.1505,0.34,16,2313,False,True
0.65,0.51,0.175,1.155,0.4955,0.2025,0.385,12,3697,False,True
0.375,0.28,0.08,0.2165,0.0935,0.0925,0.07,7,1545,True,False
0.435,0.335,0.095,0.298,0.109,0.058,0.115,7,2875,True,False
0.485,0.37,0.115,0.637,0.38,0.1335,0.128,7,3485,True,False
0.515,0.425,0.145,0.9365,0.497,0.181,0.2185,8,1466,False,True
0.505,0.475,0.16,1.1155,0.509,0.239,0.3065,8,3486,False,False
0.815,0.65,0.25,2.255,0.8905,0.42,0.7975,14,1428,False,False
0.7,0.565,0.175,1.8565,0.8445,0.3935,0.54,10,1746,False,True
0.59,0.46,0.16,1.0115,0.445,0.2615,0.2565,8,2671,False,False
0.455,0.33,0.1,0.372,0.358,0.0775,0.11,8,1264,True,False
0.65,0.525,0.19,1.6125,0.777,0.3685,0.3965,11,1811,False,True
0.585,0.45,0.16,1.077,0.4995,0.2875,0.25,10,377,False,False
0.35,0.265,0.09,0.1775,0.0575,0.042,0.068,12,609,False,True
0.495,0.395,0.135,0.6335,0.3035,0.1295,0.1495,8,955,False,True
0.72,0.575,0.215,2.226,0.8955,0.405,0.62,13,2265,False,False
0.43,0.335,0.12,0.397,0.1985,0.0865,0.1035,7,1080,False,True
