X,Y,month,day,FFMC,DMC,DC,ISI,temp,RH,wind,rain,area,sampleNum
7,4,9,5,92.1,99.0,745.3,9.6,19.8,47,2.7,0.0,1.000631880307906,352
1,2,8,7,91.4,142.4,601.4,10.6,19.5,39,6.3,0.0,0.0,79
5,6,9,1,90.9,126.5,686.5,7.0,14.7,70,3.6,0.0,0.0,45
2,5,9,1,90.9,126.5,686.5,7.0,21.9,39,1.8,0.0,0.3852624007906449,139
2,5,8,6,93.7,231.1,715.1,8.4,18.9,64,4.9,0.0,0.0,459
3,4,3,2,88.1,25.7,67.6,3.8,15.8,27,7.6,0.0,0.0,113
1,3,9,7,92.4,124.1,680.7,8.5,23.9,32,6.7,0.0,1.8453002361560848,179
6,3,8,5,91.1,141.1,629.1,7.1,19.3,39,3.6,0.0,0.9400072584914712,262
4,5,9,4,92.9,137.0,706.4,9.2,21.5,15,0.9,0.0,2.4898941912990393,196
6,4,9,2,91.0,129.5,692.6,7.0,18.7,43,2.7,0.0,4.648133885420207,231
8,6,8,4,94.8,222.4,698.6,13.9,23.9,38,6.7,0.0,0.0,431
4,5,9,5,94.3,85.1,692.3,15.9,17.7,37,3.6,0.0,0.0,70
4,4,3,1,87.6,52.2,103.8,5.0,11.0,46,5.8,0.0,0.0,48
3,5,9,5,93.5,149.3,728.6,8.1,17.2,43,3.1,0.0,0.0,126
2,4,9,3,87.9,84.8,725.1,3.7,21.8,34,2.2,0.0,1.951608170169951,403
4,3,6,4,93.0,103.8,316.7,10.8,26.4,35,2.7,0.0,2.405141681319138,473
4,4,12,1,85.4,25.4,349.7,2.6,4.6,21,8.5,0.0,3.136797713832594,277
5,4,8,4,94.8,222.4,698.6,13.9,20.3,42,2.7,0.0,0.0,372
4,4,4,5,83.0,23.3,85.3,2.3,16.7,20,3.1,0.0,0.0,240
2,4,8,7,91.6,181.3,613.0,7.6,20.9,50,2.2,0.0,2.833213344056216,384
2,2,2,5,86.6,13.2,43.0,5.3,12.3,51,0.9,0.0,0.0,58
1,2,7,5,90.7,80.9,368.3,16.8,14.8,78,8.0,0.0,0.0,442
1,4,9,5,92.5,122.0,789.7,10.2,21.1,39,2.2,0.0,2.21046980408624,358
1,4,9,4,92.8,119.0,783.5,7.5,16.8,28,4.0,0.0,2.105352923464337,320
8,6,8,7,90.2,99.6,631.2,6.3,16.2,59,3.1,0.0,3.4986265269937014,219
6,5,5,6,85.1,28.0,113.8,3.5,11.3,94,4.9,0.0,0.0,303
1,4,9,1,91.5,130.1,807.1,7.5,21.3,35,2.2,0.0,3.3738261848660236,345
2,4,8,7,93.6,235.1,723.1,10.1,20.9,66,4.9,0.0,2.7936160894318567,432
6,5,2,2,75.1,4.4,16.2,1.9,4.6,82,6.3,0.0,1.8547342683894434,462
8,6,7,7,88.9,263.1,795.9,5.2,29.3,27,3.6,0.0,1.9878743481543455,421
7,4,7,6,91.6,104.2,474.9,9.0,24.2,32,1.8,0.0,0.0,287
6,3,8,4,91.6,138.1,621.7,6.3,18.9,41,3.1,0.0,2.428336298299606,253
4,3,7,4,93.5,85.3,395.0,9.9,27.2,28,1.3,0.0,1.0152306797290584,475
1,2,9,4,92.9,137.0,706.4,9.2,25.4,27,2.2,0.0,0.0,85
8,6,8,1,91.1,103.2,638.8,5.8,23.4,22,2.7,0.0,0.0,93
4,4,8,4,95.8,152.0,624.1,13.8,32.4,21,4.5,0.0,0.0,490
6,5,6,1,90.4,93.3,298.1,7.5,19.1,39,5.4,0.0,1.5085119938441398,300
1,5,9,1,90.9,126.5,686.5,7.0,21.0,42,2.2,0.0,2.1162555148025524,186
2,2,8,2,94.6,212.1,680.9,9.5,27.9,27,2.2,0.0,0.0,404
2,5,7,6,90.8,84.7,376.6,5.6,23.8,51,1.8,0.0,0.0,434
4,3,8,7,90.2,99.6,631.2,6.3,21.5,34,2.2,0.0,0.0,50
4,4,3,6,91.7,35.8,80.8,7.8,17.0,27,4.9,0.0,3.389799336709786,213
4,4,3,2,88.1,25.7,67.6,3.8,14.1,43,2.7,0.0,0.0,38
8,8,8,3,91.7,191.4,635.9,7.8,26.2,36,4.5,0.0,5.229824370102736,419
6,5,8,6,90.2,96.9,624.2,8.9,14.7,59,5.8,0.0,0.0,89
8,6,8,6,94.2,117.2,581.1,11.0,23.9,41,2.2,0.0,2.199444334074532,255
3,4,9,7,89.6,84.1,714.3,5.7,23.8,35,3.6,0.0,1.8213182714695995,306
9,6,8,4,91.6,248.4,753.8,6.3,20.5,58,2.7,0.0,3.7812307151781224,382
7,4,9,1,90.9,126.5,686.5,7.0,19.4,48,1.3,0.0,0.0,26
7,4,7,7,93.7,101.3,423.4,14.7,18.2,82,4.5,0.0,1.1662709371419244,477
8,6,8,4,95.2,131.7,578.8,10.4,20.7,45,2.2,0.0,1.2669476034873244,168
2,4,8,5,91.6,112.4,573.0,8.9,21.4,42,3.1,0.0,1.6582280766035324,261
3,4,7,3,91.9,133.6,520.5,8.0,14.2,58,4.0,0.0,0.0,370
2,4,8,7,94.2,122.3,589.9,12.9,15.4,66,4.0,0.0,2.4096441652874536,241
8,6,8,7,92.3,85.3,488.0,14.7,22.2,29,5.4,0.0,0.0,4
2,5,8,2,92.1,152.6,658.2,14.3,20.2,47,4.0,0.0,1.4085449700547104,271
6,5,9,5,90.3,290.0,855.3,7.4,10.3,78,4.0,0.0,2.9601050959108397,373
7,5,9,6,92.5,88.0,698.6,7.1,17.8,51,7.2,0.0,0.0,9
9,4,7,1,92.3,92.1,442.1,9.8,22.8,27,4.5,0.0,0.9669838461896731,411
2,2,2,6,79.5,3.6,15.3,1.8,4.6,59,0.9,0.0,2.0592388343623163,464
3,6,9,1,90.9,126.5,686.5,7.0,15.6,66,3.1,0.0,0.0,136
2,4,1,6,82.1,3.7,9.3,2.9,5.3,78,3.1,0.0,0.0,103
3,4,3,3,93.4,17.3,28.3,9.9,8.9,35,8.0,0.0,0.0,446
3,4,8,6,91.8,170.9,692.3,13.7,20.6,59,0.9,0.0,0.0,257
4,4,9,5,92.1,99.0,745.3,9.6,20.8,35,4.9,0.0,0.8153648132841945,355
5,4,8,2,88.8,147.3,614.5,9.0,17.3,43,4.5,0.0,0.0,72
3,6,6,5,91.1,94.1,232.1,7.1,19.2,38,4.5,0.0,0.0,301
4,5,3,4,91.4,30.7,74.3,7.5,18.2,29,3.1,0.0,0.0,105
6,3,4,3,88.0,17.2,43.5,3.8,15.2,51,2.7,0.0,0.0,239
4,3,9,6,92.2,102.3,751.5,8.4,23.5,27,4.0,0.0,1.4655675420143985,328
8,6,8,1,92.3,88.9,495.6,8.5,24.1,27,3.1,0.0,0.0,5
5,5,3,6,91.7,35.8,80.8,7.8,15.1,27,5.4,0.0,0.0,15
9,4,9,2,84.4,73.4,671.9,3.2,24.3,36,3.1,0.0,4.669646205172456,232
4,4,9,1,90.9,126.5,686.5,7.0,17.7,39,2.2,0.0,1.4036429994545037,172
1,2,7,6,90.0,51.3,296.3,8.7,16.6,53,5.4,0.0,0.5364933705145685,142
6,6,8,6,96.0,164.0,643.0,14.0,30.8,30,4.9,0.0,2.2607208888953467,493
5,4,4,7,91.0,14.6,25.6,12.3,17.6,27,5.8,0.0,0.0,469
4,5,9,6,92.5,121.1,674.4,8.6,17.7,25,3.1,0.0,5.049086480470509,233
2,2,3,7,89.3,51.3,102.2,9.6,5.5,59,6.3,0.0,0.0,60
3,5,3,1,87.6,52.2,103.8,5.0,9.0,49,2.2,0.0,0.0,125
6,5,6,6,53.4,71.0,233.8,0.4,10.6,90,2.7,0.0,0.0,298
2,5,10,7,92.6,46.5,691.8,8.8,15.4,35,0.9,0.0,0.0,128
8,6,9,1,91.5,130.1,807.1,7.5,15.9,51,4.5,0.0,1.1568811967920856,342
8,6,8,3,93.1,157.3,666.7,13.5,28.7,28,2.7,0.0,0.0,247
3,4,8,1,91.5,145.4,608.2,10.7,10.3,74,2.2,0.0,0.0,119
7,4,9,6,91.2,124.4,795.3,8.5,21.5,28,4.5,0.0,2.8118094353930627,330
3,4,9,7,92.4,124.1,680.7,8.5,22.5,42,5.4,0.0,0.0,121
3,4,9,2,84.4,73.4,671.9,3.2,17.9,45,3.1,0.0,0.0,122
2,5,8,4,87.5,77.0,694.8,5.0,22.3,46,4.0,0.0,0.0,254
4,4,8,3,95.1,141.3,605.8,17.7,20.6,58,1.3,0.0,0.0,488
6,5,4,4,81.5,9.1,55.2,2.7,5.8,54,5.8,0.0,1.724550719534605,175
7,4,6,7,94.3,96.3,200.0,56.1,21.0,44,4.5,0.0,0.0,21
1,3,3,1,87.6,52.2,103.8,5.0,8.3,72,3.1,0.0,0.0,76
6,4,8,5,94.8,227.0,706.7,12.0,23.3,34,3.1,0.0,3.392492941032009,387
2,4,8,2,94.8,108.3,647.1,17.0,20.1,40,4.0,0.0,0.0,101
8,6,8,2,92.1,152.6,658.2,14.3,20.1,58,4.5,0.0,2.329227023940467,270
2,2,8,4,91.6,248.4,753.8,6.3,20.4,56,2.2,0.0,0.0,424
5,6,8,7,91.6,181.3,613.0,7.6,24.3,33,3.6,0.0,1.5325568680981427,396
3,4,3,6,91.7,35.8,80.8,7.8,15.2,27,4.9,0.0,0.0,116
2,5,8,4,95.2,131.7,578.8,10.4,24.2,28,2.7,0.0,2.2700619012884857,190
4,5,2,6,84.7,8.2,55.0,2.9,14.2,46,4.0,0.0,0.0,406
4,5,8,3,95.2,217.7,690.0,18.0,23.4,49,5.4,0.0,2.005525858729668,449
6,5,9,6,92.2,102.3,751.5,8.4,21.2,32,2.2,0.0,0.0,326
2,2,3,7,89.3,51.3,102.2,9.6,11.5,39,5.8,0.0,0.0,59
1,4,8,5,90.6,269.8,811.2,5.5,22.2,45,3.6,0.0,0.0,433
1,2,8,3,95.5,99.9,513.3,13.2,23.3,31,4.5,0.0,0.4382549309311553,140
5,4,2,5,85.2,4.9,15.8,6.3,7.5,46,8.0,0.0,3.228430037673012,283
4,6,9,4,93.7,80.9,685.2,17.9,17.6,42,3.1,0.0,0.0,132
4,3,8,3,92.1,111.2,654.1,9.6,20.4,42,4.9,0.0,0.0,52
8,6,8,6,93.7,231.1,715.1,8.4,18.9,64,4.9,0.0,1.463255402256019,457
1,3,9,5,91.1,91.3,738.1,7.2,19.1,46,2.2,0.0,0.2851789422336624,438
8,6,8,2,96.1,181.1,671.2,14.3,21.6,65,4.9,0.8,0.0,499
4,5,3,5,91.7,33.3,77.5,9.0,17.2,26,4.5,0.0,0.0,68
6,3,9,1,91.5,130.1,807.1,7.5,12.2,66,4.9,0.0,1.9600947840472698,343
2,2,8,4,93.0,75.3,466.6,7.7,18.8,35,4.9,0.0,0.0,61
6,5,4,4,81.5,9.1,55.2,2.7,5.8,54,5.8,0.0,2.4790562361098245,195
1,2,9,7,93.5,149.3,728.6,8.1,25.3,36,3.6,0.0,0.0,87
6,5,8,4,95.2,131.7,578.8,10.4,27.4,22,4.0,0.0,0.6418538861723948,144
4,4,9,3,92.6,115.4,777.1,8.8,19.7,41,1.8,0.0,0.9477893989335261,313
7,4,9,5,92.1,99.0,745.3,9.6,18.7,50,2.2,0.0,1.9416152247724325,353
1,4,8,5,90.5,196.8,649.9,16.3,11.8,88,4.9,0.0,2.3711778844596574,450
5,4,9,5,92.1,99.0,745.3,9.6,10.1,75,3.6,0.0,1.5496879080283263,349
3,4,8,7,91.4,142.4,601.4,10.6,19.8,39,5.4,0.0,0.0,98
2,5,8,5,93.9,135.7,586.7,15.1,23.5,36,5.4,0.0,2.3997118037247684,194
7,4,9,3,90.1,82.9,735.7,6.2,15.4,57,4.5,0.0,3.6560979645895566,223
2,5,8,3,95.5,99.9,513.3,13.2,23.8,32,5.4,0.0,0.5709795465857378,143
2,4,3,2,93.4,15.0,25.6,11.4,15.2,19,7.6,0.0,0.0,392
7,5,8,2,96.1,181.1,671.2,14.3,27.3,63,4.9,6.4,2.469793011977952,498
3,4,3,6,91.7,35.8,80.8,7.8,11.6,30,6.3,0.0,0.0,115
2,2,7,5,88.3,150.3,309.9,6.8,13.4,79,3.6,0.0,3.6381123370602833,222
3,5,3,2,88.1,25.7,67.6,3.8,14.9,38,2.7,0.0,0.0,133
2,2,9,5,92.4,117.9,668.0,12.2,23.0,37,4.5,0.0,0.0,65
8,5,10,1,84.9,32.8,664.2,3.0,16.7,47,4.9,0.0,0.0,16
8,6,8,7,92.3,85.3,488.0,14.7,20.8,32,6.3,0.0,0.0,91
1,3,8,4,94.8,222.4,698.6,13.9,26.2,34,5.8,0.0,0.0,427
2,2,9,6,92.5,121.1,674.4,8.6,18.2,46,1.8,0.0,5.307970623576175,235
4,4,3,1,87.2,23.9,64.7,4.1,11.8,35,1.8,0.0,0.0,47
1,4,8,6,94.4,146.0,614.7,11.3,25.6,42,4.0,0.0,0.0,514
2,4,8,5,91.0,166.9,752.6,7.1,25.9,41,3.6,0.0,0.0,506
8,6,9,4,93.7,80.9,685.2,17.9,23.7,25,4.5,0.0,0.7514160886839212,148
3,4,7,6,90.1,51.2,424.1,6.2,24.6,43,1.8,0.0,0.8878912573524571,151
6,3,9,6,93.4,145.4,721.4,8.1,30.2,24,2.7,0.0,0.0,27
6,3,9,1,91.8,78.5,724.3,9.2,21.2,32,2.7,0.0,0.0,33
6,5,9,5,92.4,117.9,668.0,12.2,19.6,33,6.3,0.0,3.007166651179654,207
6,5,6,1,90.4,93.3,298.1,7.5,20.7,25,4.9,0.0,0.0,299
3,4,8,7,91.4,142.4,601.4,10.6,11.6,87,4.5,0.0,0.0,97
8,6,8,6,92.2,81.8,480.8,11.9,16.4,43,4.0,0.0,4.280824129164719,228
2,2,8,4,91.7,114.3,661.3,6.3,18.6,44,4.5,0.0,0.0,64
5,4,9,5,92.1,99.0,745.3,9.6,12.8,64,3.6,0.0,0.9707789171582248,348
4,5,8,7,90.2,99.6,631.2,6.3,21.4,33,3.1,0.0,0.0,106
6,3,10,2,90.6,35.4,669.1,6.7,21.7,24,4.5,0.0,0.0,35
8,6,6,7,90.4,89.5,290.8,6.4,15.4,45,2.2,0.0,0.0,296
7,6,7,2,93.1,180.4,430.8,11.0,26.9,28,5.4,0.0,4.471067201464611,292
8,4,8,6,91.6,273.8,819.1,7.7,21.3,44,4.5,0.0,2.578700529074361,383
7,4,2,1,84.7,9.5,58.3,4.1,7.5,71,6.3,0.0,2.3942522815198695,389
1,2,8,5,91.0,166.9,752.6,7.1,18.5,73,8.5,0.0,0.0,505
5,6,9,3,94.3,85.1,692.3,15.9,25.9,24,4.0,0.0,0.0,44
8,6,3,5,91.7,33.3,77.5,9.0,8.3,97,4.0,0.2,0.0,2
8,6,9,1,91.6,108.4,764.0,6.2,22.7,35,2.2,0.0,2.1377104498038118,337
4,4,9,4,92.4,96.2,739.4,8.6,19.2,24,4.9,0.0,1.5644405465033644,316
6,5,8,3,92.1,111.2,654.1,9.6,16.6,47,0.9,0.0,1.1908875647772805,165
7,4,9,5,94.3,85.1,692.3,15.9,20.1,47,4.9,0.0,3.3006401266708405,211
8,6,9,5,91.1,91.3,738.1,7.2,20.7,46,2.7,0.0,3.4397768636296306,390
6,3,11,2,79.5,3.0,106.7,1.1,11.8,31,4.5,0.0,0.0,515
7,4,8,4,91.9,109.2,565.5,8.0,21.4,38,2.7,0.0,0.9242589015233319,252
2,5,9,5,90.3,290.0,855.3,7.4,16.2,58,3.6,0.0,2.3942522815198695,443
4,3,8,7,81.6,56.7,665.6,1.9,27.8,32,2.7,0.0,2.0068708488450007,511
4,5,9,2,91.1,132.3,812.1,12.5,15.9,38,5.4,0.0,1.0116009116784799,365
6,6,8,1,96.2,175.5,661.8,16.8,23.9,42,2.2,0.0,0.0,494
4,4,10,6,90.6,43.7,686.9,6.7,18.4,25,3.1,0.0,3.2280337626529665,209
8,6,8,7,91.4,142.4,601.4,10.6,19.6,41,5.8,0.0,5.285637313390662,234
2,5,9,3,90.1,82.9,735.7,6.2,18.3,45,2.2,0.0,1.7715567619105355,177
7,4,9,1,91.6,108.4,764.0,6.2,19.3,44,2.2,0.0,0.0,335
7,4,8,6,91.6,273.8,819.1,7.7,15.5,72,8.0,0.0,1.0784095813505903,458
4,4,12,1,85.4,25.4,349.7,2.6,4.6,21,8.5,0.0,2.3767644911682972,278
8,3,9,2,84.4,73.4,671.9,3.2,24.2,28,3.6,0.0,0.6729444732424258,146
1,4,7,2,92.3,96.2,450.2,12.1,23.4,31,5.4,0.0,0.0,408
5,4,9,5,90.3,290.0,855.3,7.4,16.2,58,3.6,0.0,0.0,439
6,5,3,3,93.4,17.3,28.3,9.9,13.8,24,5.8,0.0,0.0,416
6,5,9,6,87.1,291.3,860.6,4.0,17.0,67,4.9,0.0,1.599387576580599,405
3,4,9,2,91.0,129.5,692.6,7.0,13.9,59,6.3,0.0,2.50470927708418,197
6,4,6,7,90.4,89.5,290.8,6.4,14.3,46,1.8,0.0,0.6418538861723948,295
4,6,2,6,68.2,21.5,87.2,0.8,15.4,40,2.7,0.0,0.0,129
6,3,9,5,94.3,85.1,692.3,15.9,25.4,24,3.6,0.0,0.0,29
6,3,9,7,93.5,149.3,728.6,8.1,22.8,39,3.6,0.0,0.0,28
2,2,9,5,92.4,117.9,668.0,12.2,19.6,33,6.3,0.0,0.0,67
2,2,8,2,94.8,108.3,647.1,17.0,24.6,22,4.5,0.0,2.2731562823032334,191
9,9,2,4,84.2,6.8,26.6,7.7,6.7,79,3.1,0.0,0.0,74
3,5,8,6,93.5,139.4,594.2,20.3,17.6,52,5.8,0.0,0.0,134
6,5,9,2,91.9,111.7,770.3,6.5,21.1,35,2.7,0.0,1.8946168546677629,363
6,5,8,7,92.0,203.2,664.5,8.1,19.1,70,2.2,0.0,0.0,445
1,5,9,7,93.5,149.3,728.6,8.1,27.8,27,3.1,0.0,4.566221435849517,230
7,4,9,7,92.4,105.8,758.1,9.9,25.3,27,2.7,0.0,0.0,309
6,6,7,1,94.2,62.3,442.9,11.0,23.0,36,3.1,0.0,0.0,46
7,4,2,5,84.6,3.2,43.6,3.3,8.2,53,9.4,0.0,1.7263316639055997,410
6,5,9,6,92.2,102.3,751.5,8.4,19.7,35,1.8,0.0,0.0,327
4,4,8,2,96.1,181.1,671.2,14.3,20.7,69,4.9,0.4,0.0,501
2,4,9,7,92.4,105.8,758.1,9.9,24.9,27,2.2,0.0,0.0,308
9,9,7,7,90.1,68.6,355.2,7.2,24.8,29,2.2,0.0,0.8586616190375187,150
6,5,3,4,84.9,18.2,55.0,3.0,5.3,70,4.5,0.0,1.144222799920162,164
2,5,8,7,91.6,181.3,613.0,7.6,24.8,36,4.0,0.0,1.3987168811184478,418
8,6,8,4,90.7,194.1,643.0,6.8,16.2,63,2.7,0.0,2.8524391037275145,380
1,3,8,5,95.9,158.0,633.6,11.3,32.4,27,2.2,0.0,0.0,491
7,4,8,7,91.4,142.4,601.4,10.6,20.1,39,5.4,0.0,1.3190856114264407,171
8,6,8,1,92.1,207.0,672.6,8.2,25.5,29,1.8,0.0,0.8020015854720274,440
2,4,8,3,92.2,91.6,503.6,9.6,20.7,70,2.2,0.0,0.5596157879354227,246
6,3,9,5,88.6,69.7,706.8,5.8,20.6,37,1.8,0.0,0.0,31
6,3,4,7,91.0,14.6,25.6,12.3,13.7,33,9.4,0.0,4.129228964075603,468
4,3,9,4,92.9,137.0,706.4,9.2,27.7,24,2.2,0.0,0.0,54
6,5,3,5,91.2,48.3,97.8,12.5,14.6,26,9.4,0.0,1.2612978709452054,167
9,5,6,3,93.3,49.5,297.7,14.0,28.0,34,4.5,0.0,0.0,398
8,6,9,6,92.5,121.1,674.4,8.6,17.8,56,1.8,0.0,1.0818051703517284,162
4,6,3,1,87.2,23.9,64.7,4.1,14.0,39,3.1,0.0,0.0,130
4,6,12,5,84.7,26.7,352.6,4.1,2.2,59,4.9,0.0,2.329227023940467,279
2,2,8,3,92.1,111.2,654.1,9.6,18.4,45,3.6,0.0,0.9669838461896731,156
6,5,9,1,90.9,126.5,686.5,7.0,21.3,42,2.2,0.0,0.0,12
5,4,8,5,91.0,166.9,752.6,7.1,21.1,71,7.6,1.4,1.1537315878891892,508
2,2,8,7,90.2,99.6,631.2,6.3,20.8,33,2.7,0.0,0.0,62
6,3,9,5,92.5,122.0,789.7,10.2,19.7,39,2.7,0.0,0.0,357
7,4,9,5,92.1,99.0,745.3,9.6,20.6,43,3.6,0.0,1.1085626195212777,351
5,4,2,7,86.8,15.6,48.3,3.9,12.4,53,2.2,0.0,1.998773638612381,181
5,4,7,3,93.7,101.3,458.8,11.9,19.3,39,7.2,0.0,2.166765369851511,379
9,9,7,2,85.8,48.3,313.4,3.9,18.0,42,2.7,0.0,0.3074846997479606,137
7,4,7,6,91.6,104.2,474.9,9.0,24.3,30,1.8,0.0,0.0,288
7,5,6,7,93.1,180.4,430.8,11.0,22.2,48,1.3,0.0,0.0,294
5,4,3,5,91.7,33.3,77.5,9.0,15.6,25,6.3,0.0,0.0,71
2,4,9,1,91.6,108.4,764.0,6.2,20.4,41,1.8,0.0,0.9042181506398859,338
4,4,8,6,90.2,96.9,624.2,8.9,18.4,42,6.7,0.0,0.0,40
2,5,8,7,90.2,99.6,631.2,6.3,19.2,44,2.7,0.0,1.7387102481382397,176
3,4,8,4,93.0,75.3,466.6,7.7,19.6,36,3.1,0.0,0.0,118
7,4,8,1,91.5,238.2,730.6,7.5,17.7,65,4.0,0.0,0.0,451
3,4,9,7,89.7,90.0,704.4,4.8,22.8,39,3.6,0.0,0.0,111
7,4,7,6,91.6,104.2,474.9,9.0,22.1,49,2.7,0.0,0.0,286
2,5,7,7,93.9,169.7,411.8,12.3,23.4,40,6.3,0.0,0.0,284
1,4,8,6,90.2,96.9,624.2,8.9,14.2,53,1.8,0.0,1.5040773967762742,173
4,5,8,1,96.2,175.5,661.8,16.8,32.6,26,3.1,0.0,1.3270750014599193,495
3,4,8,2,92.1,152.6,658.2,14.3,21.0,32,3.1,0.0,0.0,267
1,2,8,2,94.8,108.3,647.1,17.0,18.6,51,4.5,0.0,0.0,81
4,5,3,5,85.9,19.5,57.3,2.8,12.7,52,6.3,0.0,0.0,104
6,5,3,1,90.1,39.7,86.6,6.2,15.2,27,3.1,0.0,3.492256112609122,218
6,5,8,2,96.1,181.1,671.2,14.3,33.3,26,2.7,0.0,3.726656818447966,497
6,5,9,4,92.8,119.0,783.5,7.5,21.6,27,2.2,0.0,0.0,317
8,6,10,1,84.9,32.8,664.2,3.0,19.1,32,4.0,0.0,1.8625285401162623,180
4,4,3,6,91.7,35.8,80.8,7.8,17.0,27,4.9,0.0,3.389799336709786,214
1,5,9,2,91.0,129.5,692.6,7.0,21.6,33,2.2,0.0,2.528125768907977,199
6,5,2,1,84.1,4.6,46.7,2.2,5.3,68,1.8,0.0,0.0,393
1,4,9,7,91.0,276.3,825.1,7.1,14.5,76,7.6,0.0,1.5496879080283263,461
2,4,9,6,92.5,121.1,674.4,8.6,24.1,29,4.5,0.0,0.0,102
1,3,9,6,91.2,94.3,744.4,8.4,22.3,48,4.0,0.0,0.5423242908253617,422
2,4,8,1,93.6,97.9,542.0,14.4,28.3,32,4.0,0.0,2.2874714551839976,259
8,6,8,1,91.5,145.4,608.2,10.7,8.0,86,2.2,0.0,0.0,6
6,5,9,5,92.5,122.0,789.7,10.2,18.4,42,2.2,0.0,0.7371640659767197,359
6,5,9,6,91.2,94.3,744.4,8.4,16.8,47,4.9,0.0,2.613006652415316,367
7,4,8,6,90.2,110.9,537.4,6.2,19.5,43,5.8,0.0,0.0,22
3,4,8,2,96.1,181.1,671.2,14.3,32.3,27,2.2,0.0,2.7523860149222616,496
1,2,9,2,91.0,129.5,692.6,7.0,18.8,40,2.2,0.0,5.365415110080531,236
8,6,3,7,89.3,51.3,102.2,9.6,11.5,39,5.8,0.0,2.1029138978649784,185
7,4,10,1,91.7,48.5,696.1,11.1,16.8,45,4.5,0.0,2.057962510002712,182
6,5,12,2,85.4,25.4,349.7,2.6,5.1,24,8.5,0.0,3.2492110246642736,280
4,6,12,7,84.4,27.2,353.5,6.8,4.8,57,8.5,0.0,2.300583090323373,272
1,2,8,5,91.0,166.9,752.6,7.1,25.9,41,3.6,0.0,0.0,507
1,5,9,6,93.4,145.4,721.4,8.1,29.6,27,2.7,0.0,0.9001613499442714,153
2,2,2,1,84.0,9.3,34.0,2.1,13.9,40,5.4,0.0,0.0,57
7,4,9,4,89.7,287.2,849.3,6.8,19.4,45,3.6,0.0,0.0,429
7,4,9,3,89.7,284.9,844.0,10.1,10.5,77,4.0,0.0,0.0,447
5,6,3,6,90.6,50.1,100.4,7.8,15.1,64,4.0,0.0,2.7073833121145063,203
3,5,9,4,90.7,136.9,822.8,6.8,12.9,39,2.7,0.0,1.1568811967920856,322
2,3,9,1,91.6,108.4,764.0,6.2,18.0,51,5.4,0.0,0.0,333
2,5,7,6,91.6,104.2,474.9,9.0,18.7,53,1.8,0.0,0.0,289
1,4,9,7,89.6,84.1,714.3,5.7,19.0,52,2.2,0.0,0.0,304
6,3,9,5,92.5,122.0,789.7,10.2,15.9,55,3.6,0.0,0.0,356
7,4,9,5,92.4,117.9,668.0,12.2,19.0,34,5.8,0.0,0.0,25
6,5,3,7,90.1,37.6,83.7,7.2,12.4,54,3.6,0.0,2.5726122302071057,200
8,6,9,2,91.0,129.5,692.6,7.0,13.1,63,5.4,0.0,0.0,7
5,4,9,4,92.8,119.0,783.5,7.5,21.6,28,6.3,0.0,1.6882490928583902,318
8,6,12,3,84.0,27.8,354.6,5.3,5.1,61,8.0,0.0,2.5006159434931803,273
5,4,9,6,92.2,102.3,751.5,8.4,24.1,27,3.1,0.0,0.0,325
3,4,8,3,93.1,157.3,666.7,13.5,21.7,40,0.4,0.0,1.244154593958768,248
4,3,8,6,94.2,117.2,581.1,11.0,21.4,44,2.7,0.0,0.5187937934151675,256
2,4,8,3,95.2,217.7,690.0,18.0,30.8,19,4.5,0.0,0.0,420
