buying,maint,doors,persons,lug_boot,safety,CAR,sampleNum
vhigh,high,4,more,small,high,unacc,182
vhigh,vhigh,3,more,med,low,unacc,48
high,vhigh,5more,more,small,low,unacc,531
low,med,5more,2,med,low,unacc,1596
vhigh,vhigh,2,4,small,low,unacc,9
med,low,4,2,big,low,unacc,1248
vhigh,low,3,2,small,high,unacc,353
med,vhigh,3,2,big,low,unacc,897
med,high,4,2,med,low,unacc,1029
vhigh,vhigh,5more,2,big,high,unacc,89
high,low,2,2,big,low,unacc,762
vhigh,low,5more,4,small,med,unacc,415
med,high,2,2,big,med,unacc,979
low,med,3,2,small,high,unacc,1541
low,vhigh,3,more,small,low,unacc,1341
med,med,2,2,big,low,unacc,1086
vhigh,low,2,more,small,med,unacc,343
vhigh,vhigh,4,4,med,med,unacc,67
low,high,5more,more,med,low,unacc,1506
low,med,2,more,med,low,unacc,1533
med,vhigh,4,more,small,low,unacc,936
vhigh,vhigh,2,more,small,high,unacc,20
vhigh,low,5more,2,med,high,unacc,410
high,vhigh,4,more,med,med,unacc,508
low,low,5more,more,small,low,unacc,1719
med,high,3,2,med,med,unacc,1003
vhigh,med,4,2,big,high,unacc,278
low,vhigh,5more,more,small,med,unacc,1396
high,med,2,4,small,low,unacc,657
high,high,4,2,med,high,unacc,599
low,vhigh,2,2,big,med,unacc,1303
high,med,2,4,small,med,unacc,658
vhigh,med,2,2,small,low,unacc,216
med,high,4,2,big,high,unacc,1034
med,vhigh,4,2,med,high,unacc,923
vhigh,vhigh,5more,2,small,med,unacc,82
med,vhigh,4,2,small,high,unacc,920
vhigh,med,5more,2,big,high,unacc,305
vhigh,low,4,2,med,low,unacc,381
vhigh,med,3,4,small,low,unacc,252
vhigh,high,4,more,med,low,unacc,183
med,low,2,more,small,med,unacc,1207
vhigh,med,3,2,small,high,unacc,245
high,low,2,4,small,low,unacc,765
low,med,5more,4,big,low,unacc,1608
med,low,4,4,big,low,unacc,1257
vhigh,low,4,2,med,med,unacc,382
low,med,3,2,big,med,unacc,1546
med,low,2,2,small,low,unacc,1188
high,med,5more,4,small,med,unacc,739
low,low,5more,4,med,low,unacc,1713
high,vhigh,5more,more,big,high,unacc,539
high,vhigh,3,2,med,high,unacc,464
low,med,2,2,big,low,unacc,1518
med,vhigh,4,2,big,low,unacc,924
med,high,3,4,big,low,unacc,1014
vhigh,vhigh,2,2,med,med,unacc,4
vhigh,vhigh,4,2,med,med,unacc,58
med,high,5more,more,small,med,unacc,1072
vhigh,vhigh,4,more,med,high,unacc,77
low,low,2,more,med,low,unacc,1641
vhigh,vhigh,5more,2,med,low,unacc,84
high,med,2,2,med,med,unacc,652
high,low,2,more,med,med,unacc,778
low,low,4,2,small,low,unacc,1674
high,med,4,4,small,med,unacc,712
low,low,2,2,big,low,unacc,1626
low,low,4,more,big,low,unacc,1698
vhigh,high,2,more,big,high,unacc,134
med,med,4,2,small,med,unacc,1135
high,vhigh,3,more,med,low,unacc,480
vhigh,high,4,more,med,high,unacc,185
vhigh,vhigh,3,2,small,med,unacc,28
med,vhigh,4,4,small,low,unacc,927
med,med,2,more,small,med,unacc,1099
low,med,4,2,big,med,unacc,1573
low,high,4,more,med,low,unacc,1479
vhigh,med,2,more,med,med,unacc,238
vhigh,low,4,4,small,med,unacc,388
high,med,4,2,big,med,unacc,709
low,low,3,more,big,low,unacc,1671
high,low,4,2,small,high,unacc,812
low,vhigh,5more,4,big,low,unacc,1392
high,high,5more,2,big,med,unacc,628
med,vhigh,4,2,small,low,unacc,918
vhigh,vhigh,3,more,med,med,unacc,49
med,vhigh,2,2,med,high,unacc,869
high,vhigh,3,4,big,med,unacc,475
med,high,2,2,small,high,unacc,974
vhigh,med,2,more,small,med,unacc,235
high,med,5more,more,big,low,unacc,753
med,vhigh,2,more,small,med,unacc,883
vhigh,vhigh,4,more,small,low,unacc,72
high,med,2,more,small,med,unacc,667
vhigh,vhigh,4,2,small,med,unacc,55
low,vhigh,2,2,small,med,unacc,1297
high,high,3,more,big,low,unacc,591
high,vhigh,5more,4,small,high,unacc,524
low,vhigh,2,more,med,med,unacc,1318
med,vhigh,3,2,med,high,unacc,896
high,high,4,2,big,low,unacc,600
med,high,2,4,big,low,unacc,987
low,vhigh,3,2,big,low,unacc,1329
low,high,2,more,big,low,unacc,1428
vhigh,low,4,2,big,low,unacc,384
high,vhigh,5more,4,med,med,unacc,526
high,high,5more,2,small,high,unacc,623
med,high,3,more,big,low,unacc,1023
high,low,2,more,small,low,unacc,774
high,low,4,2,big,high,unacc,818
low,high,4,2,big,med,unacc,1465
low,vhigh,3,2,small,high,unacc,1325
vhigh,high,3,4,med,med,unacc,148
low,vhigh,3,more,small,med,unacc,1342
high,high,2,4,big,low,unacc,555
vhigh,low,4,4,med,low,unacc,390
high,high,2,more,small,med,unacc,559
vhigh,vhigh,3,4,big,high,unacc,44
vhigh,high,5more,2,med,med,unacc,193
high,high,4,2,big,high,unacc,602
high,high,2,2,big,low,unacc,546
vhigh,vhigh,4,more,med,med,unacc,76
high,low,5more,2,big,low,unacc,843
high,med,3,2,med,high,unacc,680
vhigh,med,3,more,med,low,unacc,264
low,high,2,2,small,high,unacc,1406
vhigh,vhigh,5more,2,small,low,unacc,81
low,med,2,more,small,high,unacc,1532
high,high,5more,4,small,med,unacc,631
low,low,2,more,small,med,unacc,1639
med,med,3,2,med,med,unacc,1111
low,med,4,4,small,low,unacc,1575
med,vhigh,4,more,med,low,unacc,939
vhigh,vhigh,4,more,big,high,unacc,80
low,vhigh,2,4,big,low,unacc,1311
high,high,2,2,small,med,unacc,541
high,high,4,more,big,low,unacc,618
med,high,2,more,small,med,unacc,991
vhigh,med,2,4,small,med,unacc,226
vhigh,low,4,2,big,med,unacc,385
high,vhigh,5more,2,small,low,unacc,513
low,low,2,4,med,low,unacc,1632
high,vhigh,3,2,big,low,unacc,465
low,high,4,more,big,low,unacc,1482
low,low,5more,2,big,high,unacc,1709
vhigh,high,3,2,med,high,unacc,140
high,high,2,2,big,high,unacc,548
low,high,3,2,big,low,unacc,1437
low,high,3,2,small,low,unacc,1431
high,med,5more,4,small,low,unacc,738
vhigh,low,2,2,med,med,unacc,328
high,med,4,more,big,low,unacc,726
high,low,3,2,med,low,unacc,786
high,high,4,2,small,med,unacc,595
med,high,5more,4,small,med,unacc,1063
low,low,2,2,big,med,unacc,1627
vhigh,high,3,4,med,high,unacc,149
med,med,2,4,small,low,unacc,1089
high,vhigh,4,2,med,low,unacc,489
vhigh,med,4,2,med,low,unacc,273
high,low,3,4,med,med,unacc,796
high,vhigh,3,4,small,high,unacc,470
low,med,2,more,small,low,unacc,1530
high,high,5more,2,big,low,unacc,627
high,low,4,4,big,low,unacc,825
vhigh,vhigh,5more,4,big,low,unacc,96
med,high,2,4,small,med,unacc,982
med,vhigh,4,2,small,med,unacc,919
vhigh,med,2,4,med,med,unacc,229
high,low,5more,more,small,low,unacc,855
low,vhigh,5more,2,small,low,unacc,1377
high,high,5more,more,small,med,unacc,640
high,med,5more,2,med,med,unacc,733
med,low,5more,2,med,low,unacc,1272
high,vhigh,2,more,big,high,unacc,458
low,high,3,2,med,med,unacc,1435
med,vhigh,5more,more,med,low,unacc,966
vhigh,high,4,4,big,med,unacc,178
vhigh,med,2,2,big,med,unacc,223
vhigh,low,2,4,med,med,unacc,337
low,high,2,2,med,med,unacc,1408
vhigh,vhigh,5more,4,med,low,unacc,93
low,low,4,2,big,high,unacc,1682
low,med,4,2,med,high,unacc,1571
med,vhigh,2,2,med,med,unacc,868
med,med,3,2,small,low,unacc,1107
med,med,2,2,big,med,unacc,1087
med,low,5more,more,med,low,unacc,1290
vhigh,high,5more,4,med,high,unacc,203
low,vhigh,4,more,small,low,unacc,1368
vhigh,vhigh,3,more,med,high,unacc,50
low,high,2,more,small,low,unacc,1422
vhigh,low,2,2,med,high,unacc,329
high,med,3,more,small,low,unacc,693
vhigh,low,3,4,med,med,unacc,364
med,low,4,2,med,high,unacc,1247
med,med,4,2,big,low,unacc,1140
vhigh,low,4,2,med,high,unacc,383
high,med,3,2,small,med,unacc,676
vhigh,vhigh,3,4,small,med,unacc,37
low,med,5more,2,small,low,unacc,1593
high,vhigh,4,2,small,low,unacc,486
med,high,5more,2,small,low,unacc,1053
vhigh,high,5more,more,med,med,unacc,211
high,high,3,4,med,med,unacc,580
high,high,4,4,small,low,unacc,603
vhigh,high,2,more,med,low,unacc,129
vhigh,high,2,2,med,high,unacc,113
high,med,3,2,big,low,unacc,681
med,high,2,2,big,low,unacc,978
low,high,4,2,med,low,unacc,1461
med,high,4,2,big,med,unacc,1033
med,high,4,more,small,low,unacc,1044
vhigh,med,2,4,med,low,unacc,228
low,med,2,2,med,med,unacc,1516
med,vhigh,4,2,big,med,unacc,925
low,low,3,2,small,high,unacc,1649
vhigh,high,2,4,big,high,unacc,125
vhigh,med,3,4,big,low,unacc,258
med,low,4,2,small,high,unacc,1244
med,high,5more,4,small,low,unacc,1062
high,med,3,4,big,low,unacc,690
high,med,5more,more,small,med,unacc,748
vhigh,high,5more,4,small,high,unacc,200
low,low,3,2,small,med,unacc,1648
vhigh,high,5more,4,med,low,unacc,201
vhigh,high,3,4,small,high,unacc,146
vhigh,high,5more,more,big,high,unacc,215
high,med,5more,2,small,med,unacc,730
high,vhigh,3,2,big,med,unacc,466
med,low,5more,2,small,med,unacc,1270
med,high,3,2,big,high,unacc,1007
low,high,2,2,med,low,unacc,1407
med,high,3,2,small,low,unacc,999
high,high,3,4,small,med,unacc,577
high,med,5more,2,small,low,unacc,729
med,low,3,2,med,low,unacc,1218
med,high,4,more,big,low,unacc,1050
vhigh,high,5more,more,med,low,unacc,210
high,low,3,2,small,low,unacc,783
med,high,3,4,med,low,unacc,1011
vhigh,low,5more,more,big,low,unacc,429
low,high,5more,2,small,low,unacc,1485
high,vhigh,5more,4,big,low,unacc,528
med,vhigh,3,4,big,low,unacc,906
high,high,3,4,big,low,unacc,582
vhigh,high,2,2,small,med,unacc,109
med,high,3,more,med,low,unacc,1020
vhigh,med,4,4,small,low,unacc,279
high,high,5more,more,med,low,unacc,642
med,vhigh,5more,4,big,low,unacc,960
low,vhigh,4,4,big,low,unacc,1365
low,vhigh,4,2,big,med,unacc,1357
high,vhigh,2,4,big,low,unacc,447
med,low,3,2,big,med,unacc,1222
high,med,2,more,small,low,unacc,666
vhigh,high,2,4,small,med,unacc,118
med,vhigh,3,4,med,med,unacc,904
high,vhigh,2,more,small,high,unacc,452
low,low,2,more,small,low,unacc,1638
vhigh,vhigh,5more,more,small,med,unacc,100
vhigh,vhigh,3,more,big,high,unacc,53
vhigh,low,4,4,big,low,unacc,393
high,low,4,more,small,low,unacc,828
low,high,2,2,small,low,unacc,1404
low,low,2,2,small,med,unacc,1621
vhigh,med,2,2,big,low,unacc,222
vhigh,low,4,2,small,low,unacc,378
vhigh,high,5more,2,small,med,unacc,190
vhigh,high,5more,more,small,high,unacc,209
low,med,2,4,big,low,unacc,1527
low,high,5more,2,small,high,unacc,1487
low,low,3,2,big,high,unacc,1655
high,low,4,2,small,med,unacc,811
med,low,5more,2,med,high,unacc,1274
high,low,2,more,big,low,unacc,780
vhigh,med,2,4,small,low,unacc,225
low,vhigh,5more,4,med,low,unacc,1389
low,high,4,2,small,high,unacc,1460
high,vhigh,4,2,big,med,unacc,493
med,low,5more,2,big,high,unacc,1277
vhigh,high,4,4,small,med,unacc,172
high,vhigh,2,more,med,low,unacc,453
low,high,4,2,small,med,unacc,1459
low,low,2,2,med,low,unacc,1623
vhigh,vhigh,2,2,big,med,unacc,7
vhigh,low,4,4,small,low,unacc,387
med,low,2,2,small,med,unacc,1189
low,vhigh,5more,2,small,high,unacc,1379
vhigh,vhigh,4,2,small,high,unacc,56
high,high,5more,2,small,low,unacc,621
low,high,4,4,small,low,unacc,1467
med,vhigh,2,4,small,med,unacc,874
vhigh,vhigh,5more,4,med,med,unacc,94
med,low,3,2,big,low,unacc,1221
vhigh,high,5more,2,small,low,unacc,189
high,low,2,2,small,med,unacc,757
vhigh,low,2,2,small,low,unacc,324
low,med,4,4,big,low,unacc,1581
low,low,3,2,small,low,unacc,1647
med,high,3,2,big,low,unacc,1005
med,med,3,4,small,low,unacc,1116
low,vhigh,3,more,big,low,unacc,1347
vhigh,high,4,more,big,med,unacc,187
vhigh,low,3,more,small,low,unacc,369
high,vhigh,3,more,med,high,unacc,482
high,high,2,4,med,med,unacc,553
high,high,3,2,small,high,unacc,569
high,high,2,more,big,low,unacc,564
med,high,5more,2,big,low,unacc,1059
high,med,4,2,small,med,unacc,703
vhigh,low,3,4,small,low,unacc,360
vhigh,vhigh,3,4,small,low,unacc,36
vhigh,vhigh,5more,more,med,med,unacc,103
vhigh,vhigh,2,more,big,med,unacc,25
vhigh,med,5more,more,big,low,unacc,321
low,vhigh,2,4,med,low,unacc,1308
high,vhigh,2,4,big,med,unacc,448
med,vhigh,5more,more,big,low,unacc,969
vhigh,med,3,2,big,high,unacc,251
med,med,3,2,med,high,unacc,1112
low,vhigh,2,more,small,low,unacc,1314
high,high,2,4,small,low,unacc,549
vhigh,med,2,2,med,high,unacc,221
vhigh,high,2,4,med,high,unacc,122
vhigh,med,2,more,small,low,unacc,234
high,vhigh,5more,2,small,med,unacc,514
low,med,3,2,med,high,unacc,1544
med,low,3,4,big,low,unacc,1230
med,vhigh,5more,2,small,med,unacc,946
vhigh,med,2,more,med,low,unacc,237
med,high,5more,2,med,med,unacc,1057
high,vhigh,5more,4,small,low,unacc,522
vhigh,high,3,2,small,low,unacc,135
med,high,3,2,med,high,unacc,1004
med,vhigh,5more,more,small,low,unacc,963
high,high,2,2,big,med,unacc,547
low,vhigh,4,more,med,low,unacc,1371
vhigh,med,5more,2,big,med,unacc,304
med,low,5more,4,small,low,unacc,1278
high,vhigh,5more,2,big,low,unacc,519
vhigh,high,5more,2,big,med,unacc,196
med,high,4,2,small,med,unacc,1027
med,low,5more,more,big,low,unacc,1293
vhigh,high,4,2,small,low,unacc,162
high,high,5more,2,med,low,unacc,624
vhigh,med,4,2,small,high,unacc,272
high,vhigh,2,4,small,low,unacc,441
vhigh,med,4,4,med,low,unacc,282
vhigh,vhigh,4,4,big,med,unacc,70
low,vhigh,5more,2,big,low,unacc,1383
vhigh,vhigh,5more,4,big,high,unacc,98
vhigh,vhigh,3,more,big,med,unacc,52
med,high,2,4,med,low,unacc,984
high,vhigh,5more,2,big,high,unacc,521
med,high,5more,4,med,low,unacc,1065
med,vhigh,3,2,small,low,unacc,891
vhigh,high,4,4,med,med,unacc,175
high,low,3,2,big,med,unacc,790
low,low,5more,2,small,low,unacc,1701
vhigh,med,3,2,med,high,unacc,248
high,vhigh,4,4,med,med,unacc,499
vhigh,med,3,4,med,med,unacc,256
low,low,4,2,med,med,unacc,1678
high,vhigh,2,2,small,low,unacc,432
med,high,2,2,small,low,unacc,972
high,vhigh,3,4,med,med,unacc,472
high,vhigh,4,2,small,high,unacc,488
high,high,3,4,med,low,unacc,579
high,vhigh,2,4,med,med,unacc,445
high,vhigh,2,4,big,high,unacc,449
high,med,2,2,big,low,unacc,654
low,med,5more,2,big,med,unacc,1600
low,high,5more,2,big,med,unacc,1492
high,vhigh,5more,4,med,high,unacc,527
vhigh,low,5more,more,small,med,unacc,424
low,low,4,4,med,low,unacc,1686
vhigh,vhigh,4,more,small,med,unacc,73
vhigh,vhigh,5more,more,big,med,unacc,106
low,med,3,4,big,low,unacc,1554
vhigh,vhigh,2,more,med,high,unacc,23
low,low,2,4,big,low,unacc,1635
vhigh,vhigh,4,more,big,low,unacc,78
low,high,3,2,med,high,unacc,1436
high,high,4,2,med,med,unacc,598
med,vhigh,3,4,small,med,unacc,901
vhigh,low,3,2,small,med,unacc,352
vhigh,vhigh,3,4,med,med,unacc,40
high,low,4,more,med,low,unacc,831
low,med,5more,4,small,low,unacc,1602
vhigh,med,5more,4,big,low,unacc,312
vhigh,low,3,2,med,low,unacc,354
vhigh,vhigh,4,4,small,high,unacc,65
med,high,2,4,med,med,unacc,985
vhigh,high,2,4,small,low,unacc,117
low,med,4,2,big,high,unacc,1574
high,vhigh,2,4,small,high,unacc,443
low,high,2,2,big,low,unacc,1410
vhigh,high,2,more,med,med,unacc,130
med,low,2,more,med,low,unacc,1209
low,med,3,2,big,high,unacc,1547
vhigh,low,5more,2,med,med,unacc,409
vhigh,vhigh,2,4,big,high,unacc,17
vhigh,med,2,more,small,high,unacc,236
vhigh,vhigh,3,4,small,high,unacc,38
med,vhigh,2,more,med,med,unacc,886
low,med,2,4,med,low,unacc,1524
vhigh,high,4,2,small,high,unacc,164
low,vhigh,2,more,small,med,unacc,1315
high,med,3,4,med,low,unacc,687
high,vhigh,2,4,med,low,unacc,444
vhigh,med,4,2,small,med,unacc,271
high,low,3,2,med,high,unacc,788
low,high,3,2,big,med,unacc,1438
med,med,2,2,small,low,unacc,1080
low,low,4,2,med,low,unacc,1677
high,vhigh,4,2,med,med,unacc,490
high,med,2,2,med,low,unacc,651
vhigh,vhigh,2,2,big,high,unacc,8
high,high,3,more,small,med,unacc,586
vhigh,vhigh,3,2,big,med,unacc,34
med,vhigh,3,2,med,med,unacc,895
med,vhigh,5more,4,small,med,unacc,955
med,high,2,4,small,low,unacc,981
med,vhigh,3,2,big,high,unacc,899
high,high,2,4,small,med,unacc,550
high,vhigh,4,4,small,low,unacc,495
vhigh,high,3,2,small,high,unacc,137
med,low,2,more,small,high,unacc,1208
high,low,3,2,small,high,unacc,785
med,low,3,2,med,med,unacc,1219
vhigh,low,5more,2,big,high,unacc,413
med,med,5more,4,big,low,unacc,1176
med,med,2,more,big,low,unacc,1104
low,high,2,2,med,high,unacc,1409
high,high,4,more,small,low,unacc,612
low,med,2,2,small,high,unacc,1514
vhigh,med,5more,more,small,med,unacc,316
high,high,5more,4,small,low,unacc,630
vhigh,vhigh,3,more,big,low,unacc,51
med,med,5more,2,big,low,unacc,1167
med,med,5more,2,med,low,unacc,1164
low,high,4,2,med,high,unacc,1463
med,low,2,2,small,high,unacc,1190
vhigh,low,5more,2,small,low,unacc,405
low,vhigh,2,2,big,high,unacc,1304
vhigh,high,4,more,small,low,unacc,180
med,high,5more,2,small,med,unacc,1054
vhigh,high,4,2,med,med,unacc,166
med,low,2,4,big,low,unacc,1203
med,vhigh,2,2,big,high,unacc,872
high,vhigh,2,more,big,med,unacc,457
vhigh,low,4,more,small,med,unacc,397
med,vhigh,5more,2,big,med,unacc,952
vhigh,high,3,more,small,high,unacc,155
high,high,4,4,big,low,unacc,609
vhigh,med,4,4,big,low,unacc,285
high,vhigh,5more,2,small,high,unacc,515
high,low,4,2,med,high,unacc,815
low,vhigh,5more,2,med,med,unacc,1381
high,high,5more,2,big,high,unacc,629
med,vhigh,3,more,med,low,unacc,912
low,high,3,4,med,low,unacc,1443
vhigh,high,4,2,big,low,unacc,168
vhigh,high,3,2,med,med,unacc,139
vhigh,high,2,more,big,med,unacc,133
low,med,4,more,med,low,unacc,1587
vhigh,low,3,more,med,low,unacc,372
high,vhigh,5more,2,med,low,unacc,516
med,low,4,2,med,med,unacc,1246
vhigh,med,3,2,small,low,unacc,243
vhigh,vhigh,5more,4,small,low,unacc,90
high,med,2,more,small,high,unacc,668
high,vhigh,3,2,small,low,unacc,459
low,low,4,2,med,high,unacc,1679
low,vhigh,5more,4,small,low,unacc,1386
vhigh,high,2,2,med,med,unacc,112
vhigh,low,3,2,small,low,unacc,351
high,vhigh,4,more,med,high,unacc,509
high,low,2,2,small,low,unacc,756
vhigh,low,4,2,small,med,unacc,379
high,vhigh,2,more,big,low,unacc,456
high,low,5more,4,small,low,unacc,846
low,low,3,4,small,low,unacc,1656
med,med,2,2,med,high,unacc,1085
vhigh,med,5more,4,small,med,unacc,307
low,low,4,more,small,low,unacc,1692
med,med,4,2,big,med,unacc,1141
high,high,5more,more,small,low,unacc,639
low,vhigh,5more,2,big,med,unacc,1384
low,vhigh,2,4,med,med,unacc,1309
low,vhigh,4,2,med,high,unacc,1355
low,vhigh,4,2,small,med,unacc,1351
high,low,2,4,big,low,unacc,771
med,low,3,2,small,low,unacc,1215
med,low,3,more,small,low,unacc,1233
med,high,2,2,med,low,unacc,975
high,low,4,4,small,low,unacc,819
low,vhigh,4,4,small,low,unacc,1359
vhigh,vhigh,2,4,big,low,unacc,15
vhigh,med,3,2,med,med,unacc,247
high,med,5more,more,small,low,unacc,747
high,med,5more,more,med,low,unacc,750
high,vhigh,4,4,big,med,unacc,502
low,low,5more,2,med,med,unacc,1705
high,vhigh,3,4,small,low,unacc,468
vhigh,vhigh,4,4,small,low,unacc,63
vhigh,vhigh,4,more,small,high,unacc,74
med,low,4,more,med,low,unacc,1263
vhigh,med,3,more,small,med,unacc,262
vhigh,vhigh,5more,4,med,high,unacc,95
med,vhigh,2,2,big,low,unacc,870
low,med,2,2,big,high,unacc,1520
vhigh,med,3,more,small,low,unacc,261
low,vhigh,2,more,big,low,unacc,1320
low,med,5more,2,med,high,unacc,1598
high,vhigh,2,2,big,high,unacc,440
high,low,5more,2,small,med,unacc,838
low,high,3,2,small,high,unacc,1433
vhigh,high,2,4,med,low,unacc,120
vhigh,low,5more,2,small,high,unacc,407
vhigh,high,5more,2,big,high,unacc,197
vhigh,med,4,more,small,med,unacc,289
med,med,3,2,small,high,unacc,1109
high,med,4,more,small,med,unacc,721
high,low,5more,2,big,med,unacc,844
vhigh,med,5more,2,med,low,unacc,300
high,vhigh,3,more,small,med,unacc,478
vhigh,med,5more,2,big,low,unacc,303
low,med,5more,2,small,high,unacc,1595
low,low,2,2,med,med,unacc,1624
med,med,4,4,med,low,unacc,1146
low,med,4,2,small,med,unacc,1567
high,low,3,2,big,high,unacc,791
vhigh,low,2,more,med,med,unacc,346
med,low,2,4,small,low,unacc,1197
med,low,4,4,small,low,unacc,1251
vhigh,low,2,more,small,high,unacc,344
vhigh,high,2,4,med,med,unacc,121
low,low,3,more,med,low,unacc,1668
high,vhigh,3,more,med,med,unacc,481
med,high,2,2,small,med,unacc,973
vhigh,high,4,2,med,low,unacc,165
low,high,2,2,big,med,unacc,1411
vhigh,med,4,2,big,low,unacc,276
vhigh,med,2,4,big,low,unacc,231
med,med,2,4,med,low,unacc,1092
high,med,5more,2,med,high,unacc,734
high,med,2,4,med,low,unacc,660
vhigh,low,5more,2,small,med,unacc,406
vhigh,med,5more,4,med,low,unacc,309
med,vhigh,5more,4,med,low,unacc,957
med,med,4,4,small,low,unacc,1143
med,med,5more,more,big,low,unacc,1185
high,med,3,4,small,low,unacc,684
vhigh,med,4,2,small,low,unacc,270
high,med,2,2,small,med,unacc,649
vhigh,low,4,more,big,low,unacc,402
vhigh,vhigh,4,2,big,high,unacc,62
med,vhigh,5more,2,small,high,unacc,947
low,low,2,2,small,low,unacc,1620
high,vhigh,4,4,med,low,unacc,498
med,low,3,4,med,low,unacc,1227
low,high,5more,2,big,high,unacc,1493
med,vhigh,5more,2,med,high,unacc,950
high,low,3,more,med,low,unacc,804
high,med,2,2,small,low,unacc,648
low,low,3,2,big,low,unacc,1653
med,vhigh,5more,2,small,low,unacc,945
vhigh,vhigh,5more,more,small,high,unacc,101
med,high,5more,2,med,low,unacc,1056
vhigh,vhigh,2,4,small,high,unacc,11
vhigh,vhigh,5more,more,med,low,unacc,102
low,med,5more,more,med,low,unacc,1614
high,low,3,2,big,low,unacc,789
med,med,5more,2,big,high,unacc,1169
high,vhigh,2,2,med,high,unacc,437
high,low,4,2,big,med,unacc,817
vhigh,vhigh,4,more,big,med,unacc,79
med,high,4,4,small,low,unacc,1035
vhigh,vhigh,4,4,med,low,unacc,66
high,med,2,more,med,low,unacc,669
low,high,5more,2,big,low,unacc,1491
low,vhigh,5more,more,big,low,unacc,1401
high,high,5more,4,big,low,unacc,636
vhigh,low,2,2,big,low,unacc,330
vhigh,high,4,4,med,high,unacc,176
high,low,5more,2,small,high,unacc,839
vhigh,low,5more,4,big,low,unacc,420
vhigh,med,2,2,med,low,unacc,219
vhigh,med,4,more,med,low,unacc,291
vhigh,med,5more,2,med,med,unacc,301
high,med,2,4,big,low,unacc,663
low,low,3,2,med,med,unacc,1651
low,low,5more,2,big,med,unacc,1708
vhigh,vhigh,5more,4,big,med,unacc,97
vhigh,med,5more,2,small,low,unacc,297
med,med,4,2,small,high,unacc,1136
low,med,3,more,med,low,unacc,1560
med,med,5more,2,small,low,unacc,1161
vhigh,high,4,4,small,low,unacc,171
low,vhigh,2,more,med,low,unacc,1317
high,vhigh,5more,4,big,high,unacc,530
high,low,5more,4,small,med,unacc,847
vhigh,high,4,more,big,low,unacc,186
high,high,2,more,med,low,unacc,561
