X,Y,month,day,FFMC,DMC,DC,ISI,temp,RH,wind,rain,area,sampleNum
6,5,9,6,87.1,291.3,860.6,4.0,17.0,67,4.9,0.0,1.599387576580599,405
6,5,2,2,75.1,4.4,16.2,1.9,4.6,82,6.3,0.0,1.8547342683894434,462
2,4,8,3,92.2,91.6,503.6,9.6,20.7,70,2.2,0.0,0.5596157879354227,246
1,3,8,4,94.8,222.4,698.6,13.9,26.2,34,5.8,0.0,0.0,427
6,5,9,4,92.8,119.0,783.5,7.5,16.8,28,4.0,0.0,0.6981347220709844,321
4,3,8,7,81.6,56.7,665.6,1.9,27.8,32,2.7,0.0,2.0068708488450007,511
8,6,10,3,91.4,37.9,673.8,5.2,20.2,37,2.7,0.0,2.6878474937846906,202
8,6,6,3,91.2,147.8,377.2,12.7,19.6,43,4.9,0.0,0.0,297
2,2,8,4,91.7,114.3,661.3,6.3,18.6,44,4.5,0.0,0.0,64
2,4,8,2,94.8,108.3,647.1,17.0,20.1,40,4.0,0.0,0.0,101
6,5,8,3,92.1,111.2,654.1,9.6,16.6,47,0.9,0.0,1.1908875647772805,165
6,5,9,1,90.9,126.5,686.5,7.0,21.3,42,2.2,0.0,0.0,12
3,4,9,3,91.2,134.7,817.5,7.2,18.5,30,2.7,0.0,0.0,314
8,6,3,5,91.7,35.8,80.8,7.8,17.4,24,5.4,0.0,0.0,90
3,5,9,4,90.7,136.9,822.8,6.8,12.9,39,2.7,0.0,1.1568811967920856,322
6,5,8,5,63.5,70.8,665.3,0.8,17.0,72,6.7,0.0,0.0,11
3,4,9,5,92.1,99.0,745.3,9.6,17.4,57,4.5,0.0,0.0,347
2,5,8,6,93.7,231.1,715.1,8.4,23.6,53,4.0,0.0,2.005525858729668,437
6,4,3,6,90.8,41.9,89.4,7.9,13.3,42,0.9,0.0,2.128231705849268,187
4,4,4,5,83.0,23.3,85.3,2.3,16.7,20,3.1,0.0,0.0,240
3,4,7,3,91.9,133.6,520.5,8.0,14.2,58,4.0,0.0,0.0,370
2,4,1,6,82.1,3.7,9.3,2.9,5.3,78,3.1,0.0,0.0,103
3,4,8,2,88.8,147.3,614.5,9.0,14.4,66,5.4,0.0,0.0,100
5,4,8,2,95.1,141.3,605.8,17.7,26.4,34,3.6,0.0,2.856470206220483,486
2,5,9,1,91.6,108.4,764.0,6.2,19.3,44,2.2,0.0,1.5953389880545987,339
4,6,9,4,93.7,80.9,685.2,17.9,17.6,42,3.1,0.0,0.0,132
6,3,11,2,79.5,3.0,106.7,1.1,11.8,31,4.5,0.0,0.0,515
5,4,8,4,94.8,222.4,698.6,13.9,20.3,42,2.7,0.0,0.0,372
5,4,9,5,94.3,85.1,692.3,15.9,20.1,47,4.9,0.0,0.9001613499442714,152
3,4,9,7,92.4,124.1,680.7,8.5,22.5,42,5.4,0.0,0.0,121
6,4,4,6,86.3,27.4,97.1,5.1,9.3,44,4.5,0.0,0.0,18
3,4,8,1,91.5,145.4,608.2,10.7,10.3,74,2.2,0.0,0.0,119
7,4,9,6,91.2,124.4,795.3,8.5,21.5,28,4.5,0.0,2.8118094353930627,330
4,4,8,2,93.7,102.2,550.3,14.6,22.1,54,7.6,0.0,0.5822156198526637,264
1,4,9,7,91.0,276.3,825.1,7.1,14.5,76,7.6,0.0,1.5496879080283263,461
2,5,6,4,93.7,121.7,350.2,18.0,22.7,40,9.4,0.0,1.4327007339340463,474
4,4,3,5,85.9,19.5,57.3,2.8,13.7,43,5.8,0.0,0.0,109
4,4,9,3,92.6,115.4,777.1,8.8,19.7,41,1.8,0.0,0.9477893989335261,313
3,4,2,3,86.9,6.6,18.7,3.2,8.8,35,3.1,0.0,0.7419373447293773,282
6,5,3,7,90.1,37.6,83.7,7.2,12.4,54,3.6,0.0,2.5726122302071057,200
7,4,9,7,92.4,105.8,758.1,9.9,25.3,27,2.7,0.0,0.0,309
5,4,9,1,91.8,78.5,724.3,9.2,19.1,38,2.7,0.0,0.0,20
1,2,9,4,92.9,137.0,706.4,9.2,21.5,15,0.9,0.0,0.0,84
2,5,8,2,92.1,152.6,658.2,14.3,20.2,47,4.0,0.0,1.4085449700547104,271
6,5,9,5,93.3,141.2,713.9,13.9,22.9,44,5.4,0.0,0.0,14
8,6,8,7,92.3,85.3,488.0,14.7,20.8,32,6.3,0.0,0.0,91
7,5,9,6,92.8,73.2,713.0,22.6,19.3,38,4.0,0.0,0.0,10
5,4,8,2,95.1,141.3,605.8,17.7,24.1,43,6.3,0.0,1.0986122886681098,485
6,3,9,5,92.5,122.0,789.7,10.2,19.7,39,2.7,0.0,0.0,357
1,2,9,4,92.9,137.0,706.4,9.2,25.4,27,2.2,0.0,0.0,85
1,2,9,4,92.9,137.0,706.4,9.2,22.4,34,2.2,0.0,0.0,86
7,4,9,7,91.0,276.3,825.1,7.1,13.8,77,7.6,0.0,2.4898941912990393,369
4,5,9,5,94.3,85.1,692.3,15.9,17.7,37,3.6,0.0,0.0,70
6,4,2,2,75.1,4.4,16.2,1.9,5.1,77,5.4,0.0,1.144222799920162,463
4,4,9,4,92.4,96.2,739.4,8.6,19.2,24,4.9,0.0,1.5644405465033644,316
6,5,9,6,92.2,102.3,751.5,8.4,21.2,32,2.2,0.0,0.0,326
7,4,2,1,84.7,9.5,58.3,4.1,7.5,71,6.3,0.0,2.3942522815198695,389
5,5,3,4,90.9,18.9,30.6,8.0,11.6,48,5.4,0.0,0.0,386
8,6,8,4,90.7,194.1,643.0,6.8,21.3,41,3.6,0.0,0.0,402
5,6,9,1,90.9,126.5,686.5,7.0,14.7,70,3.6,0.0,0.0,45
2,2,8,6,93.5,139.4,594.2,20.3,22.9,31,7.2,0.0,2.800325477211381,205
9,6,8,4,91.6,248.4,753.8,6.3,20.5,58,2.7,0.0,3.7812307151781224,382
4,6,12,5,84.7,26.7,352.6,4.1,2.2,59,4.9,0.0,2.329227023940467,279
2,2,3,7,89.3,51.3,102.2,9.6,5.5,59,6.3,0.0,0.0,60
4,4,8,3,95.1,141.3,605.8,17.7,28.7,33,4.0,0.0,0.0,489
4,4,3,6,91.7,35.8,80.8,7.8,17.0,27,4.9,0.0,3.389799336709786,214
1,4,9,6,92.2,102.3,751.5,8.4,24.2,27,3.1,0.0,0.0,324
6,6,8,6,96.0,164.0,643.0,14.0,30.8,30,4.9,0.0,2.2607208888953467,493
2,2,8,7,90.2,99.6,631.2,6.3,20.8,33,2.7,0.0,0.0,62
8,6,9,5,91.1,91.3,738.1,7.2,20.7,46,2.7,0.0,3.4397768636296306,390
