Sex,Length,Diameter,Height,Whole weight,Shucked weight,Viscera weight,Shell weight,Rings,sampleNum
F,0.66,0.525,0.18,1.5965,0.7765,0.397,0.3605,10,2960
M,0.675,0.505,0.16,1.532,0.74,0.357,0.3815,11,3131
M,0.48,0.36,0.1,0.439,0.194,0.099,0.115,8,951
F,0.575,0.485,0.165,1.0405,0.419,0.264,0.3,14,2192
I,0.33,0.225,0.075,0.187,0.0945,0.0395,0.0425,7,2817
M,0.495,0.4,0.12,0.6605,0.2605,0.161,0.19,15,3382
I,0.555,0.45,0.175,0.738,0.304,0.1755,0.22,9,1885
M,0.63,0.455,0.15,1.1315,0.481,0.2745,0.305,9,1501
M,0.55,0.46,0.175,0.869,0.3155,0.1825,0.32,10,2260
I,0.5,0.37,0.115,0.5745,0.306,0.112,0.141,7,2980
M,0.55,0.42,0.17,0.8465,0.336,0.2405,0.245,13,3145
I,0.485,0.365,0.125,0.426,0.163,0.0965,0.151,8,3647
M,0.59,0.44,0.135,0.966,0.439,0.2145,0.2605,10,4173
M,0.63,0.525,0.195,1.3135,0.4935,0.2565,0.465,10,2796
F,0.71,0.57,0.195,1.9805,0.9925,0.4925,0.48,12,1750
F,0.58,0.45,0.155,0.93,0.385,0.246,0.265,9,1149
F,0.435,0.325,0.11,0.4335,0.178,0.0985,0.155,7,402
I,0.2,0.15,0.04,0.046,0.021,0.007,0.0065,4,3143
M,0.57,0.405,0.16,0.9245,0.3445,0.2185,0.295,19,2202
I,0.335,0.25,0.095,0.185,0.0795,0.0495,0.055,8,3838
F,0.56,0.445,0.195,0.981,0.305,0.2245,0.335,16,599
F,0.605,0.45,0.195,1.098,0.481,0.2895,0.315,13,74
F,0.42,0.33,0.125,0.463,0.186,0.11,0.145,10,2450
I,0.515,0.395,0.125,0.5805,0.2365,0.1075,0.19,9,4073
I,0.4,0.315,0.1,0.3225,0.143,0.0735,0.091,6,3748
M,0.425,0.335,0.1,0.4085,0.1755,0.092,0.135,9,3153
I,0.5,0.38,0.11,0.5605,0.28,0.106,0.15,9,1855
F,0.615,0.475,0.155,1.115,0.484,0.2115,0.355,10,1375
F,0.57,0.465,0.155,0.9685,0.446,0.261,0.255,9,3853
I,0.55,0.435,0.165,0.804,0.34,0.194,0.244,8,2898
F,0.615,0.465,0.15,0.923,0.4615,0.1825,0.2415,9,1165
M,0.5,0.39,0.13,0.709,0.275,0.168,0.18,11,2465
F,0.8,0.63,0.195,2.526,0.933,0.59,0.62,23,2334
M,0.48,0.365,0.13,0.5305,0.2405,0.127,0.139,8,4109
F,0.615,0.475,0.145,0.9525,0.3915,0.195,0.32,9,3842
I,0.36,0.265,0.095,0.2315,0.105,0.046,0.075,7,100
I,0.345,0.255,0.095,0.183,0.075,0.0385,0.06,6,2717
I,0.59,0.475,0.145,0.9745,0.4675,0.207,0.259,10,2915
M,0.64,0.515,0.18,1.247,0.5475,0.2925,0.3685,10,1704
I,0.41,0.335,0.105,0.3305,0.1405,0.064,0.105,7,1835
F,0.57,0.435,0.14,0.8585,0.3905,0.196,0.2295,8,2588
F,0.305,0.23,0.08,0.156,0.0675,0.0345,0.048,7,136
M,0.505,0.385,0.11,0.655,0.3185,0.15,0.185,9,3257
M,0.66,0.5,0.165,1.3195,0.667,0.269,0.341,9,1725
M,0.77,0.62,0.195,2.5155,1.1155,0.6415,0.642,12,1762
I,0.52,0.405,0.14,0.6765,0.2865,0.146,0.205,15,3912
F,0.565,0.4,0.13,0.6975,0.3075,0.1665,0.18,8,983
I,0.185,0.13,0.045,0.029,0.012,0.0075,0.0095,4,1053
F,0.64,0.475,0.175,1.1545,0.4865,0.341,0.288,9,3508
F,0.615,0.52,0.15,1.3435,0.629,0.2605,0.345,10,868
M,0.48,0.37,0.1,0.5135,0.243,0.1015,0.135,8,2574
M,0.695,0.58,0.2,1.8995,0.675,0.478,0.5295,13,3797
F,0.69,0.545,0.205,1.933,0.7855,0.429,0.498,13,2618
F,0.585,0.455,0.13,0.8755,0.411,0.2065,0.225,8,2778
F,0.48,0.37,0.13,0.5885,0.2475,0.1505,0.1595,15,3322
M,0.62,0.485,0.145,1.003,0.4655,0.2195,0.28,11,4047
M,0.615,0.47,0.175,1.242,0.5675,0.287,0.317,11,3681
M,0.515,0.38,0.135,0.6615,0.2875,0.2095,0.155,10,804
I,0.59,0.45,0.125,0.86,0.437,0.1515,0.245,9,3778
F,0.68,0.55,0.175,1.473,0.713,0.282,0.4295,11,4020
M,0.47,0.365,0.135,0.522,0.2395,0.1525,0.145,10,2013
F,0.41,0.305,0.1,0.363,0.1735,0.065,0.11,11,584
M,0.5,0.375,0.13,0.721,0.3055,0.1725,0.22,14,3383
I,0.235,0.16,0.04,0.048,0.0185,0.018,0.015,5,174
F,0.65,0.515,0.195,1.4005,0.5195,0.36,0.44,13,2200
F,0.63,0.51,0.185,1.235,0.5115,0.349,0.3065,11,2487
F,0.5,0.405,0.14,0.6735,0.265,0.124,0.25,18,3274
M,0.565,0.44,0.175,0.9025,0.31,0.193,0.325,14,231
M,0.455,0.345,0.125,0.44,0.169,0.1065,0.135,12,3370
I,0.52,0.395,0.135,0.633,0.2985,0.1295,0.175,9,2653
M,0.38,0.3,0.1,0.2505,0.106,0.0535,0.0775,8,3178
F,0.4,0.325,0.12,0.3185,0.134,0.0565,0.095,8,331
I,0.405,0.3,0.085,0.3035,0.15,0.0505,0.088,7,4165
I,0.36,0.27,0.09,0.232,0.12,0.0435,0.056,8,2818
F,0.575,0.48,0.15,0.8745,0.375,0.193,0.29,12,3256
M,0.565,0.39,0.125,0.744,0.352,0.13,0.1685,11,1327
M,0.62,0.465,0.145,0.911,0.375,0.2145,0.278,10,4061
I,0.53,0.42,0.155,0.81,0.4725,0.111,0.192,10,1298
I,0.37,0.27,0.095,0.2175,0.097,0.046,0.065,6,1544
M,0.67,0.515,0.165,1.1735,0.526,0.285,0.316,11,3130
I,0.445,0.31,0.09,0.336,0.1555,0.09,0.0855,7,2876
F,0.515,0.39,0.13,0.5755,0.1975,0.13,0.1845,9,786
M,0.575,0.45,0.155,0.886,0.3605,0.211,0.2575,9,3566
M,0.59,0.47,0.18,1.187,0.5985,0.227,0.31,9,1348
M,0.65,0.52,0.17,1.3655,0.6155,0.2885,0.36,11,3692
I,0.335,0.25,0.08,0.1695,0.0695,0.044,0.0495,6,1997
M,0.335,0.26,0.075,0.22,0.0855,0.04,0.085,6,3834
I,0.52,0.38,0.14,0.525,0.1775,0.115,0.185,11,2430
F,0.71,0.54,0.205,1.5805,0.802,0.287,0.435,10,1751
F,0.615,0.5,0.205,1.1055,0.4445,0.227,0.39,16,3300
I,0.46,0.35,0.11,0.4,0.176,0.083,0.1205,7,1564
F,0.6,0.475,0.17,1.088,0.4905,0.2475,0.31,10,3578
M,0.715,0.52,0.18,1.6,0.708,0.3525,0.445,12,3598
M,0.625,0.495,0.155,1.177,0.5055,0.278,0.345,9,3785
M,0.455,0.35,0.12,0.4835,0.1815,0.144,0.16,11,666
M,0.57,0.42,0.14,0.8745,0.416,0.165,0.25,8,2835
M,0.51,0.395,0.125,0.5805,0.244,0.1335,0.188,11,3092
I,0.37,0.275,0.08,0.2325,0.093,0.056,0.072,6,4065
F,0.595,0.48,0.15,1.11,0.498,0.228,0.33,10,858
I,0.23,0.165,0.06,0.0515,0.019,0.0145,0.036,4,1430
I,0.585,0.46,0.14,0.7635,0.326,0.153,0.265,9,3669
M,0.555,0.405,0.19,1.406,0.6115,0.342,0.389,10,2987
M,0.68,0.545,0.185,1.672,0.7075,0.364,0.48,11,4102
F,0.56,0.44,0.135,0.8025,0.35,0.1615,0.259,9,4159
I,0.24,0.17,0.05,0.0545,0.0205,0.016,0.0155,5,2812
I,0.55,0.4,0.135,0.717,0.3315,0.1495,0.221,9,3663
I,0.205,0.15,0.055,0.042,0.0255,0.015,0.012,5,43
M,0.72,0.55,0.205,2.125,1.1455,0.4425,0.511,13,1754
F,0.585,0.415,0.155,0.6985,0.3,0.146,0.195,12,2401
I,0.46,0.35,0.115,0.4155,0.18,0.098,0.1175,7,1092
M,0.63,0.47,0.155,1.1325,0.589,0.211,0.287,8,1172
M,0.265,0.2,0.065,0.084,0.034,0.0105,0.03,7,3317
F,0.71,0.545,0.175,1.907,0.8725,0.4565,0.475,11,4104
M,0.69,0.505,0.2,1.872,0.893,0.4015,0.48,10,1045
I,0.49,0.385,0.14,0.5425,0.198,0.127,0.175,11,3321
M,0.66,0.535,0.19,1.5905,0.6425,0.297,0.5175,9,1037
F,0.61,0.45,0.13,0.8725,0.389,0.1715,0.272,11,2787
M,0.47,0.37,0.12,0.5795,0.293,0.227,0.14,9,46
I,0.16,0.11,0.025,0.0195,0.0075,0.005,0.006,4,1987
M,0.645,0.515,0.185,1.4605,0.5835,0.3155,0.41,19,3392
I,0.43,0.34,0.12,0.3575,0.151,0.0645,0.1045,9,472
I,0.36,0.265,0.085,0.1895,0.0725,0.0515,0.055,6,3634
F,0.63,0.475,0.15,1.072,0.433,0.2975,0.315,8,3788
M,0.615,0.475,0.175,1.103,0.4635,0.3095,0.2725,10,2680
F,0.6,0.475,0.15,1.13,0.575,0.196,0.305,9,1656
I,0.495,0.375,0.14,0.494,0.181,0.0975,0.191,8,1854
I,0.205,0.155,0.045,0.0495,0.0235,0.011,0.014,3,3801
F,0.66,0.525,0.2,1.463,0.6525,0.2995,0.422,11,2805
F,0.535,0.415,0.17,0.879,0.295,0.1965,0.285,10,285
M,0.36,0.27,0.1,0.217,0.0885,0.0495,0.0715,6,303
I,0.455,0.335,0.105,0.4055,0.175,0.092,0.1185,8,4069
I,0.42,0.31,0.1,0.2805,0.1125,0.0615,0.0925,8,4028
F,0.565,0.45,0.145,0.8495,0.4215,0.1685,0.225,8,1325
I,0.55,0.425,0.15,0.7665,0.339,0.176,0.21,8,1615
I,0.465,0.345,0.105,0.4015,0.242,0.0345,0.109,6,3481
F,0.635,0.505,0.165,1.251,0.577,0.227,0.3825,11,3062
M,0.415,0.315,0.115,0.3895,0.2015,0.065,0.103,9,1443
F,0.65,0.5,0.19,1.464,0.6415,0.339,0.4245,9,1178
I,0.375,0.29,0.095,0.213,0.096,0.041,0.061,5,1234
F,0.59,0.465,0.16,1.1005,0.506,0.2525,0.295,13,2259
I,0.575,0.45,0.13,0.8145,0.403,0.1715,0.213,10,1794
I,0.41,0.325,0.11,0.326,0.1325,0.075,0.101,8,2732
I,0.5,0.375,0.145,0.5795,0.239,0.1375,0.185,9,1283
I,0.57,0.44,0.13,0.7665,0.347,0.1785,0.202,10,1332
I,0.325,0.27,0.1,0.185,0.08,0.0435,0.065,6,2290
F,0.565,0.445,0.125,0.8305,0.3135,0.1785,0.23,11,1888
M,0.58,0.46,0.165,1.2275,0.473,0.1965,0.435,16,2155
M,0.625,0.48,0.175,1.065,0.4865,0.259,0.285,10,4014
I,0.56,0.43,0.13,0.728,0.3355,0.1435,0.2175,8,2901
F,0.54,0.415,0.175,0.8975,0.275,0.241,0.275,14,2483
F,0.57,0.46,0.17,1.1,0.4125,0.2205,0.38,14,2252
M,0.45,0.35,0.1,0.3675,0.1465,0.1015,0.12,10,317
M,0.535,0.42,0.16,0.72,0.275,0.164,0.225,15,3289
I,0.26,0.205,0.07,0.097,0.0415,0.019,0.0305,4,3523
F,0.685,0.54,0.215,1.7025,0.664,0.3655,0.4735,14,1186
I,0.28,0.22,0.08,0.1315,0.066,0.024,0.03,5,2550
M,0.5,0.415,0.165,0.6885,0.249,0.138,0.25,13,439
M,0.595,0.475,0.165,1.213,0.621,0.2435,0.274,9,1001
M,0.495,0.395,0.12,0.553,0.224,0.1375,0.167,8,1280
M,0.62,0.45,0.2,0.858,0.4285,0.1525,0.2405,8,1168
M,0.66,0.505,0.2,1.6305,0.4865,0.297,0.61,18,2210
I,0.62,0.48,0.18,1.1305,0.5285,0.2655,0.306,12,3783
I,0.54,0.425,0.14,0.742,0.32,0.1395,0.25,9,1602
F,0.505,0.38,0.135,0.6855,0.361,0.1565,0.161,9,1464
F,0.43,0.325,0.115,0.3865,0.1475,0.1065,0.11,11,692
F,0.585,0.475,0.185,0.9585,0.4145,0.1615,0.33,11,659
