Length,Diameter,Height,Whole weight,Shucked weight,Viscera weight,Shell weight,Rings,Sex_I,Sex_M,sampleNum
0.625,0.515,0.165,1.217,0.667,0.2065,0.3115,10,False,True,2937
0.24,0.175,0.045,0.07,0.0315,0.0235,0.02,5,True,False,42
0.64,0.505,0.175,1.3185,0.6185,0.302,0.3315,9,False,False,4117
0.525,0.38,0.125,0.65,0.303,0.155,0.159,7,False,True,1783
0.555,0.44,0.135,0.9025,0.3805,0.2105,0.28,13,False,True,2355
0.645,0.52,0.175,1.3345,0.667,0.2665,0.355,10,False,False,3509
0.45,0.355,0.12,0.412,0.1145,0.0665,0.16,19,True,False,664
0.655,0.52,0.18,1.492,0.7185,0.36,0.355,11,False,True,3511
0.625,0.49,0.2,1.3825,0.5895,0.285,0.381,11,False,False,874
0.365,0.27,0.085,0.197,0.0815,0.0325,0.065,6,True,False,1829
0.565,0.4,0.13,0.6975,0.3075,0.1665,0.18,8,False,False,983
0.36,0.295,0.105,0.241,0.0865,0.053,0.095,8,False,True,328
0.64,0.51,0.175,1.368,0.515,0.266,0.57,21,False,True,181
0.575,0.465,0.12,1.0535,0.516,0.2185,0.235,9,False,True,3772
0.72,0.595,0.225,1.969,0.8045,0.423,0.66,16,False,False,2368
0.285,0.215,0.07,0.1075,0.051,0.0225,0.027,6,True,False,2039
0.565,0.435,0.185,0.9815,0.329,0.136,0.39,13,False,True,446
0.35,0.265,0.08,0.2,0.09,0.042,0.06,7,True,False,1828
0.615,0.495,0.16,1.255,0.5815,0.3195,0.3225,12,False,False,1928
0.5,0.39,0.135,0.6595,0.3145,0.1535,0.1565,6,False,True,957
0.425,0.325,0.105,0.3975,0.1815,0.081,0.1175,7,True,False,3113
0.42,0.32,0.13,0.4135,0.1645,0.106,0.119,10,False,False,3226
0.515,0.385,0.125,0.6115,0.3175,0.1265,0.15,8,True,False,1108
0.64,0.495,0.165,1.307,0.678,0.292,0.266,11,False,True,3001
0.17,0.125,0.055,0.0235,0.009,0.0055,0.008,6,True,False,2343
0.445,0.355,0.095,0.3615,0.1415,0.0785,0.12,8,True,False,3540
0.245,0.205,0.06,0.0765,0.034,0.014,0.0215,4,True,False,1211
0.6,0.48,0.165,1.1345,0.4535,0.27,0.335,10,False,False,3211
0.695,0.535,0.2,1.5855,0.667,0.334,0.471,11,False,False,3078
0.49,0.375,0.15,0.5755,0.22,0.144,0.19,9,False,False,222
0.335,0.26,0.085,0.192,0.097,0.03,0.054,6,True,False,3526
0.57,0.47,0.14,0.871,0.385,0.211,0.2315,10,False,False,3040
0.75,0.55,0.18,1.893,0.942,0.397,0.445,11,False,True,1530
0.265,0.2,0.065,0.0975,0.04,0.0205,0.028,7,True,False,134
0.615,0.515,0.135,1.1215,0.545,0.2305,0.29,9,False,False,2931
0.645,0.525,0.19,1.8085,0.7035,0.3885,0.395,18,False,False,357
0.21,0.15,0.05,0.042,0.0175,0.0125,0.015,4,True,False,44
0.35,0.275,0.11,0.2925,0.1225,0.0635,0.0905,8,False,True,267
0.585,0.475,0.12,0.945,0.41,0.2115,0.28,14,False,True,411
0.575,0.45,0.135,0.8245,0.3375,0.2115,0.239,11,True,False,1906
0.62,0.5,0.15,1.293,0.596,0.3135,0.354,10,False,False,1378
0.51,0.4,0.12,0.7005,0.347,0.1105,0.195,10,False,False,1858
0.55,0.415,0.18,1.1655,0.502,0.301,0.311,9,False,False,3731
0.435,0.325,0.12,0.346,0.159,0.084,0.095,7,True,False,2010
0.75,0.595,0.205,2.2205,1.083,0.421,0.63,12,False,True,1761
0.245,0.18,0.065,0.0635,0.0245,0.0135,0.02,4,False,True,3906
0.52,0.4,0.12,0.6515,0.261,0.2015,0.165,15,False,False,729
0.58,0.44,0.18,0.854,0.3665,0.1635,0.245,12,False,False,500
0.44,0.32,0.12,0.4565,0.2435,0.092,0.1025,8,False,True,1447
0.455,0.365,0.095,0.514,0.2245,0.101,0.15,15,False,True,0
0.64,0.5,0.185,1.3035,0.4445,0.2635,0.465,16,False,True,197
0.61,0.485,0.17,1.281,0.597,0.3035,0.33,9,False,True,2995
0.38,0.3,0.09,0.277,0.1655,0.0625,0.082,6,True,False,3969
0.415,0.325,0.1,0.4665,0.2285,0.1065,0.114,7,True,False,2507
0.375,0.275,0.085,0.22,0.109,0.05,0.0605,7,True,False,2004
0.465,0.37,0.115,0.534,0.261,0.098,0.143,7,True,False,942
0.615,0.48,0.16,1.2525,0.585,0.2595,0.33,8,False,False,1009
0.515,0.395,0.135,0.516,0.2015,0.132,0.162,9,False,False,2751
0.585,0.46,0.15,1.206,0.581,0.216,0.323,10,False,True,3125
0.65,0.505,0.17,1.5595,0.695,0.3515,0.395,11,False,True,3067
0.53,0.41,0.125,0.769,0.346,0.173,0.215,9,False,True,3655
0.635,0.505,0.145,1.1345,0.505,0.2655,0.315,10,False,False,1504
0.65,0.525,0.175,1.4715,0.675,0.315,0.399,11,False,True,880
0.37,0.28,0.105,0.224,0.0815,0.0575,0.075,8,False,True,3404
0.605,0.455,0.16,1.1215,0.533,0.273,0.271,10,False,True,3733
0.48,0.355,0.11,0.4495,0.201,0.089,0.14,8,True,False,4158
0.565,0.45,0.16,0.895,0.415,0.195,0.246,9,False,True,1892
0.525,0.41,0.135,0.7905,0.4065,0.198,0.177,8,False,False,2983
0.64,0.49,0.18,1.36,0.653,0.347,0.305,9,False,False,4064
0.59,0.45,0.16,0.998,0.445,0.214,0.301,9,False,True,4045
0.495,0.395,0.12,0.553,0.224,0.1375,0.167,8,False,True,1280
0.62,0.515,0.155,1.3255,0.6685,0.2605,0.335,12,False,False,1679
0.455,0.35,0.105,0.416,0.1625,0.097,0.145,11,False,True,3845
0.58,0.44,0.175,1.073,0.4005,0.2345,0.335,19,False,False,3360
0.415,0.315,0.09,0.3625,0.175,0.0835,0.093,6,True,False,2509
0.21,0.15,0.05,0.0385,0.0155,0.0085,0.01,3,False,True,520
0.62,0.5,0.175,1.146,0.477,0.23,0.39,13,False,False,3298
0.43,0.32,0.1,0.3465,0.1635,0.08,0.09,7,True,False,2635
0.65,0.5,0.17,1.4045,0.694,0.318,0.3235,11,False,False,3740
0.505,0.39,0.125,0.5445,0.246,0.15,0.1405,7,False,False,1103
0.35,0.25,0.075,0.1695,0.0835,0.0355,0.041,6,True,False,4151
0.37,0.275,0.08,0.227,0.093,0.0625,0.07,8,False,False,2468
0.615,0.495,0.2,1.219,0.564,0.227,0.3885,10,False,True,1929
0.385,0.28,0.1,0.2755,0.1305,0.061,0.0725,8,True,False,2042
0.465,0.34,0.105,0.486,0.231,0.1035,0.1225,9,False,True,2571
0.61,0.5,0.24,1.642,0.532,0.3345,0.69,18,False,True,277
0.695,0.565,0.19,1.7635,0.7465,0.399,0.4975,11,False,False,1415
0.725,0.57,0.19,2.3305,1.253,0.541,0.52,9,False,True,2811
0.58,0.425,0.155,0.873,0.3615,0.249,0.239,10,False,False,4044
0.59,0.47,0.155,1.1735,0.6245,0.233,0.2595,9,False,True,2838
0.37,0.28,0.09,0.233,0.0905,0.0545,0.07,11,True,False,2196
0.685,0.535,0.175,1.432,0.637,0.247,0.46,11,False,True,3710
0.575,0.455,0.155,0.8725,0.349,0.2095,0.285,8,True,False,3563
0.625,0.5,0.165,1.288,0.573,0.3035,0.315,9,False,False,1014
0.35,0.26,0.09,0.1765,0.072,0.0355,0.0575,7,True,False,3527
0.625,0.48,0.2,1.3235,0.6075,0.3055,0.355,9,False,False,3144
0.33,0.23,0.08,0.14,0.0565,0.0365,0.046,7,True,False,4150
0.62,0.45,0.2,0.858,0.4285,0.1525,0.2405,8,False,True,1168
0.52,0.425,0.125,0.79,0.372,0.205,0.19,8,False,True,3839
0.575,0.45,0.16,0.955,0.44,0.1685,0.27,16,False,True,3843
0.64,0.525,0.18,1.3135,0.4865,0.2995,0.4075,10,False,True,1395
0.47,0.355,0.18,0.48,0.2055,0.105,0.1505,8,True,False,1270
0.56,0.42,0.18,1.6645,0.7755,0.35,0.4525,9,False,False,4112
0.72,0.565,0.19,2.081,1.0815,0.4305,0.503,11,False,True,1982
0.19,0.13,0.045,0.0265,0.009,0.005,0.009,5,True,False,3380
0.505,0.39,0.12,0.653,0.3315,0.1385,0.167,9,False,True,2016
0.47,0.355,0.18,0.441,0.1525,0.1165,0.135,8,False,False,2478
0.45,0.355,0.115,0.478,0.18,0.1185,0.155,10,False,True,3878
0.4,0.315,0.1,0.3225,0.143,0.0735,0.091,6,True,False,3748
0.585,0.45,0.16,1.077,0.4995,0.2875,0.25,10,False,False,377
0.65,0.495,0.155,1.337,0.615,0.3195,0.335,9,False,False,1717
0.52,0.4,0.145,0.7765,0.3525,0.1845,0.185,9,False,True,1109
0.5,0.355,0.14,0.528,0.2125,0.149,0.14,9,False,True,2444
0.52,0.435,0.195,0.973,0.2985,0.2135,0.355,18,False,True,3222
0.3,0.22,0.09,0.1425,0.057,0.0335,0.043,7,True,False,2393
0.505,0.38,0.145,0.651,0.2935,0.19,0.17,12,False,False,2413
0.39,0.3,0.1,0.2665,0.1105,0.059,0.084,7,True,False,3012
0.545,0.45,0.15,0.8795,0.387,0.15,0.2625,11,False,True,2522
0.52,0.4,0.125,0.6865,0.295,0.1715,0.185,9,False,False,2186
0.58,0.455,0.135,0.7955,0.405,0.167,0.204,10,False,True,1338
0.38,0.305,0.105,0.281,0.1045,0.0615,0.09,12,False,False,663
0.495,0.375,0.15,0.597,0.2615,0.135,0.178,11,False,False,3292
0.445,0.35,0.14,0.5905,0.2025,0.158,0.19,14,False,True,2460
0.495,0.4,0.135,0.61,0.272,0.1435,0.144,7,False,True,956
0.45,0.35,0.1,0.3675,0.1465,0.1015,0.12,10,False,True,317
0.33,0.25,0.095,0.2085,0.102,0.0395,0.052,7,True,False,1220
0.2,0.155,0.04,0.0435,0.0155,0.009,0.007,4,True,False,1056
0.715,0.565,0.175,1.9525,0.7645,0.4185,0.4135,10,False,True,1049
0.68,0.5,0.185,1.741,0.7665,0.3255,0.4685,12,False,False,1521
0.375,0.27,0.135,0.597,0.272,0.131,0.1675,7,False,False,1766
0.415,0.31,0.105,0.3595,0.167,0.083,0.0915,6,True,False,3410
0.525,0.415,0.16,0.6445,0.26,0.1575,0.22,12,False,True,3278
0.54,0.435,0.18,0.996,0.3835,0.226,0.325,17,False,True,290
0.535,0.435,0.14,0.874,0.3735,0.229,0.2195,8,False,True,979
0.3,0.22,0.08,0.121,0.0475,0.042,0.035,5,True,False,332
0.37,0.29,0.095,0.249,0.1045,0.058,0.067,6,True,False,913
0.21,0.17,0.045,0.0475,0.019,0.011,0.013,5,True,False,1531
0.68,0.54,0.21,1.7885,0.8345,0.408,0.437,13,False,True,3005
0.705,0.535,0.18,1.685,0.693,0.42,0.4045,12,False,False,1047
0.55,0.38,0.165,1.205,0.543,0.294,0.3345,10,False,False,1790
0.425,0.325,0.1,0.3295,0.1365,0.0725,0.11,7,False,True,2120
0.605,0.49,0.165,1.071,0.482,0.1935,0.352,10,True,False,1919
0.65,0.5,0.16,1.3825,0.702,0.304,0.3195,9,False,False,1512
0.315,0.235,0.075,0.1285,0.051,0.028,0.0405,4,True,False,2865
0.58,0.46,0.15,0.9955,0.429,0.212,0.26,19,False,False,483
0.59,0.45,0.16,0.893,0.2745,0.2185,0.345,14,True,False,2264
0.505,0.38,0.135,0.6855,0.361,0.1565,0.161,9,False,False,1464
0.355,0.265,0.085,0.201,0.069,0.053,0.0695,8,False,True,713
0.45,0.34,0.12,0.4925,0.241,0.1075,0.12,6,True,False,1088
0.545,0.435,0.165,0.9955,0.3245,0.2665,0.325,19,False,True,3381
0.53,0.41,0.13,0.6965,0.302,0.1935,0.2,10,False,False,62
0.395,0.3,0.12,0.2995,0.1265,0.068,0.0895,8,True,False,3110
0.37,0.28,0.095,0.2865,0.1505,0.069,0.0795,7,True,False,914
0.3,0.23,0.095,0.1385,0.056,0.0365,0.037,6,True,False,901
0.6,0.465,0.16,1.133,0.466,0.2885,0.298,11,False,False,1918
0.375,0.275,0.095,0.2295,0.095,0.0545,0.066,7,True,False,2722
0.545,0.42,0.125,0.717,0.358,0.112,0.22,8,True,False,1610
0.28,0.21,0.055,0.106,0.0415,0.0265,0.031,5,True,False,2549
0.55,0.47,0.15,0.897,0.377,0.184,0.29,9,False,False,2163
0.525,0.405,0.115,0.72,0.3105,0.1915,0.2,14,False,False,3192
0.56,0.445,0.15,0.8225,0.3685,0.187,0.236,10,True,False,1619
0.455,0.35,0.125,0.4485,0.1585,0.102,0.1335,16,False,False,2390
0.345,0.255,0.1,0.197,0.071,0.051,0.06,9,False,False,2439
0.51,0.4,0.15,0.745,0.2865,0.1675,0.235,13,True,False,590
0.645,0.505,0.15,1.1605,0.519,0.2615,0.335,10,False,True,1706
0.535,0.4,0.15,0.8045,0.3345,0.2125,0.21,13,False,False,686
0.51,0.395,0.125,0.5805,0.244,0.1335,0.188,11,False,True,3092
0.625,0.5,0.195,1.369,0.5875,0.2185,0.37,17,False,True,494
0.695,0.535,0.175,1.361,0.5465,0.2815,0.465,10,False,False,3798
0.555,0.44,0.15,0.755,0.307,0.1525,0.26,12,False,True,91
0.66,0.52,0.19,1.558,0.755,0.298,0.4,10,False,True,884
0.52,0.4,0.12,0.823,0.298,0.1805,0.265,15,False,True,732
0.675,0.51,0.17,1.527,0.809,0.318,0.341,11,False,True,3707
0.455,0.35,0.12,0.4555,0.1945,0.1045,0.1375,7,False,False,2566
0.315,0.21,0.06,0.125,0.06,0.0375,0.035,5,True,False,176
0.63,0.485,0.185,1.167,0.548,0.2485,0.34,10,False,False,2943
0.675,0.51,0.15,1.1965,0.475,0.304,0.386,11,False,False,4101
0.31,0.225,0.075,0.1295,0.0455,0.0335,0.044,9,False,True,618
0.54,0.42,0.19,0.6855,0.293,0.163,0.38,10,False,True,3034
0.415,0.305,0.105,0.3605,0.12,0.082,0.1,10,False,False,2325
0.45,0.36,0.16,0.567,0.174,0.1245,0.225,12,False,True,2495
0.4,0.3,0.115,0.318,0.1335,0.0725,0.0935,6,True,False,4067
0.575,0.445,0.16,0.839,0.4005,0.198,0.239,9,False,True,1641
0.48,0.375,0.115,0.6765,0.3205,0.1065,0.17,6,False,True,949
0.815,0.65,0.25,2.255,0.8905,0.42,0.7975,14,False,False,1428
0.485,0.355,0.12,0.5085,0.21,0.122,0.135,9,True,False,3309
0.295,0.225,0.08,0.124,0.0485,0.032,0.04,9,True,False,235
0.655,0.58,0.205,2.0805,0.959,0.3415,0.601,17,False,True,882
0.625,0.49,0.165,1.205,0.5175,0.3105,0.3465,10,False,True,2792
0.49,0.395,0.135,0.5545,0.213,0.0925,0.215,14,False,True,2321
0.37,0.27,0.09,0.1855,0.07,0.0425,0.065,7,True,False,2870
0.635,0.5,0.18,1.2565,0.539,0.292,0.35,10,False,False,4054
0.51,0.405,0.125,0.6925,0.327,0.155,0.1805,7,False,True,4034
0.36,0.275,0.085,0.1975,0.0745,0.0415,0.07,9,True,False,247
0.625,0.485,0.175,1.3745,0.7335,0.2715,0.332,9,False,False,1170
0.62,0.51,0.175,1.1255,0.4985,0.227,0.315,14,False,False,3286
0.63,0.515,0.165,1.352,0.488,0.349,0.45,20,False,True,417
0.465,0.39,0.11,0.6355,0.1815,0.157,0.225,13,False,False,3951
0.295,0.215,0.075,0.116,0.037,0.0295,0.04,8,True,False,3206
0.6,0.485,0.175,1.2675,0.4995,0.2815,0.38,13,False,True,2251
0.5,0.4,0.13,0.6645,0.258,0.133,0.24,12,False,True,15
0.41,0.325,0.1,0.3245,0.132,0.072,0.106,6,True,False,1075
0.615,0.5,0.175,1.377,0.5585,0.33,0.292,12,False,False,867
0.475,0.39,0.12,0.5305,0.2135,0.1155,0.17,10,False,False,68
0.635,0.51,0.21,1.598,0.6535,0.2835,0.58,15,False,True,2272
0.575,0.445,0.14,0.737,0.325,0.1405,0.237,10,False,True,3043
0.515,0.385,0.11,0.5785,0.253,0.16,0.14,8,False,True,1861
0.375,0.28,0.09,0.215,0.084,0.06,0.055,6,True,False,915
0.395,0.295,0.1,0.2715,0.134,0.0325,0.085,10,True,False,443
0.47,0.375,0.12,0.5805,0.266,0.0935,0.169,8,False,True,836
0.71,0.555,0.195,1.9485,0.9455,0.3765,0.495,12,False,True,4176
0.385,0.3,0.1,0.2895,0.1215,0.063,0.09,7,True,False,824
0.45,0.345,0.105,0.4115,0.18,0.1125,0.135,7,False,True,60
0.45,0.355,0.105,0.4445,0.197,0.093,0.1335,8,True,False,934
0.55,0.435,0.145,0.843,0.328,0.1915,0.255,15,False,True,101
0.675,0.535,0.185,1.5575,0.7035,0.402,0.4,11,False,False,3706
0.565,0.44,0.175,0.8735,0.414,0.21,0.21,11,True,False,1324
0.645,0.52,0.19,1.3105,0.58,0.288,0.37,12,False,False,3261
0.555,0.425,0.145,0.7905,0.3485,0.1765,0.225,9,True,False,1319
0.285,0.215,0.06,0.0935,0.031,0.023,0.03,6,True,False,1991
0.22,0.165,0.055,0.0545,0.0215,0.012,0.02,5,True,False,463
0.555,0.435,0.14,0.7495,0.341,0.1645,0.214,8,False,True,1882
0.575,0.435,0.13,0.805,0.3155,0.2155,0.245,10,True,False,1141
0.315,0.245,0.085,0.1435,0.053,0.0475,0.05,8,True,False,177
0.525,0.4,0.13,0.8295,0.2405,0.1825,0.275,11,False,True,730
0.515,0.4,0.17,0.796,0.258,0.1755,0.28,16,False,False,2438
0.63,0.49,0.155,1.229,0.535,0.29,0.335,11,False,True,4138
0.495,0.38,0.145,0.5,0.205,0.148,0.1505,8,True,False,1853
0.55,0.465,0.15,0.936,0.481,0.174,0.2435,9,True,False,2764
0.43,0.32,0.1,0.3855,0.192,0.0745,0.1,7,True,False,3411
0.445,0.335,0.11,0.411,0.1985,0.0935,0.109,8,True,False,1086
0.47,0.385,0.13,0.587,0.264,0.117,0.174,8,True,False,2879
0.52,0.38,0.13,0.5345,0.2375,0.122,0.1535,8,True,False,3488
0.6,0.45,0.195,1.34,0.617,0.3255,0.3605,10,False,True,2920
0.7,0.54,0.205,1.74,0.7885,0.373,0.4865,13,False,True,2807
0.45,0.33,0.105,0.448,0.208,0.089,0.12,9,True,False,1261
0.465,0.36,0.105,0.488,0.188,0.0845,0.19,10,False,True,3137
0.345,0.27,0.09,0.195,0.078,0.0455,0.059,9,False,True,606
0.435,0.33,0.125,0.406,0.1685,0.1055,0.096,12,True,False,567
0.455,0.34,0.115,0.486,0.261,0.0655,0.1315,8,True,False,2740
0.71,0.575,0.215,2.009,0.9895,0.4475,0.502,11,False,True,1749
0.505,0.395,0.135,0.5915,0.288,0.1315,0.185,12,False,True,2017
0.4,0.315,0.09,0.33,0.151,0.068,0.08,6,True,False,3534
0.44,0.33,0.135,0.4095,0.163,0.1005,0.119,6,True,False,3975
0.42,0.3,0.105,0.316,0.1255,0.07,0.1035,7,True,False,1076
0.575,0.48,0.15,0.8745,0.375,0.193,0.29,12,False,False,3256
0.57,0.44,0.175,0.9415,0.3805,0.2285,0.283,9,False,True,1896
0.425,0.35,0.1,0.4425,0.175,0.0755,0.175,7,False,False,3835
0.59,0.5,0.2,1.187,0.412,0.2705,0.37,16,False,True,271
0.57,0.435,0.17,0.873,0.382,0.183,0.2705,10,False,True,1331
0.645,0.49,0.19,1.3065,0.479,0.3565,0.345,18,False,False,3918
0.425,0.325,0.095,0.3785,0.1705,0.08,0.1,7,False,True,63
0.68,0.51,0.2,1.6075,0.714,0.339,0.4705,11,False,False,1742
0.33,0.205,0.095,0.1595,0.077,0.032,0.0435,5,True,False,1221
0.645,0.515,0.15,1.212,0.515,0.2055,0.385,10,False,False,1030
0.605,0.47,0.165,1.2315,0.6025,0.262,0.2925,11,False,True,1006
0.475,0.36,0.14,0.5135,0.241,0.1045,0.155,8,False,True,4157
0.58,0.455,0.12,1.0735,0.479,0.2735,0.265,10,False,False,367
0.585,0.455,0.145,0.953,0.3945,0.2685,0.258,10,False,True,1796
0.48,0.38,0.125,0.6245,0.3395,0.1085,0.1665,8,True,False,1097
0.5,0.39,0.125,0.583,0.294,0.132,0.1605,8,True,False,2647
0.615,0.475,0.155,1.0735,0.4375,0.2585,0.31,11,False,True,3614
0.52,0.385,0.165,0.791,0.375,0.18,0.1815,10,False,True,4169
0.675,0.54,0.175,1.5545,0.6645,0.278,0.512,12,False,True,3795
0.575,0.435,0.13,1.0105,0.368,0.222,0.32,10,False,True,3393
0.52,0.46,0.15,1.019,0.523,0.1985,0.254,7,False,False,1112
0.725,0.575,0.24,2.21,1.351,0.413,0.5015,13,False,True,1528
0.28,0.21,0.08,0.1085,0.041,0.0265,0.0345,7,False,True,568
0.62,0.48,0.16,1.1125,0.5635,0.2445,0.281,8,False,False,1169
0.645,0.5,0.175,1.5105,0.6735,0.3755,0.3775,12,False,True,2615
0.275,0.195,0.07,0.0875,0.0345,0.022,0.0255,4,True,False,2548
0.21,0.15,0.055,0.0455,0.02,0.0065,0.013,4,True,False,3473
0.59,0.455,0.165,1.161,0.38,0.2455,0.28,12,False,False,2475
0.455,0.345,0.105,0.4005,0.164,0.0755,0.126,8,True,False,1262
0.255,0.19,0.075,0.0865,0.0345,0.0205,0.025,5,True,False,691
0.565,0.505,0.21,1.2765,0.501,0.279,0.355,12,False,False,291
0.655,0.53,0.195,1.388,0.567,0.2735,0.41,13,False,True,467
0.61,0.48,0.14,1.0625,0.516,0.225,0.2915,11,False,True,2928
0.695,0.57,0.23,1.885,0.8665,0.435,0.5,19,False,True,2366
0.66,0.53,0.185,1.3485,0.493,0.245,0.49,12,False,False,276
0.64,0.485,0.16,1.006,0.456,0.2245,0.2835,9,False,True,3000
0.57,0.435,0.17,0.848,0.4,0.166,0.25,9,True,False,1628
0.48,0.38,0.135,0.507,0.1915,0.1365,0.155,12,False,False,3311
0.52,0.41,0.14,0.5995,0.242,0.1375,0.182,11,True,False,4035
0.38,0.325,0.11,0.3105,0.12,0.074,0.105,10,False,False,2246
0.72,0.565,0.18,1.719,0.8465,0.407,0.3875,11,False,False,2859
0.625,0.475,0.175,1.1435,0.4755,0.2475,0.349,10,False,False,1013
0.36,0.275,0.11,0.2335,0.095,0.0525,0.085,10,True,False,440
0.72,0.575,0.23,2.2695,0.8835,0.3985,0.665,16,False,True,3188
0.43,0.33,0.095,0.32,0.118,0.065,0.123,7,True,False,3749
0.6,0.455,0.145,0.8895,0.419,0.1715,0.269,10,False,False,1356
0.475,0.38,0.145,0.57,0.167,0.118,0.187,11,False,False,2492
0.585,0.465,0.155,0.9145,0.4555,0.1965,0.235,9,False,True,1340
0.5,0.39,0.135,0.7815,0.361,0.1575,0.2385,9,False,True,2060
0.29,0.205,0.07,0.0975,0.036,0.019,0.035,8,True,False,716
0.725,0.6,0.2,1.737,0.697,0.3585,0.595,11,False,False,1423
0.31,0.235,0.075,0.1515,0.056,0.0315,0.05,7,True,False,3197
0.635,0.5,0.18,1.312,0.529,0.2485,0.485,18,False,False,2431
0.495,0.38,0.12,0.474,0.197,0.1065,0.1545,10,False,True,3091
0.5,0.375,0.13,0.721,0.3055,0.1725,0.22,14,False,True,3383
0.465,0.37,0.11,0.445,0.1635,0.096,0.166,7,True,False,1846
0.705,0.56,0.22,1.981,0.8175,0.3085,0.76,14,False,True,168
0.6,0.475,0.17,1.088,0.4905,0.2475,0.31,10,False,False,3578
0.58,0.45,0.175,1.068,0.425,0.203,0.32,13,False,True,425
0.63,0.485,0.17,1.3205,0.5945,0.345,0.345,9,False,False,1384
0.61,0.49,0.16,1.146,0.597,0.246,0.265,8,False,True,4009
0.55,0.435,0.165,0.804,0.34,0.194,0.244,8,True,False,2898
