buying,maint,doors,persons,lug_boot,safety,CAR,sampleNum,set
low,med,4,more,small,low,unacc,1584,2
high,vhigh,4,2,small,low,unacc,486,2
low,high,5more,2,med,high,unacc,1490,2
med,vhigh,4,2,med,med,unacc,922,2
low,low,2,2,big,low,unacc,1626,2
med,low,5more,2,big,med,unacc,1276,2
vhigh,vhigh,4,4,small,med,unacc,64,2
vhigh,low,2,2,big,high,unacc,332,2
low,vhigh,5more,2,big,med,unacc,1384,2
med,vhigh,2,2,big,high,unacc,872,2
vhigh,vhigh,2,more,big,low,unacc,24,2
med,med,5more,more,big,low,unacc,1185,2
med,med,2,more,small,low,unacc,1098,2
vhigh,low,4,2,small,low,unacc,378,2
med,low,2,2,med,low,unacc,1191,2
vhigh,low,3,more,small,low,unacc,369,2
vhigh,vhigh,3,more,big,low,unacc,51,2
med,low,3,2,big,high,unacc,1223,2
vhigh,med,4,4,small,low,unacc,279,2
vhigh,vhigh,3,2,small,low,unacc,27,2
med,high,2,more,small,med,unacc,991,2
vhigh,med,3,2,small,low,unacc,243,2
high,med,3,more,small,med,unacc,694,2
high,high,4,2,big,high,unacc,602,2
med,med,5more,more,small,low,unacc,1179,2
vhigh,low,3,4,small,med,unacc,361,2
vhigh,high,4,4,med,med,unacc,175,2
low,med,3,2,med,low,unacc,1542,2
high,high,2,2,big,low,unacc,546,2
high,high,2,more,med,med,unacc,562,2
low,low,2,2,med,high,unacc,1625,2
high,vhigh,5more,2,small,med,unacc,514,2
low,med,4,2,small,high,unacc,1568,2
med,low,2,4,small,low,unacc,1197,2
high,med,3,2,med,low,unacc,678,2
med,vhigh,4,4,small,low,unacc,927,2
high,vhigh,3,2,big,med,unacc,466,2
low,med,4,4,small,low,unacc,1575,2
high,med,3,more,small,low,unacc,693,2
med,vhigh,5more,4,med,low,unacc,957,2
low,vhigh,3,4,med,low,unacc,1335,2
med,high,5more,more,small,med,unacc,1072,2
low,vhigh,2,more,small,low,unacc,1314,2
vhigh,vhigh,4,more,big,low,unacc,78,2
low,low,2,2,big,med,unacc,1627,2
high,high,5more,4,small,med,unacc,631,2
med,low,2,2,small,med,unacc,1189,2
low,low,3,4,big,low,unacc,1662,2
med,med,3,2,med,high,unacc,1112,2
low,vhigh,5more,4,small,low,unacc,1386,2
vhigh,vhigh,4,4,small,high,unacc,65,2
vhigh,high,3,2,small,high,unacc,137,2
high,med,2,4,med,low,unacc,660,2
med,high,2,4,med,med,unacc,985,2
high,med,2,2,med,high,unacc,653,2
med,high,2,2,small,low,unacc,972,2
high,med,2,more,med,med,unacc,670,2
high,vhigh,3,more,med,med,unacc,481,2
vhigh,vhigh,5more,2,med,low,unacc,84,2
low,vhigh,3,2,small,high,unacc,1325,2
high,high,4,4,small,med,unacc,604,2
med,low,2,more,small,low,unacc,1206,2
high,med,5more,2,small,low,unacc,729,2
vhigh,high,3,more,med,low,unacc,156,2
med,low,2,more,med,low,unacc,1209,2
vhigh,med,2,2,med,low,unacc,219,2
high,high,3,4,small,med,unacc,577,2
med,med,5more,more,med,low,unacc,1182,2
low,med,4,2,big,high,unacc,1574,2
low,med,5more,4,big,low,unacc,1608,2
high,high,5more,2,med,low,unacc,624,2
vhigh,vhigh,4,more,med,low,unacc,75,2
low,vhigh,4,2,big,high,unacc,1358,2
med,high,2,2,big,med,unacc,979,2
high,med,5more,2,med,high,unacc,734,2
vhigh,med,2,4,med,med,unacc,229,2
med,high,3,4,med,low,unacc,1011,2
vhigh,low,2,4,small,low,unacc,333,2
med,vhigh,3,more,med,low,unacc,912,2
med,vhigh,4,2,big,med,unacc,925,2
vhigh,med,5more,more,big,low,unacc,321,2
low,vhigh,3,2,small,low,unacc,1323,2
low,low,2,4,big,low,unacc,1635,2
med,med,2,2,med,high,unacc,1085,2
high,med,2,2,small,low,unacc,648,2
high,high,3,2,small,high,unacc,569,2
med,high,4,more,small,low,unacc,1044,2
high,med,5more,more,small,med,unacc,748,2
high,high,5more,2,small,high,unacc,623,2
low,med,5more,2,med,low,unacc,1596,2
med,vhigh,2,more,med,low,unacc,885,2
high,vhigh,2,more,big,low,unacc,456,2
med,med,4,2,med,high,unacc,1139,2
med,low,5more,more,big,low,unacc,1293,2
vhigh,vhigh,3,4,big,med,unacc,43,2
high,high,4,more,small,low,unacc,612,2
high,low,5more,more,med,low,unacc,858,2
low,vhigh,2,4,big,low,unacc,1311,2
high,vhigh,4,2,big,high,unacc,494,2
low,low,3,more,big,low,unacc,1671,2
vhigh,med,4,more,small,med,unacc,289,2
med,med,2,2,med,med,unacc,1084,2
high,vhigh,2,4,big,high,unacc,449,2
med,vhigh,5more,2,big,med,unacc,952,2
high,low,3,2,med,high,unacc,788,2
low,med,4,2,small,med,unacc,1567,2
vhigh,low,2,2,small,low,unacc,324,2
high,low,3,4,med,med,unacc,796,2
vhigh,med,4,4,med,low,unacc,282,2
med,med,2,2,med,low,unacc,1083,2
high,low,3,4,small,low,unacc,792,2
low,vhigh,3,4,med,med,unacc,1336,2
vhigh,vhigh,2,4,small,high,unacc,11,2
vhigh,high,4,more,med,med,unacc,184,2
high,med,2,4,big,low,unacc,663,2
vhigh,high,5more,2,med,med,unacc,193,2
low,med,3,more,med,low,unacc,1560,2
low,low,5more,2,med,low,unacc,1704,2
med,vhigh,3,4,big,low,unacc,906,2
low,low,2,2,small,high,unacc,1622,2
low,high,4,more,big,low,unacc,1482,2
vhigh,high,3,more,small,high,unacc,155,2
high,med,2,4,small,low,unacc,657,2
vhigh,low,5more,2,med,med,unacc,409,2
low,high,5more,2,small,low,unacc,1485,2
high,med,5more,more,med,low,unacc,750,2
vhigh,high,5more,2,small,high,unacc,191,2
high,med,3,2,big,high,unacc,683,2
vhigh,high,4,4,small,high,unacc,173,2
high,vhigh,4,2,small,med,unacc,487,2
high,vhigh,5more,more,med,low,unacc,534,2
med,high,3,2,med,med,unacc,1003,2
low,high,2,2,big,med,unacc,1411,2
high,med,3,4,med,med,unacc,688,2
low,high,2,2,small,high,unacc,1406,2
vhigh,high,5more,more,small,high,unacc,209,2
vhigh,vhigh,5more,4,big,med,unacc,97,2
low,high,4,2,small,high,unacc,1460,2
vhigh,high,3,4,big,low,unacc,150,2
vhigh,high,2,2,big,high,unacc,116,2
low,high,2,2,med,low,unacc,1407,2
vhigh,low,3,2,med,med,unacc,355,2
vhigh,med,4,2,big,low,unacc,276,2
vhigh,high,5more,4,small,high,unacc,200,2
vhigh,low,5more,2,small,low,unacc,405,2
low,low,2,more,small,med,unacc,1639,2
low,high,4,4,med,low,unacc,1470,2
med,high,4,more,big,low,unacc,1050,2
high,vhigh,3,more,big,high,unacc,485,2
high,med,5more,2,med,med,unacc,733,2
vhigh,med,5more,2,med,med,unacc,301,2
high,high,3,4,med,med,unacc,580,2
vhigh,low,2,2,big,low,unacc,330,2
med,vhigh,5more,2,med,high,unacc,950,2
vhigh,vhigh,4,more,small,low,unacc,72,2
med,high,5more,2,big,low,unacc,1059,2
vhigh,med,5more,2,med,low,unacc,300,2
high,high,5more,more,big,low,unacc,645,2
high,high,4,4,small,low,unacc,603,2
high,med,4,2,big,high,unacc,710,2
high,med,2,more,small,med,unacc,667,2
med,vhigh,2,2,med,med,unacc,868,2
med,med,2,2,small,low,unacc,1080,2
vhigh,high,3,4,med,high,unacc,149,2
vhigh,low,5more,4,big,low,unacc,420,2
med,low,5more,more,med,low,unacc,1290,2
vhigh,med,4,more,big,low,unacc,294,2
high,med,5more,more,big,low,unacc,753,2
med,vhigh,4,4,small,med,unacc,928,2
high,low,2,more,med,low,unacc,777,2
vhigh,low,4,2,small,med,unacc,379,2
vhigh,med,4,2,big,high,unacc,278,2
high,med,4,more,big,low,unacc,726,2
high,low,2,2,big,high,unacc,764,2
low,high,3,2,small,high,unacc,1433,2
med,med,2,4,big,low,unacc,1095,2
low,vhigh,5more,2,small,low,unacc,1377,2
high,vhigh,5more,more,med,med,unacc,535,2
med,vhigh,5more,4,small,low,unacc,954,2
high,med,2,2,big,low,unacc,654,2
vhigh,low,3,2,small,med,unacc,352,2
vhigh,high,5more,2,med,high,unacc,194,2
high,vhigh,2,more,small,high,unacc,452,2
low,vhigh,2,4,med,low,unacc,1308,2
high,high,5more,4,big,low,unacc,636,2
vhigh,vhigh,4,4,med,low,unacc,66,2
vhigh,high,5more,2,small,low,unacc,189,2
vhigh,low,5more,4,small,low,unacc,414,2
vhigh,vhigh,4,4,med,high,unacc,68,2
med,med,3,4,small,low,unacc,1116,2
vhigh,high,3,more,big,med,unacc,160,2
low,med,2,more,med,low,unacc,1533,2
vhigh,med,5more,2,small,high,unacc,299,2
low,low,4,2,med,high,unacc,1679,2
vhigh,low,5more,2,big,high,unacc,413,2
vhigh,high,3,4,small,high,unacc,146,2
vhigh,high,4,more,med,low,unacc,183,2
low,low,2,more,small,low,unacc,1638,2
low,med,2,2,big,high,unacc,1520,2
vhigh,high,2,4,small,low,unacc,117,2
low,med,5more,2,big,low,unacc,1599,2
low,med,3,2,big,high,unacc,1547,2
med,vhigh,4,2,small,med,unacc,919,2
low,med,2,2,big,low,unacc,1518,2
high,vhigh,3,more,small,med,unacc,478,2
high,med,3,2,big,med,unacc,682,2
vhigh,high,4,2,small,high,unacc,164,2
med,low,4,4,med,low,unacc,1254,2
high,vhigh,3,4,small,high,unacc,470,2
med,high,3,2,small,low,unacc,999,2
vhigh,vhigh,2,2,small,high,unacc,2,2
high,low,3,2,small,low,unacc,783,2
vhigh,high,5more,2,small,med,unacc,190,2
med,vhigh,4,more,med,low,unacc,939,2
vhigh,vhigh,5more,4,big,high,unacc,98,2
med,low,3,more,med,low,unacc,1236,2
vhigh,med,5more,more,small,low,unacc,315,2
med,high,3,more,med,low,unacc,1020,2
low,vhigh,5more,2,small,med,unacc,1378,2
vhigh,med,2,2,big,low,unacc,222,2
low,low,3,2,big,med,unacc,1654,2
low,vhigh,4,more,med,low,unacc,1371,2
low,vhigh,5more,2,small,high,unacc,1379,2
high,vhigh,3,4,big,med,unacc,475,2
high,high,3,more,big,low,unacc,591,2
vhigh,vhigh,3,more,med,med,unacc,49,2
high,med,2,2,big,med,unacc,655,2
vhigh,vhigh,2,more,med,high,unacc,23,2
vhigh,vhigh,2,2,big,high,unacc,8,2
high,vhigh,2,4,big,low,unacc,447,2
med,high,2,2,small,high,unacc,974,2
vhigh,vhigh,3,4,big,low,unacc,42,2
vhigh,high,5more,4,small,low,unacc,198,2
low,vhigh,3,2,big,high,unacc,1331,2
vhigh,med,3,2,small,high,unacc,245,2
vhigh,low,2,more,small,med,unacc,343,2
vhigh,vhigh,3,2,med,low,unacc,30,2
low,high,2,2,med,high,unacc,1409,2
vhigh,vhigh,4,4,small,low,unacc,63,2
vhigh,high,4,2,med,med,unacc,166,2
vhigh,low,3,2,med,low,unacc,354,2
high,low,2,more,small,low,unacc,774,2
med,vhigh,5more,2,small,high,unacc,947,2
high,vhigh,2,2,med,high,unacc,437,2
high,vhigh,2,4,small,low,unacc,441,2
low,vhigh,2,2,big,med,unacc,1303,2
vhigh,med,2,4,small,low,unacc,225,2
low,med,2,4,small,low,unacc,1521,2
med,high,2,4,med,low,unacc,984,2
vhigh,med,4,2,small,low,unacc,270,2
high,vhigh,2,2,med,med,unacc,436,2
high,med,3,2,med,high,unacc,680,2
med,low,5more,4,small,low,unacc,1278,2
high,med,2,4,med,med,unacc,661,2
low,med,4,2,med,med,unacc,1570,2
high,med,5more,4,small,low,unacc,738,2
vhigh,low,2,2,med,med,unacc,328,2
vhigh,med,2,more,small,high,unacc,236,2
low,low,2,2,med,low,unacc,1623,2
high,high,3,4,med,low,unacc,579,2
low,high,5more,4,big,low,unacc,1500,2
high,high,3,4,big,low,unacc,582,2
high,high,2,2,big,med,unacc,547,2
high,vhigh,2,2,big,high,unacc,440,2
high,low,4,4,med,low,unacc,822,2
low,low,3,2,small,high,unacc,1649,2
vhigh,high,5more,4,med,high,unacc,203,2
vhigh,vhigh,4,more,med,high,unacc,77,2
vhigh,high,4,4,big,high,unacc,179,2
vhigh,high,2,more,small,high,unacc,128,2
vhigh,vhigh,2,2,big,med,unacc,7,2
vhigh,med,5more,2,big,low,unacc,303,2
med,high,2,2,med,med,unacc,976,2
med,low,5more,2,small,high,unacc,1271,2
med,med,5more,2,small,high,unacc,1163,2
high,med,4,more,med,low,unacc,723,2
low,med,5more,2,small,high,unacc,1595,2
vhigh,low,5more,4,med,low,unacc,417,2
high,low,4,more,small,low,unacc,828,2
low,low,5more,2,big,med,unacc,1708,2
vhigh,vhigh,4,more,small,med,unacc,73,2
low,vhigh,5more,more,small,med,unacc,1396,2
vhigh,med,5more,4,med,low,unacc,309,2
low,high,2,more,big,low,unacc,1428,2
high,vhigh,5more,4,small,high,unacc,524,2
low,high,4,2,med,low,unacc,1461,2
low,vhigh,3,2,big,low,unacc,1329,2
vhigh,med,3,4,small,low,unacc,252,2
med,high,5more,4,big,low,unacc,1068,2
high,med,2,more,small,high,unacc,668,2
med,med,5more,2,big,med,unacc,1168,2
low,high,5more,more,big,low,unacc,1509,2
high,med,2,more,small,low,unacc,666,2
vhigh,high,2,more,big,high,unacc,134,2
high,vhigh,5more,4,big,high,unacc,530,2
low,vhigh,4,2,small,high,unacc,1352,2
low,high,3,4,med,low,unacc,1443,2
vhigh,med,4,2,small,high,unacc,272,2
high,vhigh,3,4,med,med,unacc,472,2
med,med,3,2,small,low,unacc,1107,2
med,vhigh,2,more,med,med,unacc,886,2
vhigh,med,3,2,big,high,unacc,251,2
vhigh,vhigh,4,2,big,med,unacc,61,2
high,low,5more,2,big,med,unacc,844,2
vhigh,low,3,more,small,med,unacc,370,2
high,vhigh,2,4,big,med,unacc,448,2
high,vhigh,4,2,med,high,unacc,491,2
low,low,3,2,small,med,unacc,1648,2
high,vhigh,4,4,small,low,unacc,495,2
vhigh,vhigh,5more,4,big,low,unacc,96,2
high,low,3,2,med,med,unacc,787,2
low,vhigh,3,more,small,low,unacc,1341,2
high,low,4,2,small,high,unacc,812,2
high,med,4,4,med,low,unacc,714,2
vhigh,high,5more,more,med,low,unacc,210,2
low,med,3,2,med,high,unacc,1544,2
low,vhigh,3,4,small,low,unacc,1332,2
high,med,3,4,med,low,unacc,687,2
vhigh,high,4,more,small,high,unacc,182,2
vhigh,med,2,2,small,low,unacc,216,2
vhigh,vhigh,5more,2,small,med,unacc,82,2
high,low,4,2,med,high,unacc,815,2
vhigh,high,3,2,med,low,unacc,138,2
med,vhigh,2,4,small,low,unacc,873,2
vhigh,med,2,more,med,low,unacc,237,2
high,high,4,more,small,med,unacc,613,2
high,vhigh,3,more,med,low,unacc,480,2
low,low,3,2,big,high,unacc,1655,2
vhigh,vhigh,3,4,small,low,unacc,36,2
vhigh,low,5more,2,small,med,unacc,406,2
high,low,2,more,med,med,unacc,778,2
high,high,5more,2,small,low,unacc,621,2
vhigh,high,2,4,big,low,unacc,123,2
vhigh,low,3,4,small,low,unacc,360,2
high,high,5more,more,small,low,unacc,639,2
high,high,4,more,big,low,unacc,618,2
low,med,4,more,med,low,unacc,1587,2
vhigh,med,5more,2,med,high,unacc,302,2
med,med,2,2,big,med,unacc,1087,2
high,vhigh,2,4,small,med,unacc,442,2
low,med,5more,4,small,low,unacc,1602,2
vhigh,low,4,2,big,low,unacc,384,2
low,med,2,more,small,low,unacc,1530,2
med,med,3,2,med,med,unacc,1111,2
low,vhigh,5more,2,med,low,unacc,1380,2
high,vhigh,2,4,med,med,unacc,445,2
med,med,4,2,big,med,unacc,1141,2
vhigh,low,3,more,med,low,unacc,372,2
high,med,2,2,med,low,unacc,651,2
high,low,2,2,small,low,unacc,756,2
med,high,4,more,small,med,unacc,1045,2
high,vhigh,5more,4,small,low,unacc,522,2
vhigh,low,4,2,big,high,unacc,386,2
med,vhigh,5more,more,small,med,unacc,964,2
vhigh,vhigh,5more,more,med,low,unacc,102,2
high,high,4,4,big,low,unacc,609,2
med,low,3,more,big,low,unacc,1239,2
med,high,2,2,big,low,unacc,978,2
vhigh,med,5more,more,small,med,unacc,316,2
high,vhigh,4,4,big,low,unacc,501,2
vhigh,med,5more,2,big,high,unacc,305,2
low,vhigh,2,2,small,high,unacc,1298,2
high,vhigh,3,2,big,low,unacc,465,2
vhigh,high,4,4,small,med,unacc,172,2
vhigh,high,4,2,small,low,unacc,162,2
low,vhigh,2,4,small,low,unacc,1305,2
med,high,3,2,small,med,unacc,1000,2
med,med,4,2,big,low,unacc,1140,2
high,vhigh,4,4,small,med,unacc,496,2
med,vhigh,3,2,big,high,unacc,899,2
vhigh,med,3,more,med,low,unacc,264,2
vhigh,vhigh,5more,more,med,high,unacc,104,2
med,high,4,2,big,med,unacc,1033,2
vhigh,low,4,more,big,low,unacc,402,2
high,low,3,2,big,high,unacc,791,2
low,med,2,more,big,low,unacc,1536,2
low,vhigh,4,more,small,low,unacc,1368,2
low,high,2,2,med,med,unacc,1408,2
med,vhigh,2,2,small,high,unacc,866,2
high,low,3,more,med,low,unacc,804,2
low,low,2,2,small,low,unacc,1620,2
low,vhigh,3,2,big,med,unacc,1330,2
high,vhigh,5more,2,med,low,unacc,516,2
high,vhigh,2,more,big,high,unacc,458,2
low,high,2,4,med,low,unacc,1416,2
vhigh,high,3,4,med,low,unacc,147,2
high,low,2,2,med,low,unacc,759,2
vhigh,high,4,more,med,high,unacc,185,2
med,low,2,4,big,low,unacc,1203,2
vhigh,vhigh,2,2,med,high,unacc,5,2
med,med,5more,2,med,med,unacc,1165,2
high,vhigh,5more,2,small,low,unacc,513,2
high,med,3,2,big,low,unacc,681,2
vhigh,low,5more,2,small,high,unacc,407,2
low,vhigh,5more,more,big,low,unacc,1401,2
med,low,5more,2,med,med,unacc,1273,2
low,vhigh,2,2,med,low,unacc,1299,2
vhigh,vhigh,3,2,big,med,unacc,34,2
high,high,2,2,small,high,unacc,542,2
med,low,4,2,small,high,unacc,1244,2
vhigh,vhigh,5more,2,med,med,unacc,85,2
high,high,5more,2,big,high,unacc,629,2
low,med,3,2,small,high,unacc,1541,2
vhigh,vhigh,5more,4,med,low,unacc,93,2
med,high,5more,more,big,low,unacc,1077,2
med,low,4,4,big,low,unacc,1257,2
high,vhigh,2,4,small,high,unacc,443,2
high,med,4,more,small,med,unacc,721,2
high,high,3,more,small,low,unacc,585,2
med,med,4,4,med,low,unacc,1146,2
high,vhigh,5more,2,big,low,unacc,519,2
high,low,4,2,big,high,unacc,818,2
vhigh,med,3,4,big,low,unacc,258,2
vhigh,low,4,more,small,med,unacc,397,2
low,med,2,2,med,high,unacc,1517,2
med,vhigh,2,2,small,med,unacc,865,2
high,low,5more,2,big,low,unacc,843,2
med,vhigh,2,more,small,high,unacc,884,2
med,vhigh,5more,more,small,low,unacc,963,2
low,high,4,4,big,low,unacc,1473,2
vhigh,vhigh,3,4,small,high,unacc,38,2
med,med,5more,more,big,med,acc,1186,2
vhigh,med,5more,more,small,high,acc,317,2
low,high,3,4,med,med,acc,1444,2
vhigh,med,3,more,big,high,acc,269,2
high,low,4,4,big,med,acc,826,2
low,vhigh,4,more,small,high,acc,1370,2
low,vhigh,3,more,med,high,acc,1346,2
med,vhigh,3,more,med,high,acc,914,2
high,low,2,more,big,med,acc,781,2
vhigh,med,5more,more,med,med,acc,319,2
med,high,4,4,med,med,acc,1039,2
med,vhigh,5more,4,big,high,acc,962,2
vhigh,med,4,4,med,high,acc,284,2
med,vhigh,4,more,small,high,acc,938,2
high,high,3,4,small,high,acc,578,2
med,high,3,more,med,high,acc,1022,2
vhigh,low,4,more,small,high,acc,398,2
med,med,4,more,small,high,acc,1154,2
med,low,3,more,small,med,acc,1234,2
low,high,2,4,small,high,acc,1415,2
high,low,3,more,med,high,acc,806,2
high,med,5more,4,small,high,acc,740,2
med,med,3,more,big,med,acc,1132,2
high,med,2,more,med,high,acc,671,2
high,med,5more,more,med,high,acc,752,2
med,high,5more,more,small,high,acc,1073,2
med,high,5more,4,med,med,acc,1066,2
med,high,2,more,big,med,acc,997,2
low,med,2,4,med,med,acc,1525,2
vhigh,med,2,more,med,high,acc,239,2
low,low,5more,more,small,med,acc,1720,2
med,med,3,4,small,high,acc,1118,2
high,high,5more,4,small,high,acc,632,2
med,high,2,4,small,high,acc,983,2
high,high,4,4,med,high,acc,608,2
low,vhigh,4,4,med,high,acc,1364,2
med,med,5more,4,small,high,acc,1172,2
low,high,4,more,med,med,acc,1480,2
vhigh,low,2,4,small,high,acc,335,2
med,low,5more,4,small,med,acc,1279,2
med,high,4,more,med,med,acc,1048,2
high,med,5more,more,big,high,acc,755,2
low,low,4,4,small,med,acc,1684,2
high,low,3,more,big,med,acc,808,2
med,vhigh,5more,4,small,high,acc,956,2
low,vhigh,4,4,big,high,acc,1367,2
high,low,4,more,med,high,acc,833,2
vhigh,med,5more,4,small,high,acc,308,2
low,med,2,4,small,med,acc,1522,2
vhigh,low,5more,more,big,high,acc,431,2
med,med,3,4,med,med,acc,1120,2
low,high,5more,more,small,med,acc,1504,2
vhigh,low,4,more,med,high,acc,401,2
med,vhigh,4,4,big,med,acc,934,2
med,med,5more,4,med,med,acc,1174,2
med,med,3,more,small,med,acc,1126,2
high,med,2,4,med,high,acc,662,2
high,high,4,more,big,med,acc,619,2
low,high,4,4,big,med,acc,1474,2
med,med,3,4,small,med,acc,1117,2
med,vhigh,2,4,small,high,acc,875,2
med,vhigh,5more,more,big,high,acc,971,2
med,vhigh,3,4,big,high,acc,908,2
vhigh,low,5more,more,small,high,acc,425,2
low,vhigh,2,4,small,high,acc,1307,2
low,low,2,more,med,med,acc,1642,2
vhigh,med,4,more,med,high,acc,293,2
low,low,2,4,small,med,acc,1630,2
med,high,2,4,big,med,acc,988,2
high,high,4,more,med,high,acc,617,2
high,low,3,4,big,med,acc,799,2
high,low,4,4,med,med,acc,823,2
high,low,3,4,big,high,acc,800,2
med,low,3,4,small,med,acc,1225,2
med,low,4,4,small,med,acc,1252,2
high,high,3,4,big,high,acc,584,2
vhigh,low,5more,4,med,med,acc,418,2
low,high,5more,4,big,med,acc,1501,2
low,vhigh,5more,4,big,med,acc,1393,2
med,med,2,4,big,med,acc,1096,2
low,high,2,more,med,high,acc,1427,2
med,vhigh,4,4,med,med,acc,931,2
med,vhigh,4,more,med,high,acc,941,2
high,med,2,more,big,high,acc,674,2
med,high,3,4,big,med,acc,1015,2
low,high,2,4,big,med,acc,1420,2
high,med,2,4,big,high,acc,665,2
high,low,3,4,small,high,acc,794,2
med,high,5more,4,small,high,acc,1064,2
vhigh,low,4,more,med,med,acc,400,2
high,high,5more,more,big,high,acc,647,2
low,high,2,more,med,med,acc,1426,2
med,med,4,4,small,med,acc,1144,2
high,med,5more,4,med,med,acc,742,2
med,low,2,4,med,med,acc,1201,2
high,low,5more,4,med,med,acc,850,2
high,high,2,4,big,med,acc,556,2
vhigh,low,5more,4,med,high,acc,419,2
high,med,4,more,big,high,acc,728,2
high,high,3,4,big,med,acc,583,2
low,high,5more,4,small,med,acc,1495,2
high,med,4,4,big,med,acc,718,2
med,vhigh,2,4,med,high,acc,878,2
low,high,4,more,small,med,acc,1477,2
high,med,4,4,med,med,acc,715,2
high,high,3,4,med,high,acc,581,2
high,low,5more,more,med,high,acc,860,2
vhigh,med,4,4,big,med,acc,286,2
med,med,4,more,med,med,acc,1156,2
low,high,4,4,small,high,acc,1469,2
vhigh,low,5more,more,big,med,acc,430,2
high,low,3,more,med,med,acc,805,2
low,vhigh,2,more,big,med,acc,1321,2
vhigh,low,4,4,big,med,acc,394,2
vhigh,low,3,4,big,high,acc,368,2
low,med,5more,more,small,med,acc,1612,2
vhigh,med,3,more,med,high,acc,266,2
med,high,5more,4,med,high,acc,1067,2
med,vhigh,3,more,big,med,acc,916,2
vhigh,med,3,4,big,high,acc,260,2
med,med,5more,more,small,high,acc,1181,2
vhigh,low,3,4,small,high,acc,362,2
low,high,2,4,small,med,acc,1414,2
med,low,2,more,med,med,acc,1210,2
low,med,5more,4,small,med,acc,1603,2
high,med,3,4,big,med,acc,691,2
low,vhigh,4,more,med,med,acc,1372,2
med,low,2,4,small,med,acc,1198,2
med,med,2,more,med,med,acc,1102,2
low,high,4,4,med,med,acc,1471,2
high,med,4,more,big,med,acc,727,2
high,high,3,more,med,med,acc,589,2
med,high,4,more,big,med,acc,1051,2
med,high,4,4,big,med,acc,1042,2
low,vhigh,3,4,small,high,acc,1334,2
low,low,3,more,small,med,acc,1666,2
vhigh,low,5more,4,small,high,acc,416,2
vhigh,low,2,4,big,med,acc,340,2
med,med,2,4,med,med,acc,1093,2
high,low,5more,4,big,med,acc,853,2
med,high,3,more,big,med,acc,1024,2
med,med,4,4,small,high,acc,1145,2
low,high,5more,more,big,med,acc,1510,2
high,med,4,more,med,high,acc,725,2
high,high,4,4,med,med,acc,607,2
vhigh,low,5more,4,big,high,acc,422,2
low,vhigh,5more,more,big,med,acc,1402,2
vhigh,low,2,4,med,high,acc,338,2
vhigh,med,2,4,med,high,acc,230,2
