buying,maint,doors,persons,lug_boot,safety,CAR,sampleNum,set
high,med,5more,more,big,low,unacc,753,1
high,vhigh,4,2,med,med,unacc,490,1
med,low,5more,2,small,low,unacc,1269,1
high,low,3,4,big,low,unacc,798,1
med,med,4,4,med,low,unacc,1146,1
low,high,2,2,med,low,unacc,1407,1
low,high,5more,2,med,high,unacc,1490,1
med,low,4,more,med,low,unacc,1263,1
high,high,4,4,big,low,unacc,609,1
vhigh,med,5more,more,big,low,unacc,321,1
vhigh,vhigh,2,2,med,high,unacc,5,1
low,low,5more,2,big,med,unacc,1708,1
vhigh,low,4,2,big,high,unacc,386,1
low,vhigh,5more,4,med,low,unacc,1389,1
vhigh,high,4,4,small,med,unacc,172,1
med,high,2,4,med,low,unacc,984,1
vhigh,low,5more,4,small,med,unacc,415,1
vhigh,med,5more,more,small,low,unacc,315,1
med,high,2,2,big,med,unacc,979,1
vhigh,vhigh,5more,4,med,high,unacc,95,1
high,low,2,2,small,high,unacc,758,1
vhigh,high,4,4,med,high,unacc,176,1
med,low,3,2,big,high,unacc,1223,1
high,high,5more,more,small,low,unacc,639,1
vhigh,vhigh,4,4,big,high,unacc,71,1
med,med,2,4,med,low,unacc,1092,1
high,high,4,more,big,low,unacc,618,1
med,vhigh,2,4,small,low,unacc,873,1
vhigh,high,4,more,big,med,unacc,187,1
med,high,5more,2,med,med,unacc,1057,1
med,low,2,2,small,low,unacc,1188,1
low,high,4,2,med,high,unacc,1463,1
low,vhigh,4,4,small,low,unacc,1359,1
med,low,5more,2,big,med,unacc,1276,1
med,low,5more,2,big,high,unacc,1277,1
high,high,2,2,big,high,unacc,548,1
high,vhigh,4,2,big,high,unacc,494,1
high,vhigh,5more,2,small,low,unacc,513,1
low,med,2,4,big,low,unacc,1527,1
high,vhigh,5more,2,small,med,unacc,514,1
med,vhigh,2,more,small,low,unacc,882,1
vhigh,vhigh,2,2,med,med,unacc,4,1
low,vhigh,3,2,big,med,unacc,1330,1
low,high,2,2,med,high,unacc,1409,1
vhigh,vhigh,3,more,small,low,unacc,45,1
high,vhigh,5more,2,med,med,unacc,517,1
low,high,5more,2,small,low,unacc,1485,1
low,med,5more,2,small,low,unacc,1593,1
low,low,4,2,small,low,unacc,1674,1
high,med,4,more,big,low,unacc,726,1
vhigh,high,2,2,big,low,unacc,114,1
vhigh,vhigh,2,more,small,low,unacc,18,1
vhigh,med,3,2,big,high,unacc,251,1
med,low,2,2,small,med,unacc,1189,1
med,vhigh,5more,more,med,low,unacc,966,1
high,high,2,2,small,low,unacc,540,1
vhigh,vhigh,2,4,small,high,unacc,11,1
high,low,2,4,small,low,unacc,765,1
med,med,5more,2,small,high,unacc,1163,1
vhigh,low,3,more,med,low,unacc,372,1
low,vhigh,4,2,med,low,unacc,1353,1
vhigh,high,2,more,med,low,unacc,129,1
vhigh,vhigh,5more,2,big,low,unacc,87,1
high,low,2,more,small,high,unacc,776,1
high,low,5more,2,med,med,unacc,841,1
low,med,4,2,big,low,unacc,1572,1
vhigh,high,3,2,small,low,unacc,135,1
low,high,4,4,small,low,unacc,1467,1
vhigh,high,4,4,big,low,unacc,177,1
med,vhigh,2,2,small,low,unacc,864,1
vhigh,med,4,more,big,low,unacc,294,1
low,vhigh,2,more,small,low,unacc,1314,1
vhigh,low,5more,2,small,high,unacc,407,1
med,high,5more,2,med,low,unacc,1056,1
high,low,3,more,med,low,unacc,804,1
high,low,3,4,small,low,unacc,792,1
med,high,3,more,med,low,unacc,1020,1
med,low,2,2,med,med,unacc,1192,1
high,high,4,2,med,med,unacc,598,1
med,med,3,2,med,high,unacc,1112,1
low,med,4,2,small,high,unacc,1568,1
low,low,4,4,med,low,unacc,1686,1
high,high,5more,2,big,med,unacc,628,1
vhigh,med,5more,more,med,low,unacc,318,1
low,low,2,2,small,high,unacc,1622,1
med,low,3,more,big,low,unacc,1239,1
vhigh,high,5more,more,med,med,unacc,211,1
med,high,2,more,small,med,unacc,991,1
high,vhigh,5more,more,med,high,unacc,536,1
vhigh,low,4,2,med,low,unacc,381,1
vhigh,med,3,2,small,low,unacc,243,1
low,low,2,2,med,high,unacc,1625,1
high,low,4,more,med,low,unacc,831,1
med,low,3,more,med,low,unacc,1236,1
low,high,3,4,big,low,unacc,1446,1
high,vhigh,5more,4,big,low,unacc,528,1
med,vhigh,3,2,med,high,unacc,896,1
low,high,3,more,small,low,unacc,1449,1
vhigh,low,2,2,big,low,unacc,330,1
low,med,5more,2,med,high,unacc,1598,1
med,high,3,2,big,high,unacc,1007,1
high,low,5more,more,med,low,unacc,858,1
med,vhigh,5more,more,small,low,unacc,963,1
high,med,2,4,med,med,unacc,661,1
med,vhigh,4,2,big,low,unacc,924,1
high,med,5more,2,small,med,unacc,730,1
vhigh,med,2,more,small,high,unacc,236,1
high,med,3,2,small,high,unacc,677,1
med,low,2,more,small,low,unacc,1206,1
low,high,4,more,med,low,unacc,1479,1
high,low,5more,2,big,med,unacc,844,1
vhigh,med,2,more,med,med,unacc,238,1
low,low,5more,4,big,low,unacc,1716,1
high,low,4,2,small,high,unacc,812,1
med,high,5more,more,small,low,unacc,1071,1
high,vhigh,4,2,small,high,unacc,488,1
high,vhigh,2,more,big,high,unacc,458,1
high,vhigh,2,4,big,med,unacc,448,1
low,vhigh,2,2,big,med,unacc,1303,1
med,vhigh,3,2,small,low,unacc,891,1
high,med,4,2,big,med,unacc,709,1
vhigh,vhigh,2,2,big,high,unacc,8,1
low,low,2,more,small,low,unacc,1638,1
vhigh,vhigh,4,2,med,high,unacc,59,1
vhigh,med,5more,2,med,low,unacc,300,1
vhigh,vhigh,5more,more,big,med,unacc,106,1
med,high,3,4,small,med,unacc,1009,1
med,high,4,2,small,med,unacc,1027,1
med,vhigh,5more,2,big,med,unacc,952,1
vhigh,high,3,4,small,high,unacc,146,1
med,low,2,more,med,low,unacc,1209,1
med,low,2,2,med,low,unacc,1191,1
high,med,2,more,med,med,unacc,670,1
vhigh,vhigh,2,2,med,low,unacc,3,1
low,vhigh,3,4,med,low,unacc,1335,1
high,low,4,2,big,med,unacc,817,1
low,vhigh,3,more,small,low,unacc,1341,1
high,vhigh,4,more,small,low,unacc,504,1
med,low,2,4,big,low,unacc,1203,1
med,high,2,more,small,low,unacc,990,1
low,low,3,2,small,low,unacc,1647,1
vhigh,low,5more,2,big,high,unacc,413,1
high,low,4,2,med,med,unacc,814,1
med,low,5more,2,small,med,unacc,1270,1
med,high,4,more,small,med,unacc,1045,1
high,vhigh,5more,4,small,low,unacc,522,1
high,low,4,4,med,low,unacc,822,1
high,med,2,2,big,low,unacc,654,1
vhigh,vhigh,3,4,med,med,unacc,40,1
vhigh,high,5more,2,small,high,unacc,191,1
high,vhigh,3,more,big,high,unacc,485,1
high,low,3,4,med,med,unacc,796,1
vhigh,vhigh,3,4,small,high,unacc,38,1
vhigh,low,4,2,small,med,unacc,379,1
vhigh,med,3,2,big,low,unacc,249,1
high,low,2,2,big,low,unacc,762,1
low,high,4,more,big,low,unacc,1482,1
med,low,3,4,big,low,unacc,1230,1
vhigh,high,5more,more,big,low,unacc,213,1
vhigh,vhigh,5more,more,med,med,unacc,103,1
vhigh,high,4,more,med,high,unacc,185,1
vhigh,vhigh,4,4,med,med,unacc,67,1
low,high,2,4,small,low,unacc,1413,1
med,med,4,2,med,med,unacc,1138,1
vhigh,vhigh,4,2,small,high,unacc,56,1
med,vhigh,2,2,med,high,unacc,869,1
high,vhigh,3,2,med,high,unacc,464,1
low,low,5more,2,med,med,unacc,1705,1
vhigh,med,4,2,big,low,unacc,276,1
low,vhigh,3,4,small,med,unacc,1333,1
low,med,3,4,big,low,unacc,1554,1
vhigh,low,4,4,small,med,unacc,388,1
vhigh,low,2,2,small,low,unacc,324,1
med,high,2,2,small,low,unacc,972,1
vhigh,low,2,2,med,high,unacc,329,1
vhigh,high,4,4,big,med,unacc,178,1
med,high,2,2,big,low,unacc,978,1
med,low,3,more,small,low,unacc,1233,1
high,low,4,more,big,low,unacc,834,1
high,high,2,more,small,med,unacc,559,1
high,low,3,2,big,med,unacc,790,1
high,low,3,2,med,med,unacc,787,1
vhigh,vhigh,5more,more,med,high,unacc,104,1
med,high,3,2,big,med,unacc,1006,1
high,high,4,2,small,low,unacc,594,1
med,med,5more,2,big,med,unacc,1168,1
vhigh,high,4,4,med,med,unacc,175,1
vhigh,med,5more,2,big,low,unacc,303,1
vhigh,high,2,2,small,high,unacc,110,1
vhigh,med,5more,more,small,med,unacc,316,1
high,vhigh,4,more,big,high,unacc,512,1
high,low,2,more,small,low,unacc,774,1
high,high,4,2,med,high,unacc,599,1
high,vhigh,2,2,big,high,unacc,440,1
high,low,4,2,small,low,unacc,810,1
med,high,3,2,med,med,unacc,1003,1
med,med,2,2,med,high,unacc,1085,1
vhigh,high,3,2,small,high,unacc,137,1
high,vhigh,5more,4,small,med,unacc,523,1
high,vhigh,5more,4,big,high,unacc,530,1
vhigh,low,3,4,small,med,unacc,361,1
vhigh,high,5more,more,big,high,unacc,215,1
vhigh,high,4,2,med,low,unacc,165,1
vhigh,med,4,more,small,med,unacc,289,1
high,vhigh,5more,more,med,low,unacc,534,1
med,vhigh,5more,2,small,med,unacc,946,1
low,med,2,2,med,med,unacc,1516,1
low,med,2,2,small,med,unacc,1513,1
high,med,5more,more,small,low,unacc,747,1
high,vhigh,5more,more,big,low,unacc,537,1
med,high,2,4,small,low,unacc,981,1
med,low,5more,4,med,low,unacc,1281,1
low,med,2,4,med,low,unacc,1524,1
med,high,5more,2,big,low,unacc,1059,1
vhigh,med,2,4,small,low,unacc,225,1
med,vhigh,5more,more,small,med,unacc,964,1
med,med,5more,more,small,low,unacc,1179,1
vhigh,high,4,more,big,low,unacc,186,1
high,low,2,more,big,low,unacc,780,1
high,med,5more,more,small,med,unacc,748,1
low,high,2,more,med,low,unacc,1425,1
low,med,2,2,med,low,unacc,1515,1
high,high,3,4,med,med,unacc,580,1
low,high,4,2,med,med,unacc,1462,1
high,high,5more,2,small,high,unacc,623,1
med,vhigh,3,4,small,low,unacc,900,1
vhigh,low,3,2,med,high,unacc,356,1
vhigh,low,2,4,small,low,unacc,333,1
high,low,3,2,small,low,unacc,783,1
low,high,2,more,big,low,unacc,1428,1
med,med,3,2,small,low,unacc,1107,1
vhigh,vhigh,5more,2,big,med,unacc,88,1
med,low,5more,2,med,high,unacc,1274,1
high,vhigh,4,4,big,med,unacc,502,1
vhigh,high,2,2,big,high,unacc,116,1
high,high,4,2,med,low,unacc,597,1
med,high,5more,2,small,low,unacc,1053,1
low,vhigh,4,4,med,low,unacc,1362,1
med,low,2,4,small,low,unacc,1197,1
vhigh,low,4,more,big,low,unacc,402,1
low,vhigh,4,4,big,low,unacc,1365,1
low,med,5more,4,big,low,unacc,1608,1
vhigh,med,5more,4,med,low,unacc,309,1
vhigh,low,3,more,small,med,unacc,370,1
low,med,4,2,big,med,unacc,1573,1
vhigh,low,2,2,small,med,unacc,325,1
vhigh,vhigh,4,4,small,med,unacc,64,1
low,vhigh,5more,4,small,low,unacc,1386,1
high,vhigh,5more,2,med,low,unacc,516,1
low,vhigh,5more,more,small,low,unacc,1395,1
high,high,4,2,big,low,unacc,600,1
vhigh,high,2,2,med,high,unacc,113,1
low,low,2,2,small,low,unacc,1620,1
vhigh,low,3,4,small,low,unacc,360,1
high,high,4,2,big,high,unacc,602,1
vhigh,high,3,more,med,low,unacc,156,1
low,high,4,4,med,low,unacc,1470,1
vhigh,med,4,4,small,low,unacc,279,1
low,med,3,2,small,high,unacc,1541,1
vhigh,vhigh,4,4,small,low,unacc,63,1
vhigh,low,5more,4,big,low,unacc,420,1
vhigh,vhigh,3,4,big,high,unacc,44,1
med,high,2,2,med,med,unacc,976,1
low,low,2,4,med,low,unacc,1632,1
med,vhigh,2,2,big,low,unacc,870,1
med,high,4,4,small,med,unacc,1036,1
high,vhigh,2,more,big,med,unacc,457,1
vhigh,high,2,2,med,med,unacc,112,1
high,high,3,2,big,low,unacc,573,1
low,high,2,2,med,med,unacc,1408,1
med,high,3,4,med,low,unacc,1011,1
vhigh,high,2,4,big,high,unacc,125,1
low,vhigh,3,2,small,low,unacc,1323,1
vhigh,vhigh,5more,4,small,med,unacc,91,1
high,vhigh,2,2,small,low,unacc,432,1
low,low,3,2,small,med,unacc,1648,1
med,vhigh,5more,more,big,low,unacc,969,1
med,vhigh,5more,2,small,high,unacc,947,1
vhigh,low,4,2,med,high,unacc,383,1
med,low,4,4,med,low,unacc,1254,1
vhigh,high,3,4,med,med,unacc,148,1
high,vhigh,3,more,small,med,unacc,478,1
high,low,4,2,big,high,unacc,818,1
high,med,2,more,small,low,unacc,666,1
med,vhigh,3,4,small,med,unacc,901,1
vhigh,vhigh,2,4,big,high,unacc,17,1
vhigh,med,4,4,big,low,unacc,285,1
high,med,4,more,med,low,unacc,723,1
vhigh,high,4,more,med,med,unacc,184,1
vhigh,high,5more,2,med,med,unacc,193,1
high,vhigh,3,2,med,med,unacc,463,1
vhigh,vhigh,5more,2,small,med,unacc,82,1
vhigh,low,4,more,small,med,unacc,397,1
high,med,5more,4,small,low,unacc,738,1
vhigh,vhigh,4,4,med,low,unacc,66,1
med,med,4,2,small,low,unacc,1134,1
vhigh,low,3,4,med,med,unacc,364,1
vhigh,med,5more,2,small,low,unacc,297,1
vhigh,med,5more,2,big,med,unacc,304,1
med,med,4,2,small,high,unacc,1136,1
vhigh,vhigh,5more,4,small,low,unacc,90,1
vhigh,vhigh,4,2,med,med,unacc,58,1
vhigh,high,5more,4,med,low,unacc,201,1
high,high,5more,2,big,low,unacc,627,1
med,med,2,more,big,low,unacc,1104,1
vhigh,low,2,more,small,high,unacc,344,1
vhigh,high,3,4,med,low,unacc,147,1
high,med,3,2,small,low,unacc,675,1
low,high,5more,4,med,low,unacc,1497,1
vhigh,high,5more,2,small,med,unacc,190,1
med,low,3,4,med,low,unacc,1227,1
high,vhigh,2,4,big,high,unacc,449,1
vhigh,low,2,2,small,high,unacc,326,1
med,vhigh,2,more,big,low,unacc,888,1
med,med,2,2,small,low,unacc,1080,1
vhigh,vhigh,3,2,small,med,unacc,28,1
med,low,4,2,med,high,unacc,1247,1
vhigh,high,5more,2,small,low,unacc,189,1
low,low,2,2,big,high,unacc,1628,1
med,med,2,2,med,low,unacc,1083,1
high,vhigh,3,4,big,low,unacc,474,1
vhigh,high,3,4,med,high,unacc,149,1
high,med,5more,4,big,low,unacc,744,1
vhigh,high,2,4,med,high,unacc,122,1
med,low,4,2,med,med,unacc,1246,1
med,low,5more,more,small,low,unacc,1287,1
med,high,4,2,big,high,unacc,1034,1
vhigh,vhigh,5more,4,med,med,unacc,94,1
vhigh,low,3,2,small,med,unacc,352,1
high,high,2,2,med,low,unacc,543,1
vhigh,low,2,2,big,med,unacc,331,1
vhigh,vhigh,2,4,small,med,unacc,10,1
low,high,3,2,big,med,unacc,1438,1
vhigh,vhigh,3,2,big,med,unacc,34,1
high,low,5more,2,small,med,unacc,838,1
high,med,3,4,med,med,unacc,688,1
high,vhigh,3,more,big,med,unacc,484,1
low,low,3,2,small,high,unacc,1649,1
vhigh,vhigh,3,2,small,low,unacc,27,1
vhigh,high,3,4,big,high,unacc,152,1
high,low,2,4,small,med,unacc,766,1
vhigh,vhigh,3,4,med,high,unacc,41,1
low,vhigh,2,4,med,med,unacc,1309,1
high,med,2,2,small,med,unacc,649,1
med,vhigh,4,2,med,med,unacc,922,1
high,high,5more,4,small,med,unacc,631,1
med,med,4,2,big,low,unacc,1140,1
vhigh,vhigh,5more,more,med,low,unacc,102,1
med,low,3,2,med,low,unacc,1218,1
low,med,5more,2,big,low,unacc,1599,1
low,high,4,2,small,med,unacc,1459,1
low,vhigh,5more,2,med,med,unacc,1381,1
high,high,3,4,big,high,acc,584,1
low,vhigh,3,4,med,high,acc,1337,1
high,low,2,4,big,high,acc,773,1
vhigh,med,5more,more,med,med,acc,319,1
vhigh,low,2,more,big,med,acc,349,1
high,high,4,4,med,high,acc,608,1
med,high,5more,4,big,high,acc,1070,1
med,med,5more,more,small,high,acc,1181,1
med,high,5more,4,big,med,acc,1069,1
med,high,4,4,big,high,acc,1043,1
med,vhigh,2,4,med,high,acc,878,1
high,high,4,more,med,med,acc,616,1
low,vhigh,2,more,big,high,acc,1322,1
vhigh,med,4,more,big,high,acc,296,1
high,high,3,4,big,med,acc,583,1
low,vhigh,3,more,big,high,acc,1349,1
low,high,2,4,med,med,acc,1417,1
vhigh,low,3,4,big,med,acc,367,1
high,med,2,4,big,high,acc,665,1
high,high,3,more,big,high,acc,593,1
vhigh,med,3,more,small,high,acc,263,1
vhigh,low,5more,more,big,med,acc,430,1
low,high,4,more,med,med,acc,1480,1
high,low,2,4,med,high,acc,770,1
low,high,5more,more,small,high,acc,1505,1
med,vhigh,2,4,small,high,acc,875,1
high,high,2,4,big,med,acc,556,1
vhigh,low,5more,4,big,med,acc,421,1
med,high,4,more,med,med,acc,1048,1
high,low,3,more,med,med,acc,805,1
high,low,3,4,small,high,acc,794,1
low,vhigh,4,more,small,high,acc,1370,1
med,med,5more,4,small,high,acc,1172,1
high,high,4,4,med,med,acc,607,1
med,vhigh,4,4,med,med,acc,931,1
low,high,2,more,big,med,acc,1429,1
high,low,3,4,big,high,acc,800,1
low,high,2,4,small,med,acc,1414,1
vhigh,low,4,4,med,high,acc,392,1
low,vhigh,4,more,med,med,acc,1372,1
vhigh,med,3,more,big,med,acc,268,1
low,low,5more,more,small,med,acc,1720,1
high,med,3,4,big,med,acc,691,1
vhigh,low,5more,more,big,high,acc,431,1
high,high,4,more,big,med,acc,619,1
high,low,5more,4,big,high,acc,854,1
med,high,3,4,med,high,acc,1013,1
vhigh,med,4,more,med,high,acc,293,1
vhigh,low,4,more,med,med,acc,400,1
med,med,5more,4,small,med,acc,1171,1
high,med,5more,more,med,high,acc,752,1
high,low,5more,more,small,high,acc,857,1
med,med,4,4,big,med,acc,1150,1
vhigh,med,4,4,big,med,acc,286,1
vhigh,med,5more,4,med,high,acc,311,1
high,high,5more,4,big,high,acc,638,1
high,low,3,4,big,med,acc,799,1
vhigh,low,4,more,small,high,acc,398,1
low,med,5more,4,small,med,acc,1603,1
high,low,4,4,small,high,acc,821,1
vhigh,low,4,4,big,high,acc,395,1
high,high,2,4,small,high,acc,551,1
med,vhigh,5more,more,small,high,acc,965,1
high,high,4,more,med,high,acc,617,1
vhigh,med,3,more,med,high,acc,266,1
low,vhigh,4,more,big,high,acc,1376,1
med,high,2,4,big,high,acc,989,1
med,med,3,4,small,med,acc,1117,1
high,med,5more,4,med,high,acc,743,1
high,high,5more,4,med,high,acc,635,1
vhigh,low,2,4,small,high,acc,335,1
high,med,4,more,med,high,acc,725,1
vhigh,med,2,4,big,high,acc,233,1
high,low,4,4,med,high,acc,824,1
low,high,3,more,med,med,acc,1453,1
vhigh,low,4,more,big,high,acc,404,1
low,low,3,4,med,med,acc,1660,1
high,high,5more,more,med,med,acc,643,1
med,high,2,4,small,high,acc,983,1
low,vhigh,5more,more,big,high,acc,1403,1
high,med,5more,more,small,high,acc,749,1
vhigh,low,5more,4,med,med,acc,418,1
low,med,2,more,med,med,acc,1534,1
low,vhigh,3,more,med,high,acc,1346,1
med,high,3,4,big,high,acc,1016,1
low,high,4,4,big,med,acc,1474,1
high,high,3,4,med,high,acc,581,1
high,med,5more,more,big,high,acc,755,1
med,vhigh,4,more,big,med,acc,943,1
low,vhigh,5more,4,med,med,acc,1390,1
low,vhigh,3,4,big,med,acc,1339,1
vhigh,low,4,more,med,high,acc,401,1
med,vhigh,5more,more,big,med,acc,970,1
vhigh,med,5more,more,small,high,acc,317,1
med,vhigh,3,more,med,high,acc,914,1
low,low,2,4,small,med,acc,1630,1
med,vhigh,4,more,small,high,acc,938,1
high,med,3,4,big,high,acc,692,1
med,med,3,4,big,med,acc,1123,1
med,med,5more,more,small,med,acc,1180,1
low,low,3,more,small,med,acc,1666,1
med,med,4,4,small,high,acc,1145,1
med,vhigh,4,more,med,high,acc,941,1
high,high,3,more,med,high,acc,590,1
med,high,5more,4,med,med,acc,1066,1
high,med,5more,4,small,high,acc,740,1
low,vhigh,5more,4,big,med,acc,1393,1
low,vhigh,5more,4,med,high,acc,1391,1
low,low,4,4,small,med,acc,1684,1
high,high,4,4,big,med,acc,610,1
med,med,3,4,small,high,acc,1118,1
vhigh,med,2,4,big,med,acc,232,1
med,low,2,4,small,med,acc,1198,1
med,high,4,more,big,med,acc,1051,1
low,vhigh,4,4,med,high,acc,1364,1
vhigh,med,4,4,med,high,acc,284,1
high,high,5more,4,small,high,acc,632,1
med,high,3,more,big,med,acc,1024,1
vhigh,low,2,4,med,high,acc,338,1
med,med,4,more,small,med,acc,1153,1
low,high,4,more,small,med,acc,1477,1
low,vhigh,3,more,big,med,acc,1348,1
vhigh,low,3,4,small,high,acc,362,1
med,high,4,more,small,high,acc,1046,1
med,vhigh,3,more,med,med,acc,913,1
high,low,4,4,big,med,acc,826,1
med,med,3,more,big,med,acc,1132,1
med,high,2,more,big,med,acc,997,1
med,high,2,more,big,high,acc,998,1
low,high,3,4,small,med,acc,1441,1
low,vhigh,4,more,big,med,acc,1375,1
vhigh,med,5more,more,med,high,acc,320,1
low,high,3,more,big,med,acc,1456,1
med,vhigh,5more,more,big,high,acc,971,1
high,low,4,more,med,high,acc,833,1
high,med,5more,4,med,med,acc,742,1
vhigh,low,3,more,small,high,acc,371,1
med,high,3,more,small,high,acc,1019,1
med,vhigh,2,more,big,high,acc,890,1
med,low,3,4,small,med,acc,1225,1
low,high,5more,4,small,med,acc,1495,1
med,high,4,4,med,med,acc,1039,1
med,med,5more,more,med,med,acc,1183,1
low,vhigh,3,4,big,high,acc,1340,1
high,low,5more,4,med,high,acc,851,1
low,vhigh,4,4,small,high,acc,1361,1
med,med,3,4,med,high,acc,1121,1
med,vhigh,5more,4,big,high,acc,962,1
