Class Name,handicapped-infants,water-project-cost-sharing,adoption-of-the-budget-resolution,physician-fee-freeze,el-salvador-aid,religious-groups-in-schools,anti-satellite-test-ban,aid-to-nicaraguan-contras,mx-missile,immigration,synfuels-corporation-cutback,education-spending,superfund-right-to-sue,crime,duty-free-exports,export-administration-act-south-africa,sampleNum,set
democrat,n,n,y,n,n,n,y,y,y,y,n,n,n,n,y,y,110,1
democrat,y,n,y,n,n,n,y,y,y,y,n,n,n,n,y,y,426,1
democrat,y,n,y,n,n,n,y,y,y,y,y,n,y,n,y,y,39,1
democrat,y,n,y,n,n,n,y,y,y,n,n,n,n,n,y,?,24,1
democrat,?,?,?,?,n,y,y,y,y,y,?,n,y,y,n,?,104,1
democrat,n,?,y,n,n,y,y,y,y,y,n,n,n,y,y,y,137,1
democrat,y,n,y,n,n,n,y,y,y,y,n,n,n,y,y,y,338,1
democrat,n,y,n,y,n,y,y,y,y,n,y,n,y,n,y,?,352,1
democrat,y,y,y,n,n,y,y,y,?,y,y,?,n,n,y,?,13,1
democrat,y,y,y,n,n,y,y,y,y,y,y,n,y,y,y,y,293,1
democrat,n,?,y,n,n,n,y,y,y,y,y,n,n,y,y,y,127,1
democrat,y,y,y,n,n,n,y,y,y,n,n,n,n,n,n,?,62,1
democrat,y,y,y,n,n,n,y,y,y,n,n,n,n,n,?,?,9,1
democrat,n,y,n,y,y,y,n,n,n,n,n,n,?,y,y,y,6,1
democrat,n,?,y,n,y,y,n,y,n,n,y,n,n,n,n,?,386,1
democrat,y,y,y,n,n,y,y,y,y,y,n,n,n,n,n,y,98,1
democrat,y,y,y,n,n,y,y,y,y,y,y,y,y,n,n,y,362,1
democrat,y,n,y,n,n,y,n,y,?,y,y,y,?,n,n,y,16,1
democrat,n,n,y,n,n,n,y,y,y,y,n,n,y,n,y,y,149,1
democrat,y,y,y,n,n,n,y,y,y,n,y,?,n,n,n,y,64,1
democrat,y,y,y,n,n,n,y,y,y,n,y,n,n,n,y,y,19,1
democrat,y,n,y,n,y,y,y,n,y,y,n,n,y,y,n,?,361,1
democrat,y,y,y,n,y,y,n,y,y,y,y,n,n,n,n,y,383,1
democrat,?,n,y,n,n,n,y,y,y,y,y,?,n,n,y,?,178,1
democrat,y,n,y,n,n,n,y,y,?,y,y,y,n,y,n,y,81,1
democrat,?,?,?,n,n,n,y,y,y,y,n,n,y,n,y,y,428,1
democrat,n,y,y,n,y,y,n,n,n,n,n,n,y,y,y,y,5,1
democrat,y,y,y,n,y,y,n,y,n,y,y,n,y,y,n,?,289,1
democrat,y,?,y,n,n,n,y,y,y,n,n,n,n,n,y,?,109,1
democrat,y,n,y,n,n,n,y,y,y,n,n,n,n,n,y,y,189,1
democrat,y,n,n,n,y,y,?,n,?,n,n,n,n,y,?,n,103,1
democrat,y,n,y,n,n,y,y,y,y,y,n,n,y,n,n,y,360,1
democrat,n,n,y,n,n,y,y,y,y,y,y,n,y,y,n,y,153,1
democrat,y,n,y,n,n,n,y,y,y,y,n,n,n,n,n,y,260,1
democrat,y,y,y,n,y,y,n,n,n,y,y,n,y,y,n,y,78,1
democrat,n,n,y,n,n,y,y,?,y,y,y,n,n,n,y,y,194,1
democrat,y,y,n,n,y,y,n,n,n,n,y,y,y,y,y,n,385,1
democrat,y,n,y,n,n,n,y,y,y,y,y,n,n,y,n,y,169,1
democrat,n,?,y,?,n,y,y,y,y,y,y,n,?,?,y,y,341,1
democrat,n,y,y,n,n,y,n,y,y,y,n,n,y,y,n,y,320,1
democrat,y,n,y,n,n,y,y,y,y,n,n,n,n,y,n,?,307,1
democrat,y,y,y,n,y,y,y,y,y,y,y,n,y,y,n,?,381,1
democrat,y,y,y,n,y,y,n,y,n,y,y,n,y,y,y,y,288,1
democrat,n,y,y,n,n,y,n,y,y,n,y,n,?,?,?,?,157,1
democrat,y,y,y,n,n,n,y,y,y,n,y,n,n,n,y,y,50,1
democrat,y,n,y,n,n,n,y,y,y,n,n,n,n,n,n,y,269,1
democrat,n,y,y,n,n,?,y,y,y,y,y,n,?,y,y,y,424,1
democrat,y,y,y,?,n,n,n,y,n,n,y,?,n,n,y,y,395,1
democrat,n,y,y,n,n,y,y,y,y,n,?,n,n,n,n,y,271,1
democrat,y,n,y,n,n,n,y,y,y,y,y,n,n,n,y,y,245,1
democrat,y,y,n,n,y,?,n,n,n,n,y,n,y,y,n,y,397,1
democrat,y,y,y,n,n,n,y,y,y,y,y,n,n,n,n,y,209,1
democrat,y,n,y,n,n,y,y,y,n,n,n,y,y,n,n,y,237,1
democrat,y,y,y,n,n,n,y,y,y,n,y,n,n,n,y,y,29,1
democrat,y,y,y,n,n,n,y,y,y,y,n,n,y,n,y,y,32,1
democrat,y,n,y,n,n,n,y,y,y,y,n,n,n,n,y,?,272,1
democrat,n,y,y,n,n,n,y,y,y,n,n,n,y,n,?,?,12,1
democrat,y,y,y,n,n,y,y,y,y,y,y,y,y,y,n,?,358,1
democrat,n,n,y,n,n,n,y,y,y,y,y,n,n,n,y,y,344,1
democrat,n,y,y,n,n,y,y,y,?,n,y,y,n,n,y,y,334,1
democrat,y,y,y,n,y,y,n,y,y,n,y,n,n,y,n,?,387,1
democrat,y,n,y,n,n,n,y,y,n,y,y,n,n,n,n,?,366,1
democrat,n,n,y,n,n,y,y,y,n,n,y,n,n,y,?,y,336,1
democrat,n,n,y,n,n,y,y,y,y,y,n,y,n,n,n,y,205,1
democrat,y,n,y,n,n,n,y,y,y,y,y,n,n,y,y,y,241,1
democrat,n,y,y,y,y,y,n,n,n,y,y,n,y,y,n,n,75,1
democrat,n,n,y,n,n,n,y,y,y,n,n,n,n,y,y,y,200,1
democrat,y,n,y,n,n,n,y,y,y,y,n,n,n,n,y,y,203,1
democrat,n,y,y,n,n,n,y,y,?,y,n,n,y,n,y,y,243,1
democrat,y,n,y,n,y,y,y,n,?,n,y,n,y,y,y,?,102,1
democrat,y,y,y,n,n,n,y,y,y,n,y,n,n,n,y,?,31,1
democrat,y,y,y,n,n,n,y,y,y,n,n,n,n,n,?,?,52,1
democrat,y,n,y,n,n,n,y,y,y,y,n,n,n,n,y,y,179,1
democrat,y,y,y,n,?,y,n,?,n,n,y,n,y,y,n,?,322,1
democrat,n,n,n,n,y,y,n,n,n,y,y,y,y,y,n,y,173,1
democrat,y,n,y,n,n,n,y,y,y,n,n,n,n,n,y,?,263,1
democrat,y,y,y,n,n,n,y,y,y,n,y,n,n,n,y,?,72,1
democrat,y,y,y,n,n,n,y,y,y,n,y,n,n,n,y,y,27,1
democrat,n,n,y,n,n,n,y,y,y,y,y,n,?,n,y,?,198,1
democrat,y,n,y,n,n,y,y,y,n,y,y,n,y,y,y,y,292,1
democrat,n,n,y,n,n,n,y,y,y,y,n,n,n,n,n,y,431,1
democrat,y,?,y,n,n,n,y,y,y,n,n,n,n,n,y,?,174,1
democrat,y,y,y,n,n,n,y,y,y,n,n,n,n,n,y,y,23,1
democrat,y,?,y,n,?,?,y,y,y,n,n,n,n,n,y,?,130,1
democrat,y,y,y,n,n,n,y,y,y,n,y,n,n,n,n,?,44,1
democrat,n,n,y,n,y,y,n,n,n,n,?,n,y,y,n,n,275,1
democrat,y,y,y,n,n,n,y,y,y,n,n,n,n,n,n,y,46,1
democrat,n,n,y,n,n,n,y,y,y,n,y,n,n,n,y,y,258,1
democrat,n,n,y,n,n,n,y,y,y,y,n,n,n,y,n,y,280,1
democrat,y,y,?,?,?,y,n,n,n,n,y,n,y,n,n,y,394,1
democrat,n,n,n,n,n,y,n,y,y,n,y,y,y,y,y,n,316,1
democrat,y,n,y,n,n,y,y,y,y,y,n,y,n,y,n,?,80,1
democrat,y,n,y,n,n,?,y,y,y,n,?,?,n,?,?,?,261,1
democrat,y,n,y,n,y,y,n,n,n,n,n,n,n,n,n,y,94,1
democrat,y,y,y,n,y,y,n,n,n,n,y,?,y,y,y,y,4,1
